Cell line	Disease	Disease subtype	Cellosaurus ID	Patient	Primary/Metastasis	Sample collection site
143B	Bone cancer	Osteosarcoma	CVCL_2270	13	Primary	bone
22Rv1	Prostate cancer	Adenocarcinoma	CVCL_1045	Male	primary	prostate
23132/87	Gastric cancer	Adenocarcinoma	CVCL_1046	Male, 72	primary	stomach
253J	Bladder cancer	Carcinoma	CVCL_7935	Male, 53	metastasis	lymph node
253J-BV	Bladder cancer	Carcinoma	CVCL_7937	Male, 53	metastasis	lymph node
42-MG-BA	Brain cancer	Astrocytoma	CVCL_1798	Male, 63	primary	central nervous system
537-mel	Skin cancer	Melanoma	CVCL_8052			
5637	Bladder cancer		CVCL_0126	Male, 68		urinary tract
59M	Ovarian cancer	Adenocarcinoma, high grade serous	CVCL_2291	Female, 65	metastasis	ascites
624-mel	Skin cancer	Melanoma	CVCL_8054			
639V	Bladder cancer	Transitional Cell Carcinoma	CVCL_1048	Male, 69	primary	urinary tract
647V	Bladder cancer	Carcinoma	CVCL_1049	Male, 59	primary	urinary tract
697	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	CVCL_0079	Male, 12	primary	bone marrow
769-P	Kidney cancer	Renal Carcinoma, clear cell	CVCL_1050	Female, 63	primary	kidney
786-O	Kidney cancer	Renal Carcinoma, clear cell	CVCL_1051	Male, 58	primary	kidney
8-MG-BA	Brain cancer	Astrocytoma	CVCL_1052	Female, 54	primary	central nervous system
8305C	Thyroid cancer	Carcinoma	CVCL_1053	Female, 67	primary	thyroid
8505C	Thyroid cancer	Carcinoma	CVCL_1054	Female, 78	primary	thyroid
888-mel	Skin cancer	Melanoma	CVCL_4632		Metastasis	
A-1207	Brain cancer	Glioblastoma	CVCL_8481	Female		central nervous system
A-172	Brain cancer	Glioblastoma	CVCL_0131	Male, 53	primary	central nervous system
A-204	Rhabdoid	Malignant Rhabdoid Tumor	CVCL_1058	Female, 1	primary	soft tissue
A-253	Head and Neck cancer	Squamous Cell Carcinoma, salivary gland	CVCL_1060	Male, 54	primary	upper aerodigestive tract
A-375	Skin cancer	Melanoma	CVCL_0132	Female, 54	primary	skin
A-427	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	CVCL_1055	Male, 52		lung
A-431	Skin cancer		CVCL_0037	Female, 85	primary	skin
A-498	Kidney cancer	Renal Cell Carcinoma	CVCL_1056	Female, 52	primary	kidney
A-549	Lung cancer		CVCL_0023	Male, 58	primary	lung
