Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCB1	"ABC20, CD243, CLCS, GP170, MDR1, p-170, P-gp, PGY1"	ENSG00000085563	"ATP binding cassette subfamily B member 1"	P08183	7	87503017-87713323	"Cancer-related genes, CD markers, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adrenal gland: 98.7;intestine: 68.8"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 101.1;Microglial cells: 544.8;Proximal enterocytes: 247.2"	"Cancer enhanced"	"Detected in many"		"renal cancer: 14.2"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"MAIT T-cell: 27.2;NK-cell: 17.9"	"Group enriched"	"Detected in many"	9	"NK-cells: 17.9;T-cells: 27.2"	"Cancer enhanced"	"Detected in many"		"colorectal cancer: 26.0;liver cancer: 17.4"	"Prostate - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB001716, HPA002199, HPA074614"	Enhanced		Supported	"Plasma membrane"			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 70: DU4475 - Unknown function"	"Cluster 22: Proximal enterocytes - Digestion"	1	"Plasma membrane"		"CAB001716: , HPA002199: AB_1844428, HPA074614: "	"unprognostic (5.38e-3)"	"unprognostic (2.45e-2)"	"unprognostic (1.42e-1)"	"unprognostic (1.06e-1)"	"unprognostic (2.25e-2)"	"unprognostic (9.99e-5)"	"unprognostic (2.23e-3)"	"unprognostic (5.65e-3)"	"unprognostic (1.14e-1)"	"unprognostic (5.17e-2)"	"prognostic favorable (3.33e-4)"	"unprognostic (5.19e-1)"	"prognostic favorable (2.95e-4)"	"unprognostic (2.06e-1)"	"unprognostic (1.50e-1)"	"unprognostic (3.83e-1)"	"unprognostic (6.12e-2)"
ADAD2	"FLJ00337, TENRL"	ENSG00000140955	"Adenosine deaminase domain containing 2"	Q8NCV1	16	84191138-84197168	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	17	"testis: 62.9"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 88.3;Late spermatids: 27.6;Oocytes: 49.3;Spermatocytes: 98.7;Spermatogonia: 29.3"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"hippocampal formation: 5.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA079443	Enhanced						NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 29: Forebrain - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 31: Spermatocytes - Spermatogenesis"				"HPA079443: "	"unprognostic (5.73e-2)"	"unprognostic (1.26e-2)"	"unprognostic (1.06e-2)"	"unprognostic (2.18e-2)"	"unprognostic (6.72e-2)"	"unprognostic (1.16e-2)"	"unprognostic (1.39e-3)"	"unprognostic (2.46e-1)"	"unprognostic (1.82e-1)"	"unprognostic (5.95e-2)"	"unprognostic (3.01e-2)"	"unprognostic (6.68e-2)"	"unprognostic (1.69e-1)"	"unprognostic (7.40e-2)"	"unprognostic (3.18e-1)"	"unprognostic (3.52e-1)"	"unprognostic (2.47e-2)"
ADAMTS18	ADAMTS21	ENSG00000140873	"ADAM metallopeptidase with thrombospondin type 1 motif 18"	Q8TE60	16	77247813-77435034	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 14.3;placenta: 19.9"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 35.8;Muller glia cells: 10.3;Oligodendrocytes: 15.6;Oocytes: 15.4;Rod photoreceptor cells: 8.3;Serous glandular cells: 8.3"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"liver cancer: 2.6;testis cancer: 9.8"	"Adipose visceral - Endothelial cells, Breast - Endothelial cells"	"Region enriched"	"Detected in single"	5	"cerebellum: 3.3"	"Low region specificity"	"Detected in all"			HPA044326	Uncertain		Approved	"Midbody,Mitotic spindle"	"Secreted to extracellular matrix"	Enzyme	Yes	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 25: Non-specific - Transcription"	"Cluster 70: DU4475 - Unknown function"	"Cluster 50: Connective tissue cells - ECM organization"		"Midbody, Mitotic spindle"		"HPA044326: AB_10961006"	"unprognostic (1.10e-2)"	"unprognostic (2.78e-1)"	"unprognostic (1.38e-1)"	"unprognostic (2.50e-1)"	"unprognostic (8.13e-2)"	"unprognostic (2.05e-2)"	"unprognostic (1.09e-1)"	"unprognostic (6.27e-2)"	"unprognostic (2.46e-2)"	"unprognostic (2.98e-1)"	"unprognostic (4.11e-2)"	"unprognostic (2.20e-2)"	"unprognostic (8.17e-4)"	"unprognostic (1.77e-5)"	"unprognostic (2.17e-1)"	"unprognostic (3.41e-1)"	"unprognostic (2.47e-4)"
ADAMTSL2	KIAA0605	ENSG00000197859	"ADAMTS like 2"	Q86TH1	9	133532164-133575519	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 70.8;liver: 35.0"	"Cell type enhanced"	"Detected in many"		"Distal tubular cells: 9.2;Fibroblasts: 9.2;Microglial cells: 11.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 4.5"	"Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA045634, HPA053812"	Approved		Approved	Vesicles	"Secreted in other tissues"	"No annotated function"	NA	NA		170000000		"Cluster 43: Non-specific - Mitochondrial translation"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 53: Fibroblasts - ECM organization"		Vesicles		"HPA045634: AB_2679399, HPA053812: AB_2682271"	"unprognostic (5.10e-2)"	"unprognostic (1.50e-2)"	"prognostic unfavorable (5.01e-4)"	"unprognostic (8.35e-2)"	"unprognostic (1.07e-1)"	"unprognostic (5.50e-2)"	"unprognostic (6.78e-3)"	"unprognostic (1.31e-2)"	"unprognostic (5.49e-2)"	"unprognostic (1.35e-1)"	"prognostic favorable (6.70e-4)"	"unprognostic (5.17e-2)"	"unprognostic (7.37e-2)"	"unprognostic (1.56e-1)"	"unprognostic (3.40e-1)"	"unprognostic (1.65e-1)"	"unprognostic (2.42e-1)"
ADGRB1	BAI1	ENSG00000181790	"Adhesion G protein-coupled receptor B1"	O14514	8	142449430-142545009	"Cancer-related genes, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunity, Innate immunity, Myogenesis, Neurogenesis, Phagocytosis"	"G-protein coupled receptor, Receptor, Transducer"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"brain: 46.9"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 55.7;Bipolar cells: 24.0;Excitatory neurons: 45.9;Horizontal cells: 46.6;Inhibitory neurons: 36.4;Oligodendrocyte precursor cells: 66.5"	"Cancer enriched"	"Detected in many"	5	"glioma: 11.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"								"Secreted in brain"	Receptor	NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 70: DU4475 - Unknown function"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	2				"unprognostic (9.57e-4)"	"unprognostic (1.28e-1)"	"unprognostic (3.87e-3)"	"unprognostic (8.50e-3)"	"unprognostic (9.98e-2)"	"unprognostic (5.87e-2)"	"unprognostic (3.39e-1)"	"unprognostic (2.14e-2)"	"unprognostic (2.76e-1)"	"unprognostic (2.55e-1)"	"unprognostic (6.48e-2)"	"unprognostic (3.43e-1)"	"unprognostic (7.30e-11)"	"unprognostic (6.27e-2)"	"unprognostic (7.42e-2)"	"unprognostic (4.52e-3)"	"unprognostic (3.29e-2)"
AK8	"C9orf98, FLJ32704"	ENSG00000165695	"Adenylate kinase 8"	Q96MA6	9	132725578-132878777	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"epididymis: 18.9;fallopian tube: 25.0;testis: 15.5"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 32.6;Early spermatids: 90.4;Late spermatids: 139.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	31	"memory B-cell: 6.2;naive B-cell: 5.0;NK-cell: 3.1"	"Group enriched"	"Detected in many"	30	"B-cells: 6.2;NK-cells: 3.1"	"Low cancer specificity"	"Detected in some"			"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA021443, HPA023894"	Enhanced						NA	NA			"Cluster 14: Non-specific - Unknown function"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 70: DU4475 - Unknown function"	"Cluster 42: Ciliated cells - Cilium assembly"	20			"HPA021443: AB_1845852, HPA023894: AB_1845854"	"unprognostic (4.14e-2)"	"unprognostic (1.20e-4)"	"unprognostic (1.31e-2)"	"unprognostic (1.70e-3)"	"unprognostic (2.16e-1)"	"unprognostic (2.38e-2)"	"unprognostic (1.14e-1)"	"unprognostic (3.18e-1)"	"unprognostic (3.43e-1)"	"unprognostic (1.71e-1)"	"unprognostic (7.51e-2)"	"unprognostic (1.42e-1)"	"prognostic favorable (1.61e-4)"	"unprognostic (9.89e-2)"	"unprognostic (3.22e-2)"	"unprognostic (2.03e-1)"	"unprognostic (1.43e-1)"
ALDH4A1	"ALDH4, P5CDh"	ENSG00000159423	"Aldehyde dehydrogenase 4 family member A1"	P30038	1	18871430-18902724	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Proline metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"kidney: 193.4;liver: 426.0"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 78.7;Hepatocytes: 323.4;Proximal tubular cells: 255.4;Syncytiotrophoblasts: 81.3"	"Cancer enhanced"	"Detected in all"		"liver cancer: 72.0"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB004645, HPA006401, HPA072759"	Enhanced		Supported	Mitochondria			NA	NA		58000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 70: DU4475 - Unknown function"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1	Mitochondria		"CAB004645: AB_425775, HPA006401: AB_1844731, HPA072759: "	"unprognostic (1.17e-1)"	"prognostic favorable (5.06e-4)"	"unprognostic (1.38e-2)"	"unprognostic (4.16e-2)"	"unprognostic (3.15e-1)"	"unprognostic (7.67e-2)"	"unprognostic (1.28e-1)"	"unprognostic (6.18e-2)"	"unprognostic (1.92e-1)"	"unprognostic (1.09e-2)"	"unprognostic (1.02e-1)"	"unprognostic (2.06e-1)"	"unprognostic (4.27e-3)"	"unprognostic (9.41e-3)"	"unprognostic (3.83e-1)"	"unprognostic (2.69e-3)"	"unprognostic (9.34e-2)"
ALLC	ALC	ENSG00000151360	Allantoicase	Q8N6M5	2	3658200-3702671	"Metabolic proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	23	"testis: 16.0"	"Group enriched"	"Detected in some"	4	"Early spermatids: 139.3;Late spermatids: 54.1"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	4	"choroid plexus: 2.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"														NA	NA				"Cluster 32: Endocrine & Neural - Unknown function"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 21: Early spermatids - Spermatogenesis"								"unprognostic (5.47e-2)"	"unprognostic (3.24e-2)"		"unprognostic (2.91e-3)"	"unprognostic (4.75e-1)"	"unprognostic (2.17e-1)"	"unprognostic (1.06e-1)"	"unprognostic (9.83e-3)"	"unprognostic (5.42e-2)"	"unprognostic (1.74e-4)"	"unprognostic (1.01e-2)"	"unprognostic (2.73e-1)"		
AMOT	KIAA1071	ENSG00000126016	Angiomotin	Q4VCS5	X	112774503-112840831	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"epididymis: 142.3;tongue: 52.7"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 54.5;Basal prostatic cells: 61.4;Cytotrophoblasts: 46.3;Prostatic glandular cells: 33.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 33.5"	"Skeletal muscle - Skeletal myocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA067290, HPA067853"	Enhanced		Supported	"Nucleoplasm,Cell Junctions"			NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 3: Basal prostatic cells - Lipid metabolism"	13	"Cell Junctions"	Nucleoplasm	"HPA067290: AB_2685819, HPA067853: AB_2732773"	"unprognostic (1.08e-2)"	"unprognostic (5.51e-2)"	"unprognostic (2.38e-2)"	"unprognostic (3.36e-1)"	"unprognostic (3.20e-1)"	"unprognostic (8.95e-2)"	"unprognostic (3.82e-2)"	"prognostic favorable (3.94e-4)"	"unprognostic (4.46e-2)"	"unprognostic (3.79e-1)"	"unprognostic (2.17e-1)"	"unprognostic (5.60e-2)"	"prognostic favorable (4.21e-9)"	"unprognostic (9.54e-2)"	"unprognostic (2.59e-2)"	"unprognostic (4.50e-2)"	"unprognostic (6.44e-2)"
ANTXRL		ENSG00000274209	"ANTXR like"	A6NF34	10	46286345-46330207	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"testis: 12.4"	"Group enriched"	"Detected in some"	44	"Early spermatids: 67.1;Late spermatids: 29.4"	"Cancer enriched"	"Detected in single"	6	"ovarian cancer: 0.7"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.1"	"Lineage enriched"	"Detected in single"	8	"granulocytes: 1.1"	"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"					"Low region specificity"	"Detected in all"										NA	NA			"Cluster 46: Basophils - Proteolysis"	"Cluster 42: Testis - Spermatogenesis"		"Cluster 70: DU4475 - Unknown function"	"Cluster 18: Early spermatids - Unknown function"					"unprognostic (1.09e-1)"	"unprognostic (2.67e-2)"		"unprognostic (3.65e-3)"	"unprognostic (2.59e-2)"			"unprognostic (3.40e-1)"	"unprognostic (8.11e-2)"	"unprognostic (2.43e-1)"		"unprognostic (2.03e-1)"		"unprognostic (2.61e-1)"	"unprognostic (2.70e-2)"	"unprognostic (1.92e-1)"	"unprognostic (1.53e-2)"
