Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ACTA1	"ACTA, NEM3"	ENSG00000143632	"Actin alpha 1, skeletal muscle"	P68133	1	229430365-229434104	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Hydrolase, Muscle protein"	"Disease variant, Nemaline myopathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"skeletal muscle: 127668.4"	"Cell type enriched"	"Detected in some"	5	"Skeletal myocytes: 15973.8"	"Group enriched"	"Detected in many"	18	"head and neck cancer: 133.1;prostate cancer: 34.7"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"breast cancer: 3.0;Sarcoma: 2.8"	"Skeletal muscle - Skeletal myocytes, Skin - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"CAB000045, HPA041264, HPA041271"	Enhanced						NA	NA		2800000000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 2: Skeletal myocytes - Muscle contraction"	6			"CAB000045: AB_2242301, HPA041264: AB_2677383, HPA041271: AB_2677386"	"unprognostic (5.59e-2)"	"unprognostic (1.60e-2)"	"unprognostic (1.77e-1)"	"unprognostic (3.07e-4)"	"unprognostic (5.75e-3)"	"unprognostic (3.84e-3)"	"unprognostic (1.86e-1)"	"unprognostic (7.61e-2)"	"unprognostic (1.32e-1)"	"unprognostic (2.24e-1)"	"unprognostic (2.64e-3)"	"unprognostic (2.50e-1)"	"unprognostic (1.56e-3)"	"unprognostic (9.40e-4)"	"unprognostic (2.61e-1)"	"unprognostic (1.58e-2)"	"unprognostic (1.01e-1)"
ACVR2B	ActR-IIB	ENSG00000114739	"Activin A receptor type 2B"	Q13705	3	38453890-38493142	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins"		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Disease variant, Heterotaxy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in all"		"testis cancer: 5.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in all"		"testis cancer: 13.6"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB025115, HPA040384"	Approved						NA	No				"Cluster 3: Non-specific - Unknown function"	"Cluster 25: Non-specific - Transcription"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"	1			"CAB025115: , HPA040384: AB_2732484"	"unprognostic (5.11e-2)"	"unprognostic (1.54e-1)"	"unprognostic (3.47e-1)"	"unprognostic (8.73e-2)"	"unprognostic (9.24e-2)"	"unprognostic (2.21e-1)"	"unprognostic (1.32e-2)"	"unprognostic (1.25e-2)"	"unprognostic (1.88e-1)"	"unprognostic (1.53e-2)"	"unprognostic (5.14e-2)"	"unprognostic (1.30e-1)"	"unprognostic (4.08e-3)"	"unprognostic (1.64e-1)"	"unprognostic (1.98e-1)"	"unprognostic (1.83e-1)"	"unprognostic (4.75e-1)"
ALPI	IAP	ENSG00000163295	"Alkaline phosphatase, intestinal"	P09923	2	232456125-232460753	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	139	"intestine: 137.3"	"Cell type enriched"	"Detected in some"	9	"Proximal enterocytes: 291.6"	"Cancer enhanced"	"Detected in many"		"liver cancer: 4.7;renal cancer: 3.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enterocytes"									"HPA038764, HPA038765, HPA051699"	Supported		Approved	"Plasma membrane"	"Intracellular and membrane"	Enzyme	NA	NA		130000		"Cluster 25: Small intestine - Absorption"		"Cluster 34: Testis cancer - Unknown function"	"Cluster 22: Proximal enterocytes - Digestion"	3	"Plasma membrane"		"HPA038764: AB_2676194, HPA038765: AB_2676195, HPA051699: AB_2681577"			"unprognostic (1.01e-1)"	"unprognostic (7.71e-2)"			"unprognostic (4.14e-2)"			"unprognostic (1.47e-1)"	"unprognostic (9.57e-4)"		"unprognostic (8.07e-2)"	"unprognostic (1.71e-1)"	"unprognostic (9.99e-2)"		
ANGPT4		ENSG00000101280	"Angiopoietin 4"	Q9Y264	20	869900-916334	"Predicted secreted proteins, RAS pathway related proteins"	Angiogenesis			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 6.9;breast: 6.3"	"Cell type enhanced"	"Detected in some"		"Extravillous trophoblasts: 61.2;Late spermatids: 17.5;Smooth muscle cells: 14.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB013260, CAB013305"	Uncertain				"Secreted to blood"	"Developmental protein"	NA	NA				"Cluster 62: Connective tissue - ECM organization"	"Cluster 6: Non-specific - Immune response"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 48: Smooth muscle cells - Signal transduction"				"CAB013260: , CAB013305: "	"unprognostic (1.77e-1)"	"unprognostic (3.25e-1)"	"unprognostic (4.30e-2)"	"unprognostic (1.04e-3)"	"unprognostic (6.37e-2)"	"unprognostic (3.41e-1)"	"unprognostic (5.82e-4)"	"unprognostic (1.25e-1)"	"unprognostic (7.10e-2)"	"unprognostic (3.66e-4)"	"unprognostic (9.01e-2)"	"unprognostic (1.71e-1)"	"unprognostic (5.25e-2)"	"unprognostic (1.23e-2)"	"unprognostic (1.55e-1)"	"unprognostic (2.95e-4)"	"unprognostic (9.14e-2)"
APELA	"ELA, Ende, tdl"	ENSG00000248329	"Apelin receptor early endogenous ligand"	P0DMC3	4	164877178-164898965	"Predicted secreted proteins"	"Angiogenesis, Differentiation, Gastrulation"	"Developmental protein, Hormone"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"kidney: 2.1;prostate: 4.1"	"Group enriched"	"Detected in some"	4	"Cytotrophoblasts: 28.3;Prostatic glandular cells: 11.1;Proximal tubular cells: 37.3;Syncytiotrophoblasts: 33.9"	"Cancer enhanced"	"Detected in some"		"prostate cancer: 1.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 7.7;testis cancer: 23.1"	"Kidney - Ascending Loop of Henle cells"														"Secreted in other tissues"	Hormone	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"					"unprognostic (2.97e-2)"	"unprognostic (6.97e-2)"	"unprognostic (9.83e-4)"	"unprognostic (8.92e-3)"		"unprognostic (1.43e-3)"		"unprognostic (4.50e-2)"	"unprognostic (2.21e-1)"	"unprognostic (1.71e-1)"	"unprognostic (3.38e-3)"	"unprognostic (1.68e-1)"	"unprognostic (2.18e-2)"	"unprognostic (1.89e-1)"	"unprognostic (4.34e-1)"	"unprognostic (8.35e-2)"	"unprognostic (1.95e-4)"
APOA4		ENSG00000110244	"Apolipoprotein A4"	P06727	11	116820700-116823304	"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"	"Lipid transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"intestine: 3023.3"	"Cell type enriched"	"Detected in some"	29	"Proximal enterocytes: 7501.7"	"Cancer enriched"	"Detected in some"	29	"liver cancer: 291.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	7	"liver cancer: 3.8"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA001352, HPA002549, CAB068250, CAB068251, CAB068252"	Enhanced		Approved	Vesicles	"Secreted to blood"	Apolipoprotein	NA	NA	61200000000	74000000000		"Cluster 25: Small intestine - Absorption"		"Cluster 34: Testis cancer - Unknown function"	"Cluster 22: Proximal enterocytes - Digestion"	4	Vesicles		"CAB068250: AB_2665657, CAB068251: AB_2665659, CAB068252: AB_2665658, HPA001352: AB_1078179, HPA002549: AB_1078177"							"unprognostic (8.81e-2)"				"unprognostic (2.12e-2)"			"unprognostic (1.75e-2)"	"unprognostic (7.91e-2)"		
ARID3A	"BRIGHT, DRIL1"	ENSG00000116017	"AT-rich interaction domain 3A"	Q99856	19	925781-975939	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"placenta: 22.6;testis: 16.6"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 192.5;dendritic cells: 143.9;Extravillous trophoblasts: 527.8;Langerhans cells: 214.2;Syncytiotrophoblasts: 496.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"plasmacytoid DC: 6.3"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA004793, HPA076330"	Enhanced		Supported	Nucleoplasm,Cytosol			NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 21: Testis - Unknown function"	"Cluster 48: Non-specific - Mixed function"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 4: Extravillous trophoblasts - Unknown function"	10	Nucleoplasm	Cytosol	"HPA004793: AB_1847870, HPA076330: AB_2732309"	"unprognostic (1.34e-1)"	"unprognostic (2.62e-3)"	"unprognostic (4.08e-2)"	"unprognostic (1.15e-1)"	"unprognostic (1.31e-3)"	"unprognostic (5.67e-2)"	"unprognostic (3.40e-3)"	"unprognostic (1.38e-1)"	"unprognostic (5.22e-2)"	"unprognostic (2.54e-1)"	"prognostic favorable (1.95e-5)"	"unprognostic (4.00e-1)"	"prognostic unfavorable (3.22e-4)"	"unprognostic (3.29e-1)"	"unprognostic (2.67e-3)"	"unprognostic (1.30e-1)"	"unprognostic (8.95e-2)"
ARID3B	"BDP, DRIL2"	ENSG00000179361	"AT-rich interaction domain 3B"	Q8IVW6	15	74541206-74598131	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 24.3"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 42.5;Early spermatids: 44.3;Late spermatids: 62.1;Rod photoreceptor cells: 47.3;Syncytiotrophoblasts: 64.1"	"Cancer enhanced"	"Detected in all"		"testis cancer: 10.9"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"testis cancer: 87.9"	"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in all"	7	"cerebellum: 41.4"	HPA050320	Enhanced		Supported	Nucleoplasm			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 40: Non-specific - Transcription"	"Cluster 25: Non-specific - Transcription"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 37: Glandular & Luminal cells - Unknown function"	1	Nucleoplasm		"HPA050320: AB_2681085"	"unprognostic (2.97e-1)"	"unprognostic (5.91e-2)"	"unprognostic (6.41e-2)"	"unprognostic (8.15e-2)"	"unprognostic (8.42e-2)"	"unprognostic (1.13e-1)"	"unprognostic (3.33e-3)"	"unprognostic (3.95e-1)"	"unprognostic (1.41e-1)"	"unprognostic (2.60e-1)"	"unprognostic (1.27e-2)"	"unprognostic (1.64e-2)"	"unprognostic (1.42e-2)"	"unprognostic (4.71e-2)"	"unprognostic (3.52e-2)"	"unprognostic (9.45e-3)"	"unprognostic (2.20e-1)"
ARMCX5-GPRASP2		ENSG00000286237	"ARMCX5-GPRASP2 readthrough"		X	102712495-102753530	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Low tissue specificity"	"Detected in single"			"Group enriched"	"Detected in some"	100	"Astrocytes: 28.2;Excitatory neurons: 65.6;Inhibitory neurons: 71.2;Microglial cells: 23.3;Oligodendrocyte precursor cells: 47.2;Oligodendrocytes: 33.1"					"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA000887			Uncertain	Nucleoplasm,Cytosol			NA	NA					"Cluster 37: Neurons - Mixed function"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"		Cytosol	Nucleoplasm	"HPA000887: AB_2666130"																	
ATG9B	"APG9L2, FLJ14885, NOS3AS, SONE"	ENSG00000181652	"Autophagy related 9B"	Q674R7	7	151012209-151024499	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Autophagy, Lipid transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 4.0;placenta: 4.9"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 28.5;Early spermatids: 63.1;Late spermatids: 26.6;Syncytiotrophoblasts: 147.9"	"Cancer enhanced"	"Detected in many"		"testis cancer: 6.2"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Respiratory ciliated cells, Skin - Keratinocyte (granular), Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"					"unprognostic (1.59e-1)"	"unprognostic (2.18e-2)"	"unprognostic (1.31e-1)"	"unprognostic (5.03e-2)"	"unprognostic (1.53e-3)"	"unprognostic (1.05e-3)"	"unprognostic (2.79e-3)"	"unprognostic (6.66e-2)"	"unprognostic (2.38e-3)"	"unprognostic (6.76e-2)"	"unprognostic (2.02e-1)"	"unprognostic (5.06e-2)"	"unprognostic (2.08e-6)"	"unprognostic (2.82e-2)"	"unprognostic (2.70e-2)"	"unprognostic (6.34e-2)"	"unprognostic (2.63e-1)"
