Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCA5	EST90625	ENSG00000154265	"ATP binding cassette subfamily A member 5"	Q8WWZ7	17	69244311-69327244	"Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Spermatocytes: 207.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA022032, HPA062904"	Approved		Approved	Nucleoplasm			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 3: Non-specific - Unknown function"	"Cluster 2: Neurons - Nucleosome"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 22: Proximal enterocytes - Digestion"		Nucleoplasm		"HPA022032: AB_1844427, HPA062904: AB_2732692"	"unprognostic (1.24e-2)"	"unprognostic (1.49e-2)"	"unprognostic (1.62e-3)"	"unprognostic (7.17e-2)"	"unprognostic (8.05e-4)"	"unprognostic (3.05e-2)"	"unprognostic (2.38e-2)"	"unprognostic (2.32e-3)"	"unprognostic (1.10e-1)"	"unprognostic (1.52e-1)"	"prognostic favorable (9.97e-5)"	"unprognostic (3.60e-2)"	"unprognostic (1.09e-3)"	"unprognostic (1.07e-1)"	"unprognostic (1.65e-1)"	"unprognostic (2.55e-1)"	"unprognostic (8.52e-2)"
ACE	"ACE1, CD143, DCP1"	ENSG00000159640	"Angiotensin I converting enzyme"	P12821	17	63477061-63498380	"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"		"Calmodulin-binding, Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 257.7;testis: 99.0"	"Group enriched"	"Detected in many"	20	"Early spermatids: 373.5;Late spermatids: 1317.0;Proximal enterocytes: 1039.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"memory B-cell: 1.0"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 17.2"	"Adipose subcutaneous - Adipose progenitor cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skin - Fibroblast_1, Testis - Late spermatids, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB002426, CAB002921, HPA029298, HPA069790"	Enhanced		Approved	Vesicles	"Secreted to blood"	Enzyme	NA	NA	104000000	170000000	"Cluster 14: Non-specific - Unknown function"	"Cluster 25: Small intestine - Absorption"	"Cluster 33: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 22: Proximal enterocytes - Digestion"		Vesicles		"CAB002426: AB_442052, CAB002921: , HPA029298: AB_10960255, HPA069790: AB_2686197"	"unprognostic (4.72e-2)"	"unprognostic (4.16e-1)"	"unprognostic (1.93e-3)"	"unprognostic (6.06e-2)"	"unprognostic (2.78e-1)"	"unprognostic (1.35e-2)"	"unprognostic (4.37e-1)"	"unprognostic (1.54e-1)"	"unprognostic (1.56e-1)"	"unprognostic (1.25e-2)"	"unprognostic (3.13e-2)"	"unprognostic (2.38e-1)"	"unprognostic (7.66e-2)"	"unprognostic (9.07e-2)"	"unprognostic (1.66e-1)"	"unprognostic (1.08e-1)"	"unprognostic (2.76e-2)"
ACTL7B	Tact1	ENSG00000148156	"Actin like 7B"	Q9Y614	9	108854588-108855986	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	1102	"testis: 115.5"	"Group enriched"	"Detected in some"	25	"Early spermatids: 1373.7;Late spermatids: 841.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	11	"lung cancer: 1.0"	"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA021803, HPA024664"	Enhanced						NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 11: Neuronal - Sensory perception"	"Cluster 21: Early spermatids - Spermatogenesis"	3			"HPA021803: AB_1844551, HPA024664: AB_1844552"					"unprognostic (7.64e-2)"	"unprognostic (1.62e-1)"								"unprognostic (3.09e-1)"	"unprognostic (3.83e-2)"		
ADAD1	Tenr	ENSG00000164113	"Adenosine deaminase domain containing 1"	Q96M93	4	122378966-122429802	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis"	"Developmental protein, RNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	188	"testis: 115.6"	"Group enriched"	"Detected in some"	5	"Early spermatids: 1053.7;Late spermatids: 1090.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"Neuroblastoma: 2.3;thyroid cancer: 1.4"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 11: Neuronal - Sensory perception"	"Cluster 36: Late spermatids - Unknown function"																			"unprognostic (1.37e-1)"		
ADAM11	MDC	ENSG00000073670	"ADAM metallopeptidase domain 11"	O75078	17	44758988-44781846	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	9	"brain: 94.8"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 10.2;Cardiomyocytes: 11.7;Excitatory neurons: 45.5;Horizontal cells: 34.0;Inhibitory neurons: 22.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 6.6"	"Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA074550	Enhanced						NA	NA		23000		"Cluster 65: Cerebellum - Nervous system development"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 34: Neurons - Neuronal signaling"				"HPA074550: AB_2732259"	"unprognostic (1.79e-1)"	"unprognostic (7.78e-2)"	"unprognostic (1.73e-3)"	"unprognostic (2.59e-3)"	"unprognostic (1.75e-1)"	"unprognostic (1.50e-1)"	"unprognostic (3.14e-2)"	"unprognostic (1.13e-1)"	"unprognostic (6.37e-2)"	"unprognostic (5.41e-2)"	"unprognostic (5.46e-3)"	"unprognostic (7.16e-2)"	"unprognostic (9.99e-16)"	"unprognostic (1.39e-1)"	"unprognostic (2.51e-1)"	"unprognostic (3.11e-1)"	"unprognostic (3.00e-1)"
AKAIN1	C18orf42	ENSG00000231824	"A-kinase anchor inhibitor 1"	P0CW23	18	5142911-5197503	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 44.9"	"Cell type enriched"	"Detected in some"	4	"Inhibitory neurons: 12.3"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 2.6;Neuroblastoma: 2.9"	"Pancreas - Alpha cells, Thyroid - Parafollicular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA049365	Uncertain						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 8: Neurons - Neuronal signaling"	1			"HPA049365: AB_2680729"					"unprognostic (4.86e-1)"						"unprognostic (1.49e-3)"				"unprognostic (7.05e-2)"		
AKNAD1	"C1orf62, MGC26989"	ENSG00000162641	"AKNA domain containing 1"	Q5T1N1	1	108815898-108963484	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	14	"testis: 4.7"	"Group enriched"	"Detected in some"	5	"Early spermatids: 90.9;Late spermatids: 29.6"	"Cancer enhanced"	"Detected in single"		"glioma: 0.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Fibroblasts, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Fibroblasts"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA030270, HPA030271, HPA030272"	Uncertain		Approved	"Microtubules,Cytokinetic bridge,Cytosol"			Yes	NA				"Cluster 20: Testis - Spermatogenesis"		"Cluster 11: Neuronal - Sensory perception"	"Cluster 21: Early spermatids - Spermatogenesis"		Cytosol	"Microtubules, Cytokinetic bridge"	"HPA030270: AB_10610980, HPA030271: AB_10600873, HPA030272: AB_10601342"	"unprognostic (4.93e-2)"	"unprognostic (1.72e-1)"	"unprognostic (5.52e-2)"	"unprognostic (2.00e-3)"	"unprognostic (7.22e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.09e-5)"	"unprognostic (8.15e-2)"	"unprognostic (5.95e-2)"	"unprognostic (2.83e-2)"	"unprognostic (1.89e-1)"	"unprognostic (2.24e-1)"	"unprognostic (3.00e-8)"	"unprognostic (1.08e-1)"	"unprognostic (4.69e-2)"	"unprognostic (5.75e-2)"	"unprognostic (8.22e-2)"
ANKFN1	FLJ38335	ENSG00000153930	"Ankyrin repeat and fibronectin type III domain containing 1"	Q8N957	17	55882301-56517016	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"cervix: 8.6;fallopian tube: 4.9"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 131.3;Early spermatids: 23.6;Excitatory neurons: 26.2;Inhibitory neurons: 82.7;Oligodendrocyte precursor cells: 66.5"	"Cancer enhanced"	"Detected in some"		"glioma: 0.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 2.4"	"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA021566, HPA022538, HPA048953"	Uncertain		Approved	"Nucleoplasm,Plasma membrane"			NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 46: Brainstem - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 69: Neurons - Neuronal signaling"		Nucleoplasm	"Plasma membrane"	"HPA021566: AB_1844828, HPA022538: AB_1844829, HPA048953: "	"unprognostic (6.64e-2)"	"unprognostic (1.29e-1)"	"unprognostic (3.52e-2)"	"unprognostic (9.38e-5)"	"unprognostic (2.39e-1)"	"unprognostic (2.31e-3)"	"unprognostic (3.84e-2)"	"unprognostic (1.68e-1)"	"unprognostic (3.31e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.24e-2)"	"unprognostic (6.81e-3)"	"unprognostic (3.44e-8)"	"unprognostic (1.24e-1)"	"unprognostic (1.69e-1)"	"unprognostic (4.93e-2)"	"unprognostic (9.51e-2)"
ANKRD24	KIAA1981	ENSG00000089847	"Ankyrin repeat domain 24"	Q8TF21	19	4182689-4224814	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 32.9;testis: 13.6"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 11.5;Excitatory neurons: 23.9;Extravillous trophoblasts: 22.5;Inhibitory neurons: 13.8;Oocytes: 12.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 5.3"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041534, HPA048498"	Uncertain		Uncertain	Microtubules,Cytosol			NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 53: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 4: Extravillous trophoblasts - Unknown function"	1	"Microtubules, Cytosol"		"HPA041534: AB_2677537, HPA048498: AB_2680420"	"unprognostic (3.70e-2)"	"unprognostic (3.96e-3)"	"unprognostic (5.23e-9)"	"unprognostic (7.03e-2)"	"unprognostic (5.01e-2)"	"unprognostic (2.31e-1)"	"prognostic favorable (9.13e-5)"	"unprognostic (1.53e-1)"	"unprognostic (3.52e-2)"	"unprognostic (3.41e-2)"	"unprognostic (1.19e-3)"	"unprognostic (2.63e-2)"	"unprognostic (1.27e-2)"	"unprognostic (7.63e-2)"	"unprognostic (1.61e-1)"	"unprognostic (2.43e-2)"	"unprognostic (1.73e-4)"
ANO5	"GDD1, LGMD2L, TMEM16E"	ENSG00000171714	"Anoctamin 5"	Q75V66	11	21782659-22283567	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Disease variant, Limb-girdle muscular dystrophy, Osteogenesis imperfecta"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	7	"heart muscle: 23.4;parathyroid gland: 16.6;skeletal muscle: 63.3;tongue: 47.8"	"Group enriched"	"Detected in many"	6	"Astrocytes: 64.4;Cardiomyocytes: 97.8;Excitatory neurons: 161.2;Inhibitory neurons: 130.7;Oligodendrocyte precursor cells: 76.4;Skeletal myocytes: 80.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Myeloma: 4.4"	"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA058857	Uncertain						NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 34: Neurons - Neuronal signaling"				"HPA058857: AB_2683835"	"unprognostic (5.25e-3)"	"unprognostic (1.36e-3)"	"unprognostic (2.43e-1)"	"unprognostic (7.67e-3)"	"unprognostic (3.50e-2)"	"unprognostic (5.85e-2)"	"unprognostic (8.17e-3)"	"unprognostic (2.30e-2)"	"unprognostic (1.68e-1)"	"unprognostic (3.89e-2)"	"unprognostic (2.54e-4)"	"unprognostic (8.55e-2)"	"prognostic favorable (2.50e-7)"	"unprognostic (3.65e-3)"	"unprognostic (2.84e-1)"	"unprognostic (2.77e-4)"	"unprognostic (7.94e-2)"
