Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
A1BG		ENSG00000121410	"Alpha-1-B glycoprotein"	P04217	19	58345178-58353492	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	1513	"liver: 1194.2"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 18.2;Oligodendrocytes: 8.1;Plasma cells: 8.2"	"Cancer enriched"	"Detected in single"	85	"liver cancer: 22.3"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"CAB016673, HPA044252"	Supported				"Secreted to blood"	"No annotated function"	NA	NA	200000000000	51000000000		"Cluster 31: Liver - Plasma proteins"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 7: T-cells - T-cell receptor"				"CAB016673: AB_1611892, HPA044252: AB_2678876"	"unprognostic (9.95e-2)"	"unprognostic (5.31e-2)"	"unprognostic (3.67e-2)"	"unprognostic (3.44e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.66e-2)"	"prognostic favorable (3.97e-4)"	"unprognostic (1.09e-1)"	"unprognostic (2.59e-1)"	"unprognostic (2.10e-1)"	"unprognostic (1.47e-2)"	"unprognostic (1.37e-2)"	"unprognostic (4.19e-5)"	"unprognostic (2.37e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.72e-1)"	"unprognostic (6.72e-2)"
A1CF	"ACF, ACF64, ACF65, APOBEC1CF, ASP"	ENSG00000148584	"APOBEC1 complementation factor"	Q9NQ94	10	50799409-50885675	"Predicted intracellular proteins"	"mRNA processing"	RNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"liver: 148.5"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 152.6;Distal enterocytes: 91.2;Enteroendocrine cells: 92.5;Hepatocytes: 340.5;Intestinal goblet cells: 59.4;Paneth cells: 90.4;Proximal enterocytes: 148.7;Proximal tubular cells: 91.8"	"Cancer enriched"	"Detected in some"	6	"liver cancer: 18.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"liver cancer: 21.2"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"HPA037779, HPA044079"	Enhanced		Supported	Nucleoplasm			NA	NA				"Cluster 83: Liver - Metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	16	Nucleoplasm		"HPA037779: AB_10670529, HPA044079: AB_2678800"	"unprognostic (3.87e-3)"	"unprognostic (7.86e-2)"	"unprognostic (2.34e-1)"	"unprognostic (2.21e-3)"	"unprognostic (2.73e-1)"	"unprognostic (4.61e-3)"	"unprognostic (1.71e-1)"	"unprognostic (7.38e-3)"		"unprognostic (1.30e-2)"	"unprognostic (2.46e-2)"	"unprognostic (1.20e-1)"	"unprognostic (1.90e-3)"	"unprognostic (1.97e-2)"	"unprognostic (2.77e-1)"	"unprognostic (2.19e-2)"	"unprognostic (8.50e-4)"
A2M	"CPAMD5, FWP007, S863-7"	ENSG00000175899	Alpha-2-macroglobulin	P01023	12	9067664-9116229	"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 1212.9;lung: 1626.5"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 1247.2;Cardiomyocytes: 393.1;Endothelial cells: 861.7;Hepatocytes: 654.0;Microglial cells: 339.1;Smooth muscle cells: 471.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"gdT-cell: 1.5"	"Lineage enhanced"	"Detected in single"		"T-cells: 1.5"	"Cancer enhanced"	"Detected in many"		"Brain cancer: 48.1;liver cancer: 106.6;skin cancer: 72.1"	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Macrophages, Kidney - Fibroblasts, Liver - Hepatocytes, Lung - Fibroblast_1, Prostate - Fibroblasts, Skeletal muscle - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002265, CAB017621"	Supported				"Secreted to blood"	"Enzyme inhibitor"	NA	NA	1630000000000	170000000000	"Cluster 1: T-cells - Unknown function"	"Cluster 11: Liver - Plasma proteins"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	51			"CAB017621: AB_1118894, HPA002265: AB_1078142"	"unprognostic (1.73e-2)"	"unprognostic (1.05e-3)"	"unprognostic (1.72e-1)"	"unprognostic (2.29e-2)"	"unprognostic (7.36e-2)"	"unprognostic (3.91e-2)"	"unprognostic (7.95e-2)"	"unprognostic (3.65e-2)"	"unprognostic (2.38e-1)"	"unprognostic (7.19e-2)"	"unprognostic (4.71e-2)"	"unprognostic (2.06e-2)"	"unprognostic (1.28e-2)"	"unprognostic (8.04e-3)"	"unprognostic (2.32e-2)"	"unprognostic (8.58e-2)"	"unprognostic (9.03e-3)"
ABCC6	"ARA, EST349056, MLP1, MRP6, PXE, URG7"	ENSG00000091262	"ATP binding cassette subfamily C member 6"	O95255	16	16149565-16223522	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Sensory transduction, Transport, Vision"	Translocase	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 22.4;liver: 45.9"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 19.1;Hepatocytes: 46.7;Proximal enterocytes: 23.3;Proximal tubular cells: 45.4"	"Group enriched"	"Detected in many"	5	"liver cancer: 16.7;renal cancer: 5.0"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	5	"classical monocyte: 3.9"	"Lineage enriched"	"Detected in single"	5	"monocytes: 3.9"	"Cancer enhanced"	"Detected in many"		"liver cancer: 9.2"	"Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA038105			Supported	"Nucleoplasm,Plasma membrane"			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"		"Plasma membrane"	Nucleoplasm	"HPA038105: AB_2675835"	"unprognostic (1.32e-1)"	"unprognostic (1.11e-1)"	"unprognostic (5.98e-2)"	"unprognostic (3.15e-2)"	"unprognostic (1.59e-1)"	"unprognostic (3.09e-1)"	"prognostic favorable (3.82e-4)"	"unprognostic (6.54e-3)"	"unprognostic (3.64e-1)"	"unprognostic (9.10e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.65e-1)"	"unprognostic (1.12e-3)"	"unprognostic (3.42e-1)"	"unprognostic (2.00e-1)"	"unprognostic (4.91e-2)"	"unprognostic (1.41e-1)"
ABCG5	STSL	ENSG00000138075	"ATP binding cassette subfamily G member 5"	Q9H222	2	43812472-43838865	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	69	"intestine: 46.4;liver: 60.5"	"Group enriched"	"Detected in some"	4	"Hepatocytes: 48.1;Paneth cells: 20.8;Proximal enterocytes: 31.4"	"Cancer enriched"	"Detected in some"	23	"liver cancer: 11.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"										NA	NA				"Cluster 37: Liver & Intestine - Lipid metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"					"unprognostic (1.71e-1)"	"unprognostic (5.47e-2)"	"unprognostic (4.01e-1)"	"unprognostic (6.92e-2)"	"unprognostic (2.24e-1)"	"unprognostic (9.97e-2)"	"prognostic favorable (2.60e-5)"	"unprognostic (4.59e-2)"	"unprognostic (3.10e-1)"	"unprognostic (1.38e-3)"	"unprognostic (3.07e-4)"	"unprognostic (1.86e-1)"	"unprognostic (3.07e-1)"	"unprognostic (5.52e-3)"	"unprognostic (8.29e-2)"	"unprognostic (5.31e-2)"	"unprognostic (3.08e-2)"
ABCG8	GBD4	ENSG00000143921	"ATP binding cassette subfamily G member 8"	Q9H221	2	43831942-43882988	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	52	"intestine: 30.6;liver: 61.9"	"Cell type enhanced"	"Detected in some"		"Hepatocytes: 67.5;Oocytes: 10.3;Paneth cells: 16.2;Proximal enterocytes: 33.9"	"Cancer enriched"	"Detected in some"	30	"liver cancer: 21.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA019556	Uncertain		Approved	Vesicles			NA	NA				"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	1	Vesicles		"HPA019556: AB_1844444"	"unprognostic (1.99e-1)"	"unprognostic (4.49e-1)"	"unprognostic (3.22e-1)"	"unprognostic (1.37e-1)"	"unprognostic (3.09e-2)"	"unprognostic (2.43e-1)"	"unprognostic (1.99e-3)"	"unprognostic (1.27e-1)"	"unprognostic (6.28e-1)"	"unprognostic (6.14e-3)"	"unprognostic (4.69e-1)"	"unprognostic (1.76e-1)"	"unprognostic (2.68e-1)"	"unprognostic (7.86e-3)"	"unprognostic (5.03e-1)"		"unprognostic (1.50e-1)"
ACSM2A	"A-923A4.1, ACSM2, MGC150530"	ENSG00000183747	"Acyl-CoA synthetase medium chain family member 2A"	Q08AH3	16	20451461-20487669	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	1179	"kidney: 267.2;liver: 351.8"	"Group enriched"	"Detected in some"	8	"Hepatocytes: 564.8;Proximal tubular cells: 318.8"	"Group enriched"	"Detected in some"	479	"liver cancer: 22.7;renal cancer: 25.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"liver cancer: 1.2"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA057699	Supported						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"				"HPA057699: AB_2683506"	"unprognostic (1.17e-4)"						"prognostic favorable (1.41e-5)"				"unprognostic (5.25e-1)"	"unprognostic (2.42e-1)"	"unprognostic (9.28e-3)"	"unprognostic (1.52e-1)"	"unprognostic (5.10e-1)"	"unprognostic (2.09e-1)"	
ACSM2B	"ACSM2, HXMA, HYST1046"	ENSG00000066813	"Acyl-CoA synthetase medium chain family member 2B"	Q68CK6	16	20536226-20576427	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	331	"kidney: 399.0;liver: 510.9"	"Group enriched"	"Detected in some"	9	"Hepatocytes: 837.6;Proximal tubular cells: 400.7"	"Group enriched"	"Detected in some"	449	"liver cancer: 30.9;renal cancer: 17.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA057699	Supported						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 15: Non-specific - Transcription"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1			"HPA057699: AB_2683506"	"unprognostic (1.34e-2)"						"prognostic favorable (3.31e-4)"				"unprognostic (7.13e-2)"	"unprognostic (2.29e-1)"	"unprognostic (6.67e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.22e-2)"	
ACSS3	FLJ21963	ENSG00000111058	"Acyl-CoA synthetase short chain family member 3"	Q9H6R3	12	80936414-81261210	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 38.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 159.2;Bipolar cells: 60.1;Early spermatids: 69.1;Hepatocytes: 50.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	15	"basophil: 7.1;neutrophil: 2.2"	"Lineage enriched"	"Detected in single"	71	"granulocytes: 7.1"	"Cancer enhanced"	"Detected in many"		"liver cancer: 10.6"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Prostate - Fibroblasts, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA039353, HPA047956, HPA061517"	Approved		Supported	Mitochondria			NA	NA			"Cluster 46: Basophils - Proteolysis"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 47: Astrocytes - Unknown function"	1	Mitochondria		"HPA039353: AB_2676460, HPA047956: AB_2680223, HPA061517: AB_2684549"	"unprognostic (8.59e-2)"	"unprognostic (9.29e-4)"	"unprognostic (1.47e-1)"	"unprognostic (9.37e-3)"	"unprognostic (2.46e-2)"	"unprognostic (2.21e-1)"	"unprognostic (9.25e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.34e-1)"	"unprognostic (7.18e-3)"	"unprognostic (1.68e-1)"	"unprognostic (7.79e-2)"	"prognostic favorable (0.00e+0)"	"unprognostic (6.16e-4)"	"unprognostic (1.63e-1)"	"unprognostic (2.00e-1)"	"unprognostic (2.00e-4)"
ADCY10	"HCA2, RP1-313L4.2, SAC, SACI, Sacy"	ENSG00000143199	"Adenylate cyclase 10"	Q96PN6	1	167809386-167914215	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"cAMP biosynthesis"	Lyase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"liver: 5.9;testis: 17.1"	"Group enriched"	"Detected in some"	8	"Early spermatids: 90.7;Late spermatids: 87.0"	"Cancer enhanced"	"Detected in single"		"liver cancer: 0.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"HPA015243, HPA017749"	Approved						NA	NA				"Cluster 42: Testis - Spermatogenesis"	"Cluster 37: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 11: Late spermatids - Unknown function"				"HPA015243: AB_1856540, HPA017749: AB_1856541"	"unprognostic (1.20e-1)"	"unprognostic (2.53e-1)"	"unprognostic (1.95e-2)"	"unprognostic (1.17e-2)"	"unprognostic (2.05e-1)"	"unprognostic (1.65e-1)"	"unprognostic (5.35e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.63e-1)"	"unprognostic (3.65e-1)"	"unprognostic (4.43e-2)"	"unprognostic (7.83e-5)"	"unprognostic (5.86e-7)"	"unprognostic (4.73e-2)"	"unprognostic (1.33e-1)"	"unprognostic (7.83e-2)"	"unprognostic (2.59e-1)"
