Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ACVRL1	"ACVRLK1, ALK1, HHT, HHT2, ORW2"	ENSG00000139567	"Activin A receptor like type 1"	P37023	12	51906908-51923361	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	Angiogenesis	"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lung: 93.3"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 98.8;Distal enterocytes: 137.5;Endothelial cells: 95.6;Extravillous trophoblasts: 44.0;Fibroblasts: 58.0;Lymphatic endothelial cells: 72.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	19	"classical monocyte: 1.5;myeloid DC: 2.1"	"Group enriched"	"Detected in many"	19	"dendritic cells: 2.1;monocytes: 1.5"	"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 8.0"	"Heart muscle - Endothelial cells, Kidney - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007041	Approved				"Intracellular and membrane"	Receptor	NA	NA			"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 57: Lung - Lung function"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	1			"HPA007041: AB_1078097"	"unprognostic (2.50e-1)"	"unprognostic (4.83e-1)"	"unprognostic (3.79e-2)"	"unprognostic (3.61e-2)"	"unprognostic (4.98e-1)"	"unprognostic (4.06e-3)"	"unprognostic (2.79e-1)"	"unprognostic (1.35e-1)"	"unprognostic (5.80e-2)"	"unprognostic (5.10e-2)"	"unprognostic (4.60e-2)"	"unprognostic (4.64e-2)"	"unprognostic (1.12e-3)"	"unprognostic (1.39e-1)"	"unprognostic (7.98e-3)"	"unprognostic (2.79e-1)"	"unprognostic (1.10e-1)"
ADGRL4	"ELTD1, ETL"	ENSG00000162618	"Adhesion G protein-coupled receptor L4"	Q9HBW9	1	78889764-79282124	"G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 70.8"	"Group enriched"	"Detected in many"	6	"Adipocytes: 559.4;Endothelial cells: 298.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Sarcoma: 12.2;thyroid cancer: 15.1"	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Stomach - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA025229	Supported						NA	NA		3800000		"Cluster 7: Adipose tissue - Mixed function"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"				"HPA025229: AB_10602493"	"unprognostic (2.67e-1)"	"unprognostic (2.17e-1)"	"unprognostic (2.05e-2)"	"unprognostic (2.58e-1)"	"unprognostic (5.32e-2)"	"unprognostic (8.11e-3)"	"unprognostic (2.01e-1)"	"unprognostic (1.23e-1)"	"unprognostic (7.52e-2)"	"unprognostic (2.38e-1)"	"unprognostic (2.57e-1)"	"unprognostic (1.52e-1)"	"prognostic unfavorable (1.60e-4)"	"unprognostic (5.32e-3)"	"unprognostic (1.48e-1)"	"unprognostic (3.45e-2)"	"unprognostic (3.85e-3)"
ADTRP	"AIG1L, C6orf105, dJ413H6.1"	ENSG00000111863	"Androgen dependent TFPI regulating protein"	Q96IZ2	6	11712054-11807046	"Predicted membrane proteins"	"Lipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 100.6;intestine: 95.7;parathyroid gland: 89.6"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 99.6;Distal tubular cells: 76.8;Early spermatids: 132.7;Late spermatids: 185.1;Paneth cells: 58.0;Proximal enterocytes: 128.2"	"Low cancer specificity"	"Detected in many"			"Region enriched"	"Detected in all"	10	"choroid plexus: 79.3"	"Immune cell enhanced"	"Detected in many"		"naive CD4 T-cell: 14.8;T-reg: 13.6"	"Lineage enriched"	"Detected in many"	5	"T-cells: 14.8"	"Low cancer specificity"	"Detected in many"			"Colon - Colon enterocytes, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA048113	Uncertain		Uncertain	Nucleoli			NA	NA			"Cluster 31: T-cells - T-cell receptor"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 5: Enterocytes - Absorption"	2	Nucleoli		"HPA048113: AB_2680268"	"unprognostic (6.82e-3)"	"unprognostic (1.41e-1)"	"unprognostic (1.58e-1)"	"unprognostic (8.14e-3)"	"unprognostic (3.04e-3)"	"unprognostic (1.41e-2)"	"unprognostic (4.00e-2)"	"unprognostic (1.77e-1)"	"unprognostic (1.85e-2)"	"unprognostic (2.72e-1)"	"unprognostic (5.41e-3)"	"unprognostic (2.90e-1)"	"prognostic unfavorable (1.13e-5)"	"unprognostic (2.61e-2)"	"unprognostic (1.40e-1)"	"unprognostic (1.95e-2)"	"unprognostic (1.26e-1)"
ANKRD1	"ALRP, C-193, CARP, CVARP, MCARP"	ENSG00000148677	"Ankyrin repeat domain 1"	Q15327	10	90912096-90921087	"Predicted intracellular proteins"			"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	11	"heart muscle: 6312.3"	"Cell type enriched"	"Detected in some"	10	"Cardiomyocytes: 15760.4"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 7.5"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 432.3"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA038736	Enhanced		Approved	"Nucleoplasm,Nucleoli fibrillar center"			NA	Yes				"Cluster 30: Heart muscle - Heart development"	"Cluster 12: Non-specific - Vasculature"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 68: Cardiomyocytes - Muscle contraction"	3	"Nucleoli fibrillar center"	Nucleoplasm	"HPA038736: AB_2676184"	"unprognostic (2.45e-1)"	"unprognostic (6.14e-3)"	"unprognostic (2.24e-1)"	"unprognostic (4.39e-1)"	"unprognostic (9.14e-3)"	"prognostic unfavorable (1.95e-4)"	"unprognostic (1.28e-2)"	"unprognostic (6.63e-3)"	"unprognostic (2.19e-1)"	"unprognostic (3.27e-1)"	"unprognostic (4.51e-2)"	"unprognostic (3.40e-1)"	"unprognostic (2.72e-5)"	"unprognostic (3.40e-2)"	"unprognostic (2.79e-1)"	"unprognostic (7.22e-2)"	"unprognostic (3.16e-3)"
ANKRD50	KIAA1223	ENSG00000151458	"Ankyrin repeat domain containing 50"	Q9ULJ7	4	124664048-124712732	"Predicted intracellular proteins, Transporters"	"Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Late spermatids: 53.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"intermediate monocyte: 1.1"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA044008	Approved		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 1: Neurons - Mixed function"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 69: Neurons - Neuronal signaling"		"Nucleoplasm, Cytosol"		"HPA044008: AB_10961996"	"unprognostic (7.82e-2)"	"unprognostic (1.68e-2)"	"unprognostic (6.85e-3)"	"unprognostic (5.90e-1)"	"unprognostic (9.77e-2)"	"unprognostic (1.19e-1)"	"unprognostic (2.72e-1)"	"unprognostic (7.26e-2)"	"unprognostic (1.63e-1)"	"unprognostic (3.02e-1)"	"prognostic unfavorable (3.28e-4)"	"unprognostic (1.67e-1)"	"unprognostic (8.25e-2)"	"unprognostic (5.55e-3)"	"unprognostic (4.82e-2)"	"unprognostic (8.23e-2)"	"unprognostic (8.16e-3)"
APBB2	"FE65L, FE65L1, MGC35575"	ENSG00000163697	"Amyloid beta precursor protein binding family B member 2"	Q92870	4	40810027-41216714	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Inhibitory neurons: 164.5;Microglial cells: 157.5;Oligodendrocyte precursor cells: 550.0;Oligodendrocytes: 747.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	16	"naive B-cell: 5.5"	"Lineage enriched"	"Detected in single"	24	"B-cells: 5.5"	"Low cancer specificity"	"Detected in all"			"Skeletal muscle - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA023542	Approved		Approved	Mitochondria			No	No			"Cluster 34: B-cells - Unknown function"	"Cluster 34: Non-specific - Mixed function"	"Cluster 11: White matter - Signal transduction"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 51: Oligodendrocytes - Unknown function"	2	Mitochondria		"HPA023542: AB_1844909"	"unprognostic (4.43e-2)"	"unprognostic (4.40e-2)"	"unprognostic (2.04e-2)"	"prognostic unfavorable (1.97e-4)"	"unprognostic (5.91e-3)"	"unprognostic (8.13e-2)"	"unprognostic (5.77e-2)"	"unprognostic (4.00e-3)"	"unprognostic (2.51e-1)"	"unprognostic (1.21e-2)"	"unprognostic (1.61e-1)"	"unprognostic (1.33e-1)"	"unprognostic (2.19e-3)"	"unprognostic (9.35e-3)"	"unprognostic (3.92e-2)"	"unprognostic (2.29e-2)"	"unprognostic (2.61e-1)"
APLN	"apelin, XNPEP2"	ENSG00000171388	Apelin	Q9ULZ1	X	129645259-129654956	"Predicted secreted proteins"	"Angiogenesis, Gastrulation, Host-virus interaction"	"Developmental protein, Hormone"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 29.3;placenta: 52.2"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 7.7;Breast myoepithelial cells: 8.1;Cardiomyocytes: 14.0;Endothelial cells: 20.9;Mesothelial cells: 4.0"	"Group enriched"	"Detected in all"	6	"glioma: 44.2;renal cancer: 21.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"Kidney cancer: 18.8;prostate cancer: 64.5"	"Kidney - Podocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"								"Secreted in other tissues"	Hormone	NA	NA				"Cluster 34: Non-specific - Mixed function"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 45: Non-specific - Mixed function"	1				"unprognostic (1.50e-1)"	"prognostic unfavorable (2.92e-4)"	"unprognostic (1.57e-1)"	"unprognostic (1.27e-1)"	"unprognostic (4.50e-2)"	"unprognostic (5.94e-2)"	"prognostic unfavorable (9.32e-4)"	"prognostic unfavorable (6.09e-4)"	"unprognostic (4.71e-2)"	"unprognostic (2.25e-1)"	"unprognostic (3.30e-1)"	"unprognostic (9.12e-2)"	"prognostic unfavorable (9.61e-5)"	"unprognostic (1.55e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.26e-1)"	"unprognostic (8.42e-2)"
ARAP3	"CENTD3, DRAG1, FLJ21065"	ENSG00000120318	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"	Q8WWN8	5	141653401-141682230	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 31.1;Endothelial cells: 29.7;Horizontal cells: 15.7;Lymphatic endothelial cells: 26.4;Microglial cells: 14.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"eosinophil: 3.3;neutrophil: 2.1"	"Lineage enriched"	"Detected in single"	7	"granulocytes: 3.3"	"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Pancreas - Endothelial cells, Skin - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042887	Uncertain						NA	NA			"Cluster 19: Eosinophils - Unknown function"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"	1			"HPA042887: AB_10796681"	"unprognostic (1.98e-1)"	"unprognostic (4.88e-2)"	"unprognostic (9.30e-2)"	"unprognostic (1.31e-1)"	"unprognostic (5.58e-2)"	"unprognostic (5.26e-2)"	"unprognostic (3.77e-3)"	"unprognostic (9.76e-2)"	"unprognostic (3.43e-2)"	"unprognostic (1.39e-1)"	"unprognostic (4.42e-1)"	"unprognostic (1.05e-1)"	"prognostic unfavorable (1.59e-6)"	"unprognostic (4.96e-2)"	"unprognostic (1.73e-1)"	"unprognostic (9.41e-2)"	"unprognostic (1.98e-2)"
ARHGEF15	"ARGEF15, FLJ13791, KIAA0915, MGC44868, Vsm-RhoGEF"	ENSG00000198844	"Rho guanine nucleotide exchange factor 15"	O94989	17	8310241-8322514	"Predicted intracellular proteins"		"GTPase activation, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 46.2;breast: 40.2"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 62.0;Endothelial cells: 46.6;Lymphatic endothelial cells: 13.9;Microglial cells: 10.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	7	"Sarcoma: 1.3"	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Colon - Endothelial cells, Liver - Vascular Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA044443, HPA063495"			Supported	"Plasma membrane"			NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	2	"Plasma membrane"		"HPA044443: AB_10960424, HPA063495: AB_2685023"	"unprognostic (3.02e-1)"	"unprognostic (2.97e-1)"	"unprognostic (1.18e-2)"	"unprognostic (7.09e-3)"	"unprognostic (3.82e-1)"	"unprognostic (7.29e-4)"	"unprognostic (1.43e-2)"	"unprognostic (1.84e-1)"	"unprognostic (1.42e-1)"	"unprognostic (3.40e-1)"	"unprognostic (1.06e-2)"	"unprognostic (1.45e-1)"	"unprognostic (2.23e-3)"	"unprognostic (4.88e-2)"	"unprognostic (1.33e-1)"	"unprognostic (1.89e-1)"	"unprognostic (9.56e-3)"
ATG4A	"APG4A, AUTL2"	ENSG00000101844	"Autophagy related 4A cysteine peptidase"	Q8WYN0	X	108091668-108154671	"Enzymes, Predicted intracellular proteins"	"Autophagy, Lipid metabolism, Protein transport, Transport, Ubl conjugation pathway"	"Hydrolase, Protease, Thiol protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036374, HPA064759"	Uncertain		Approved	"Actin filaments,Microtubules"			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 35: Non-specific - Mitochondria"	"Cluster 21: Non-specific - Metabolism"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 77: Plasma cells - Protein processing"	2	Microtubules	"Actin filaments"	"HPA036374: AB_10672354, HPA064759: AB_2685346"	"prognostic unfavorable (1.36e-5)"	"unprognostic (1.41e-2)"	"unprognostic (3.65e-1)"	"unprognostic (2.52e-1)"	"unprognostic (1.28e-1)"	"unprognostic (1.79e-1)"	"unprognostic (1.18e-1)"	"unprognostic (2.83e-3)"	"unprognostic (2.23e-1)"	"unprognostic (3.14e-1)"	"unprognostic (2.62e-2)"	"unprognostic (4.09e-1)"	"unprognostic (1.03e-3)"	"unprognostic (7.53e-2)"	"unprognostic (2.98e-1)"	"unprognostic (5.02e-3)"	"unprognostic (1.20e-2)"
