Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ADAM28	"ADAM23, eMDCII, MDC-Lm, MDC-Ls"	ENSG00000042980	"ADAM metallopeptidase domain 28"	Q9UKQ2	8	24294069-24359014	"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"epididymis: 347.9;stomach 1: 107.1"	"Cell type enhanced"	"Detected in many"		"B-cells: 223.9;Gastric mucus-secreting cells: 131.5;Ionocytes: 76.2;Microglial cells: 222.8"	"Cancer enhanced"	"Detected in many"		"pancreatic cancer: 9.9"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"memory B-cell: 72.0;naive B-cell: 87.4"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"pancreatic cancer: 9.9"	"Thyroid - T-cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA074034	Enhanced		Approved	"Plasma membrane,Mitochondria"	"Secreted to blood"	Enzyme	NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 73: B-cells - B-cell function"	1	"Plasma membrane"	Mitochondria	"HPA074034: AB_2686654"	"unprognostic (4.23e-2)"	"unprognostic (1.01e-2)"	"unprognostic (2.06e-2)"	"prognostic favorable (3.17e-4)"	"unprognostic (2.89e-1)"	"unprognostic (2.55e-2)"	"unprognostic (5.59e-2)"	"unprognostic (1.53e-1)"	"unprognostic (4.71e-1)"	"unprognostic (1.35e-2)"	"unprognostic (3.77e-3)"	"unprognostic (7.77e-2)"	"unprognostic (3.97e-3)"	"unprognostic (1.71e-2)"	"unprognostic (1.30e-1)"	"unprognostic (2.60e-1)"	"unprognostic (1.62e-1)"
AKR7A3		ENSG00000162482	"Aldo-keto reductase family 7 member A3"	O95154	1	19282573-19288770	"Metabolic proteins, Predicted intracellular proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 241.7;liver: 150.8;pancreas: 280.1;stomach 1: 218.3"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 198.9;Gastric mucus-secreting cells: 346.7;Proximal enterocytes: 1214.3;Proximal tubular cells: 627.0"	"Cancer enhanced"	"Detected in many"		"liver cancer: 36.8"	"Region enriched"	"Detected in all"	5	"choroid plexus: 35.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 16.8;colorectal cancer: 19.5;Gastric cancer: 18.9"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA064638			Supported	"Golgi apparatus,Cytosol"			NA	NA		1900000		"Cluster 48: Stomach - Proteolysis"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 22: Proximal enterocytes - Digestion"	5	Cytosol	"Golgi apparatus"	"HPA064638: AB_2685307"	"unprognostic (7.78e-2)"	"unprognostic (5.07e-2)"	"unprognostic (6.08e-2)"	"unprognostic (1.61e-1)"	"unprognostic (1.10e-2)"	"unprognostic (8.84e-2)"	"unprognostic (3.85e-3)"	"unprognostic (7.70e-3)"	"unprognostic (2.72e-1)"	"unprognostic (2.50e-2)"	"unprognostic (1.17e-1)"	"unprognostic (2.98e-1)"	"prognostic favorable (8.80e-7)"	"unprognostic (4.53e-2)"	"unprognostic (5.58e-2)"	"unprognostic (2.85e-1)"	"unprognostic (2.35e-1)"
ANG	"RAA1, RNASE5"	ENSG00000214274	Angiogenin	P03950	14	20684177-20698971	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Angiogenesis, Differentiation, Stress response"	"Developmental protein, DNA-binding, Endonuclease, Hydrolase, Nuclease, Protein synthesis inhibitor"	"Amyotrophic lateral sclerosis, Cancer-related genes, Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	52	"liver: 2920.4"	"Cell type enriched"	"Detected in many"	25	"Hepatocytes: 5169.3"	"Cancer enriched"	"Detected in all"	17	"liver cancer: 279.2"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"classical monocyte: 24.6;myeloid DC: 14.6"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Fibroblasts, Liver - Hepatocytes, Liver - Hepatocytes, Stomach - Gastric mucous cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA055896			Approved	"Nucleoli,Nucleoli rim,Mitotic chromosome,Actin filaments"	"Secreted to blood"	"Developmental protein"	Yes	No	308000000	410000000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 31: Liver - Plasma proteins"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 43: Hepatocytes - Metabolism"	5	"Nucleoli, Nucleoli rim, Mitotic chromosome"	"Actin filaments"	"HPA055896: "	"unprognostic (2.50e-2)"	"unprognostic (1.82e-1)"	"unprognostic (9.77e-2)"	"prognostic favorable (6.85e-4)"	"unprognostic (5.71e-3)"	"unprognostic (6.99e-2)"	"prognostic favorable (7.83e-5)"	"unprognostic (1.16e-1)"	"unprognostic (3.20e-3)"	"unprognostic (9.19e-3)"	"unprognostic (1.31e-1)"	"unprognostic (3.69e-1)"	"unprognostic (6.65e-2)"	"unprognostic (1.03e-1)"	"unprognostic (3.39e-1)"	"unprognostic (2.00e-1)"	"unprognostic (3.09e-1)"
ARHGEF16	"GEF16, NBR"	ENSG00000130762	"Rho guanine nucleotide exchange factor 16"	Q5VV41	1	3454665-3481113	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 42.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 75.4;Extravillous trophoblasts: 65.7;Gastric mucus-secreting cells: 56.6;Intestinal goblet cells: 57.1;Paneth cells: 48.6;Proximal enterocytes: 64.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells, Lung - Alveolar cells type 2, Stomach - Gastric mucous cells"	"Region enhanced"	"Detected in many"		"olfactory bulb: 4.7"	"Low region specificity"	"Detected in many"			HPA010609	Approved						NA	NA				"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 5: Enterocytes - Absorption"	8			"HPA010609: AB_1845004"	"unprognostic (1.28e-1)"	"unprognostic (1.92e-1)"	"unprognostic (1.71e-1)"	"unprognostic (1.83e-2)"	"unprognostic (4.31e-1)"	"unprognostic (2.09e-2)"	"prognostic unfavorable (1.82e-4)"	"unprognostic (2.65e-1)"	"unprognostic (5.59e-2)"	"unprognostic (1.79e-2)"	"unprognostic (5.39e-2)"	"unprognostic (9.16e-2)"	"prognostic favorable (1.24e-10)"	"unprognostic (6.46e-2)"	"unprognostic (2.86e-1)"	"unprognostic (1.71e-2)"	"unprognostic (3.29e-2)"
AZGP1	"ZA2G, ZAG"	ENSG00000160862	"Alpha-2-glycoprotein 1, zinc-binding"	P25311	7	99966720-99976042	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 2718.3;salivary gland: 3732.5"	"Cell type enhanced"	"Detected in many"		"Breast glandular cells: 1494.4;Hepatocytes: 4213.4;Mucus glandular cells: 2188.5;Prostatic glandular cells: 4198.4;Serous glandular cells: 4020.8"	"Group enriched"	"Detected in many"	12	"breast cancer: 412.6;liver cancer: 273.6;prostate cancer: 469.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 226.3;prostate cancer: 78.4"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Breast glandular cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Liver - Hepatocytes, Prostate - Prostate glandular cells, Stomach - Chief cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA012582, HPA012876, CAB016087, CAB032276"	Enhanced		Approved	Nucleoplasm,Vesicles	"Secreted to blood"	"No annotated function"	NA	NA	55200000000	74000000000		"Cluster 68: Non-specific - Protein processing"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 75: Serous glandular cells - Salivary secretion"	2	Vesicles	Nucleoplasm	"CAB016087: AB_667849, CAB032276: AB_2062580, HPA012582: AB_1845226, HPA012876: "	"unprognostic (8.14e-2)"	"unprognostic (1.50e-1)"	"unprognostic (3.41e-1)"	"unprognostic (5.42e-3)"	"unprognostic (4.98e-2)"	"unprognostic (5.74e-3)"	"prognostic favorable (2.90e-4)"	"unprognostic (1.50e-1)"	"unprognostic (1.85e-1)"	"unprognostic (2.19e-1)"	"unprognostic (2.35e-2)"	"unprognostic (1.79e-1)"	"prognostic favorable (1.53e-4)"	"unprognostic (2.18e-1)"	"unprognostic (2.08e-2)"	"unprognostic (9.80e-2)"	"unprognostic (3.51e-3)"
B3GALT2	beta3Gal-T2	ENSG00000162630	"Beta-1,3-galactosyltransferase 2"	O43825	1	193178730-193186613	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 15.9;gallbladder: 14.6;heart muscle: 20.3"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 41.2;Cardiomyocytes: 43.5;Excitatory neurons: 26.6;Inhibitory neurons: 27.0;Leydig cells: 29.4;Peritubular cells: 19.5"	"Cancer enhanced"	"Detected in some"		"glioma: 2.4"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	4	"MAIT T-cell: 8.4"	"Lineage enriched"	"Detected in single"	53	"T-cells: 8.4"	"Cancer enhanced"	"Detected in some"		"pancreatic cancer: 3.5"	"Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA078659			Approved	"Plasma membrane"			NA	NA			"Cluster 1: T-cells - Unknown function"	"Cluster 30: Heart muscle - Heart development"	"Cluster 53: Neurons - Mixed function"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 65: Neurons - Synaptic function"		"Plasma membrane"		"HPA078659: AB_2686887"	"unprognostic (1.83e-2)"	"unprognostic (3.81e-2)"	"unprognostic (1.91e-2)"	"unprognostic (1.17e-1)"	"unprognostic (3.67e-1)"	"unprognostic (1.58e-3)"	"unprognostic (2.34e-3)"	"unprognostic (2.43e-3)"	"unprognostic (1.63e-1)"	"unprognostic (2.44e-1)"	"unprognostic (6.14e-4)"	"unprognostic (4.41e-2)"	"unprognostic (8.10e-3)"	"unprognostic (2.72e-1)"	"unprognostic (1.36e-1)"	"unprognostic (1.89e-1)"	"unprognostic (4.56e-3)"
B3GNT3	"B3GN-T3, B3GNT-3, beta3Gn-T3, HP10328, TMEM3"	ENSG00000179913	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"	Q9Y2A9	19	17794828-17813576	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 42.6;salivary gland: 30.4;stomach 1: 42.0"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 80.1;Cytotrophoblasts: 83.2;Distal enterocytes: 96.8;Intestinal goblet cells: 43.4;Paneth cells: 75.2;Proximal enterocytes: 58.0;Syncytiotrophoblasts: 70.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"pancreatic cancer: 64.9"	"Colon - Colon enterocytes, Prostate - Urothelial cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA024298	Enhanced				"Intracellular and membrane"	Enzyme	NA	NA		74000	"Cluster 39: T-cells - T-cell receptor"	"Cluster 45: Intestine - Digestion"	"Cluster 35: Non-specific - DNA binding"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 24: Cytotrophoblasts - Mitochondria"				"HPA024298: AB_1845236"	"unprognostic (1.10e-1)"	"unprognostic (5.19e-2)"	"unprognostic (1.84e-1)"	"unprognostic (4.84e-3)"		"unprognostic (1.10e-1)"	"unprognostic (1.18e-1)"	"prognostic unfavorable (4.25e-5)"	"unprognostic (3.26e-1)"	"unprognostic (4.64e-2)"	"prognostic unfavorable (2.16e-4)"	"unprognostic (1.91e-1)"	"unprognostic (1.44e-2)"	"unprognostic (7.38e-2)"	"unprognostic (1.26e-1)"	"unprognostic (7.10e-2)"	"unprognostic (2.57e-2)"
B3GNT6	B3Gn-T6	ENSG00000198488	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"	Q6ZMB0	11	77034398-77041973	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"intestine: 21.0;salivary gland: 6.2;stomach 1: 24.2"	"Group enriched"	"Detected in some"	9	"Gastric mucus-secreting cells: 25.4;Intestinal goblet cells: 57.3"	"Group enriched"	"Detected in some"	14	"colorectal cancer: 6.3;lung cancer: 3.9;pancreatic cancer: 5.1;prostate cancer: 5.0;stomach cancer: 4.7"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gastric cancer: 1.3;lung cancer: 1.8"	"Colon - Colon enterocytes, Stomach - Gastric mucous cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA039805	Enhanced				"Intracellular and membrane"	Enzyme	NA	NA				"Cluster 45: Intestine - Digestion"	"Cluster 34: Non-specific - Mixed function"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 16: Intestinal goblet cells - Mucin production"				"HPA039805: AB_2676690"		"unprognostic (1.71e-1)"	"prognostic favorable (2.31e-4)"	"unprognostic (4.79e-2)"	"unprognostic (5.42e-2)"	"unprognostic (7.64e-2)"		"unprognostic (1.95e-1)"		"unprognostic (2.72e-1)"	"unprognostic (1.23e-2)"	"unprognostic (7.77e-2)"		"unprognostic (2.19e-1)"		"unprognostic (9.30e-2)"	"unprognostic (1.71e-1)"
C17orf100	LOC388327	ENSG00000256806	"Chromosome 17 open reading frame 100"	A8MU93	17	6651762-6693202	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 29.7;Late spermatids: 52.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			HPA046824			Approved	"Nucleoplasm,Cytokinetic bridge,Cytosol"			Yes	No			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 32: Endocrine & Neural - Unknown function"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 36: Late spermatids - Unknown function"		Nucleoplasm	"Cytokinetic bridge, Cytosol"	"HPA046824: AB_2679825"	"unprognostic (9.24e-3)"	"unprognostic (1.79e-1)"	"unprognostic (3.16e-1)"	"unprognostic (6.37e-3)"	"unprognostic (1.56e-1)"	"unprognostic (1.90e-2)"	"unprognostic (1.19e-1)"	"unprognostic (8.99e-2)"	"unprognostic (2.69e-1)"	"unprognostic (2.02e-3)"	"unprognostic (2.58e-3)"	"unprognostic (4.72e-2)"	"unprognostic (5.54e-3)"	"unprognostic (4.52e-2)"	"unprognostic (9.68e-2)"	"unprognostic (9.44e-2)"	"unprognostic (7.65e-2)"
C2CD4A	"FAM148A, NLF1"	ENSG00000198535	"C2 calcium dependent domain containing 4A"	Q8NCU7	15	62066977-62070917	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"kidney: 4.9;pituitary gland: 13.2"	"Cell type enriched"	"Detected in many"	8	"Glandular and luminal cells: 125.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gastric cancer: 3.5"										HPA078864			Supported	Nucleoplasm,Nucleoli			NA	NA				"Cluster 68: Non-specific - Protein processing"	"Cluster 1: Neurons - Mixed function"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 37: Glandular & Luminal cells - Unknown function"		Nucleoplasm	Nucleoli	"HPA078864: "	"unprognostic (3.85e-2)"	"unprognostic (6.68e-2)"	"unprognostic (5.00e-3)"	"unprognostic (1.73e-1)"	"unprognostic (1.32e-1)"	"unprognostic (5.38e-3)"	"unprognostic (5.49e-3)"	"unprognostic (3.85e-1)"	"unprognostic (1.67e-1)"	"unprognostic (9.21e-2)"	"unprognostic (3.89e-2)"	"unprognostic (2.99e-1)"	"prognostic unfavorable (4.15e-4)"	"unprognostic (4.72e-2)"	"unprognostic (2.07e-2)"	"unprognostic (6.26e-2)"	"unprognostic (3.35e-1)"
