Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
AADAT	"KAT2, KATII, KYAT2"	ENSG00000109576	"Aminoadipate aminotransferase"	Q8N5Z0	4	170060222-170091699	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Aminotransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 65.0"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 21.1;Extravillous trophoblasts: 79.0;Hepatocytes: 27.8;Spermatogonia: 20.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"prostate cancer: 48.9"	"Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA037502	Enhanced		Approved	"Vesicles,Plasma membrane"			NA	NA				"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 53: Neurons - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 4: Extravillous trophoblasts - Unknown function"		"Plasma membrane"	Vesicles	"HPA037502: AB_10671759"	"unprognostic (1.90e-1)"	"unprognostic (1.82e-2)"	"prognostic favorable (5.59e-4)"	"unprognostic (4.21e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.06e-1)"	"unprognostic (7.41e-2)"	"unprognostic (1.03e-2)"	"unprognostic (2.97e-2)"	"unprognostic (3.38e-2)"	"unprognostic (1.23e-2)"	"unprognostic (3.55e-1)"	"unprognostic (1.35e-1)"	"unprognostic (1.23e-2)"	"unprognostic (1.39e-1)"	"unprognostic (7.28e-3)"	"unprognostic (1.17e-2)"
ACACA	"ACAC, Acac1, ACACalpha, ACC, ACC-alpha, ACC1, ACCA, ACCalpha, hACC1"	ENSG00000278540	"Acetyl-CoA carboxylase alpha"	Q13085	17	37084992-37406836	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 131.0;Excitatory neurons: 223.0;Inhibitory neurons: 189.4;Oligodendrocyte precursor cells: 169.8;Oligodendrocytes: 173.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Lung - Alveolar cells type 2, Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB013715, HPA036650, HPA063018"	Approved		Supported	"Nucleoli fibrillar center,Actin filaments,Cytosol"			NA	NA		110000	"Cluster 14: Non-specific - Unknown function"	"Cluster 34: Non-specific - Mixed function"	"Cluster 1: Neurons - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	5	Cytosol	"Nucleoli fibrillar center, Actin filaments"	"CAB013715: , HPA036650: AB_2675228, HPA063018: AB_2684922"	"unprognostic (1.96e-2)"	"unprognostic (1.07e-2)"	"unprognostic (3.04e-2)"	"unprognostic (1.10e-1)"	"unprognostic (4.86e-2)"	"unprognostic (1.19e-1)"	"prognostic unfavorable (1.24e-5)"	"unprognostic (8.81e-2)"	"unprognostic (6.56e-2)"	"unprognostic (2.38e-3)"	"unprognostic (3.38e-1)"	"unprognostic (2.24e-1)"	"unprognostic (6.72e-2)"	"unprognostic (1.18e-1)"	"unprognostic (4.89e-1)"	"unprognostic (4.49e-2)"	"unprognostic (2.03e-2)"
ACER1	ASAH3	ENSG00000167769	"Alkaline ceramidase 1"	Q8TDN7	19	6306142-6333612	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism, Sphingolipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"skin 1: 85.3"	"Cell type enriched"	"Detected in some"	6	"Suprabasal keratinocytes: 16.1"	"Group enriched"	"Detected in some"	7	"head and neck cancer: 1.0;melanoma: 2.2;prostate cancer: 0.6"	"Low region specificity"	"Detected in some"			"Low immune cell specificity"	"Detected in some"			"Lineage enriched"	"Detected in single"	4	"T-cells: 1.2"	"Cancer enhanced"	"Detected in single"		"prostate cancer: 1.1"	"Prostate - Prostate glandular cells, Skin - Keratinocyte (granular)"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"										NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 13: Skin - Cornification"	"Cluster 48: Non-specific - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 59: Suprabasal keratinocytes - Cornification"	1				"unprognostic (1.13e-2)"	"unprognostic (2.87e-4)"		"unprognostic (5.04e-2)"	"unprognostic (6.18e-2)"	"unprognostic (8.16e-4)"	"unprognostic (7.27e-4)"	"unprognostic (2.17e-2)"	"unprognostic (1.61e-1)"	"unprognostic (1.99e-1)"	"unprognostic (1.02e-4)"	"unprognostic (1.02e-1)"	"unprognostic (1.30e-5)"	"unprognostic (2.11e-1)"	"unprognostic (4.44e-2)"	"unprognostic (4.22e-1)"	"unprognostic (2.24e-1)"
ACP3	"ACP-3, ACPP, PAP, TM-PAP"	ENSG00000014257	"Acid phosphatase 3"	P15309	3	132317369-132368302	"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Lipid metabolism"	Hydrolase	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	76	"prostate: 3512.4"	"Cell type enriched"	"Detected in many"	443	"Prostatic glandular cells: 16688.0"	"Cancer enriched"	"Detected in many"	275	"prostate cancer: 1227.2"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 139.9"	"Lineage enhanced"	"Detected in many"		"granulocytes: 139.9"	"Cancer enriched"	"Detected in many"	36	"prostate cancer: 250.9"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Breast glandular cells, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB000071, HPA004335, HPA063916"	Enhanced				"Secreted to blood"	Enzyme	NA	NA	460000	480000	"Cluster 7: Non-specific - Innate immune response"	"Cluster 64: Neuronal - Transcription"	"Cluster 55: Non-specific - Transcription"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 40: Prostatic glandular cells - Transcription"	1			"CAB000071: , HPA004335: AB_1079684, HPA063916: AB_2685152"	"unprognostic (6.67e-2)"	"unprognostic (4.70e-2)"	"unprognostic (1.76e-1)"	"unprognostic (7.77e-2)"	"unprognostic (1.74e-1)"	"unprognostic (2.58e-2)"	"unprognostic (2.46e-1)"	"unprognostic (7.41e-2)"	"unprognostic (1.81e-1)"	"unprognostic (3.78e-3)"	"unprognostic (2.14e-1)"	"unprognostic (5.95e-2)"	"unprognostic (9.38e-2)"	"unprognostic (1.35e-1)"	"unprognostic (1.18e-1)"	"unprognostic (3.91e-2)"	"unprognostic (1.71e-1)"
ACP4	ACPT	ENSG00000142513	"Acid phosphatase 4"	Q9BZG2	19	50790415-50795219	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"		Hydrolase	"Amelogenesis imperfecta, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"skin 1: 1.2;testis: 3.6"	"Cell type enriched"	"Detected in some"	13	"Late spermatids: 346.5"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"prostate cancer: 3.5"	"Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 21: Testis - Unknown function"	"Cluster 15: Non-specific - Transcription"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 63: Late spermatids - Spermatogenesis"					"unprognostic (9.41e-2)"	"unprognostic (1.86e-1)"	"unprognostic (4.00e-3)"	"unprognostic (3.70e-3)"	"unprognostic (7.62e-2)"	"unprognostic (3.18e-2)"	"unprognostic (3.89e-3)"	"unprognostic (5.46e-2)"	"unprognostic (2.47e-1)"	"unprognostic (5.59e-2)"	"unprognostic (3.96e-1)"	"unprognostic (1.45e-1)"	"unprognostic (2.37e-3)"	"unprognostic (2.36e-1)"	"unprognostic (4.40e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.32e-1)"
ACTL10	C20orf134	ENSG00000288649	"Actin like 10"	Q5JWF8	20	33666943-33668525	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"testis: 7.7"	"Not detected"	"Not detected"							"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA			"Cluster 45: Eosinophils - Unknown function"		"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"																						
ADAM7	"EAPI, GP-83"	ENSG00000069206	"ADAM metallopeptidase domain 7"	Q9H2U9	8	24440930-24526970	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	239	"epididymis: 3638.5"	"Cell type enriched"	"Detected in some"	11	"Early spermatids: 128.4"	"Group enriched"	"Detected in some"	16	"prostate cancer: 1.0;renal cancer: 0.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	22	"prostate cancer: 2.5"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA008879	Enhanced				"Intracellular and membrane"	"No annotated function"	NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 18: Early spermatids - Unknown function"				"HPA008879: AB_10601789"												"unprognostic (1.03e-3)"	"unprognostic (3.96e-4)"				
AIDA	"C1orf80, FLJ12806"	ENSG00000186063	"Axin interactor, dorsalization associated"	Q96BJ3	1	222668013-222713210	"Predicted intracellular proteins"		"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA027935	Approved		Approved	"Microtubules,Cytokinetic bridge,Cytosol"			Yes	No			"Cluster 14: Non-specific - Unknown function"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 32: Smooth muscle cells - Muscle contraction"	6	"Microtubules, Cytosol"	"Cytokinetic bridge"	"HPA027935: AB_10602226"	"unprognostic (2.33e-1)"	"prognostic unfavorable (7.08e-5)"	"unprognostic (1.37e-1)"	"unprognostic (1.43e-2)"	"unprognostic (2.63e-2)"	"unprognostic (7.28e-2)"	"unprognostic (2.58e-2)"	"unprognostic (2.26e-2)"	"unprognostic (2.73e-1)"	"unprognostic (4.43e-2)"	"unprognostic (2.09e-3)"	"unprognostic (2.08e-1)"	"prognostic unfavorable (4.37e-4)"	"unprognostic (1.28e-1)"	"unprognostic (2.15e-1)"	"unprognostic (2.17e-1)"	"unprognostic (2.70e-2)"
ALDH6A1	MMSDH	ENSG00000119711	"Aldehyde dehydrogenase 6 family member A1"	Q02252	14	74056847-74084492	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	5	"kidney: 365.2;liver: 355.6"	"Group enriched"	"Detected in many"	5	"Hepatocytes: 540.4;Proximal tubular cells: 777.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"eosinophil: 43.2"	"Lineage enriched"	"Detected in all"	4	"granulocytes: 43.2"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Liver - Hepatocytes, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA029072, HPA029073, HPA029074, HPA029075"	Enhanced		Enhanced	Mitochondria			No	No		37000	"Cluster 41: Basophils - Unknown function"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"		Mitochondria		"HPA029072: AB_10599176, HPA029073: AB_10601877, HPA029074: AB_10601000, HPA029075: AB_10602005"	"unprognostic (1.45e-1)"	"unprognostic (5.38e-2)"	"unprognostic (6.89e-2)"	"unprognostic (6.95e-3)"	"unprognostic (1.46e-1)"	"unprognostic (7.93e-2)"	"unprognostic (1.11e-3)"	"prognostic favorable (4.22e-4)"	"unprognostic (1.58e-1)"	"unprognostic (9.10e-2)"	"unprognostic (3.11e-2)"	"unprognostic (2.13e-1)"	"prognostic favorable (2.00e-15)"	"unprognostic (4.59e-1)"	"unprognostic (1.92e-1)"	"unprognostic (6.05e-3)"	"unprognostic (1.12e-1)"
AMD1	SAMDC	ENSG00000123505	"Adenosylmethionine decarboxylase 1"	P17707	6	110874770-110898879	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Polyamine biosynthesis, Spermidine biosynthesis"	"Decarboxylase, Lyase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"prostate: 196.2"	"Cell type enhanced"	"Detected in all"		"Prostatic glandular cells: 734.9"	"Cancer enhanced"	"Detected in all"		"prostate cancer: 70.4"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in single"			"HPA029281, HPA029282"	Approved		Approved	Nucleoplasm			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 80: Non-specific - Transcription"	1	Nucleoplasm		"HPA029281: AB_10600101, HPA029282: AB_10599965"	"prognostic unfavorable (3.87e-4)"	"unprognostic (4.68e-2)"	"unprognostic (1.85e-3)"	"unprognostic (1.01e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.05e-1)"	"prognostic unfavorable (1.91e-6)"	"unprognostic (1.18e-1)"	"unprognostic (2.03e-2)"	"unprognostic (6.50e-2)"	"unprognostic (2.25e-1)"	"unprognostic (4.20e-1)"	"prognostic favorable (4.28e-4)"	"unprognostic (8.62e-3)"	"unprognostic (1.55e-1)"	"unprognostic (4.41e-2)"	"unprognostic (7.71e-2)"
