Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABRA	STARS	ENSG00000174429	"Actin binding Rho activating protein"	Q8N0Z2	8	106759483-106770244	"Predicted intracellular proteins"	"Protein transport, Transcription, Transcription regulation, Translocation, Transport"	"Actin-binding, Activator"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 30.4;skeletal muscle: 139.7;tongue: 61.3"	"Group enriched"	"Detected in some"	32	"Cardiomyocytes: 243.8;Early spermatids: 198.3;Skeletal myocytes: 260.5"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	241	"Rhabdoid: 26.3"	"Adipose visceral - Smooth muscle cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Smooth muscle cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 2: Neurons - Nucleosome"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 68: Cardiomyocytes - Muscle contraction"	1				"unprognostic (9.08e-3)"	"unprognostic (1.61e-2)"	"unprognostic (3.26e-1)"	"unprognostic (4.32e-2)"	"unprognostic (1.86e-1)"	"unprognostic (2.64e-2)"		"unprognostic (1.35e-2)"		"unprognostic (6.84e-2)"	"unprognostic (2.69e-1)"	"unprognostic (2.09e-1)"	"unprognostic (2.69e-1)"	"unprognostic (1.15e-2)"		"unprognostic (4.34e-1)"	"unprognostic (6.21e-3)"
ACCS	"ACS, PHACS"	ENSG00000110455	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)"	Q96QU6	11	44065925-44084237	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA018873, HPA021654"	Approved		Approved	"Golgi apparatus"			NA	NA			"Cluster 29: Non-specific - Unknown function"	"Cluster 47: Spleen - Immune response"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	1	"Golgi apparatus"		"HPA018873: AB_1855273, HPA021654: AB_1855274"	"unprognostic (3.96e-2)"	"unprognostic (1.90e-1)"	"unprognostic (1.98e-1)"	"unprognostic (1.86e-1)"	"unprognostic (7.86e-3)"	"unprognostic (2.01e-2)"	"unprognostic (1.40e-1)"	"unprognostic (7.57e-3)"	"unprognostic (1.41e-1)"	"unprognostic (3.38e-2)"	"prognostic favorable (4.25e-4)"	"unprognostic (6.51e-2)"	"unprognostic (3.07e-2)"	"unprognostic (2.29e-1)"	"unprognostic (2.14e-1)"	"unprognostic (5.63e-3)"	"unprognostic (1.92e-2)"
ACTN3		ENSG00000248746	"Actinin alpha 3"	Q08043	11	66546395-66563334	"Plasma proteins, Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	72	"skeletal muscle: 1612.5"	"Cell type enriched"	"Detected in some"	6	"Skeletal myocytes: 114.2"	"Cancer enriched"	"Detected in single"	5	"testis cancer: 0.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"Rhabdoid: 5.5"	"Skeletal muscle - Skeletal myocytes, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			HPA006035	Uncertain		Approved	"Actin filaments,Cytosol"			NA	NA		11000000		"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 15: Non-specific - Transcription"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 2: Skeletal myocytes - Muscle contraction"	38	"Actin filaments"	Cytosol	"HPA006035: AB_1078095"	"unprognostic (2.54e-1)"	"unprognostic (1.07e-1)"	"unprognostic (6.16e-2)"	"unprognostic (1.46e-1)"	"unprognostic (1.70e-1)"	"unprognostic (3.35e-4)"	"unprognostic (1.40e-3)"	"unprognostic (5.37e-3)"	"unprognostic (5.09e-3)"	"unprognostic (1.19e-1)"	"unprognostic (1.17e-1)"	"unprognostic (1.66e-2)"	"unprognostic (6.71e-9)"	"unprognostic (2.06e-1)"	"unprognostic (6.98e-2)"	"unprognostic (5.16e-2)"	"unprognostic (2.48e-1)"
ACTRT3	ARPM1	ENSG00000184378	"Actin related protein T3"	Q9BYD9	3	169766921-169769561	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	17	"testis: 46.1"	"Cell type enriched"	"Detected in many"	4	"Early spermatids: 1152.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Adipocytes (Breast), Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA035817, HPA035818"	Approved		Approved	Nucleoplasm			NA	NA				"Cluster 20: Testis - Spermatogenesis"	"Cluster 31: Non-specific - Transcription"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 21: Early spermatids - Spermatogenesis"		Nucleoplasm		"HPA035817: AB_10671938, HPA035818: AB_2674801"	"unprognostic (2.35e-1)"	"unprognostic (9.39e-2)"	"unprognostic (2.10e-2)"	"prognostic unfavorable (4.11e-4)"	"unprognostic (1.89e-2)"	"unprognostic (1.75e-1)"	"unprognostic (3.29e-1)"	"unprognostic (1.24e-1)"	"unprognostic (7.31e-4)"	"unprognostic (2.64e-1)"	"unprognostic (9.16e-2)"	"unprognostic (4.41e-2)"	"unprognostic (8.03e-2)"	"unprognostic (8.49e-2)"	"unprognostic (1.63e-1)"	"unprognostic (8.25e-3)"	"unprognostic (2.22e-1)"
ADAM2	"CT15, FTNB, PH-30b, PH30"	ENSG00000104755	"ADAM metallopeptidase domain 2"	Q99965	8	39743735-39838227	"Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	371	"testis: 37.0"	"Group enriched"	"Detected in some"	4	"Early spermatids: 36.7;Spermatocytes: 75.0"	"Cancer enriched"	"Detected in single"	5	"prostate cancer: 1.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB022390, HPA024621, HPA026581"	Enhanced						NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 5: Rhabdoid - Unknown function"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"				"CAB022390: , HPA024621: AB_1844576, HPA026581: AB_1844577"				"unprognostic (4.74e-2)"								"unprognostic (1.67e-3)"					"unprognostic (3.82e-1)"
ADAMTS20	GON-1	ENSG00000173157	"ADAM metallopeptidase with thrombospondin type 1 motif 20"	P59510	12	43353866-43552203	"Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Bipolar cells: 4.6;Inhibitory neurons: 15.4;Oligodendrocyte precursor cells: 10.4"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"medulla oblongata: 3.6;pons: 6.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 9.4"	"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA027608, HPA027609"	Uncertain				"Secreted to extracellular matrix"	Enzyme	NA	NA					"Cluster 49: Hindbrain - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 65: Neurons - Synaptic function"				"HPA027608: AB_10600098, HPA027609: AB_10599024"	"unprognostic (3.18e-2)"			"unprognostic (1.19e-1)"	"unprognostic (1.91e-2)"	"unprognostic (2.04e-1)"		"unprognostic (9.61e-2)"	"unprognostic (3.29e-1)"	"unprognostic (6.67e-2)"	"unprognostic (2.26e-1)"		"unprognostic (1.05e-4)"	"unprognostic (7.42e-2)"	"unprognostic (2.02e-1)"	"unprognostic (9.81e-3)"	"unprognostic (2.57e-1)"
ADGRL1	"CIRL1, KIAA0821, LEC2, LPHN1"	ENSG00000072071	"Adhesion G protein-coupled receptor L1"	O94910	19	14147743-14206187	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Autism spectrum disorder, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 72.3"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 47.2;Excitatory neurons: 51.0;Horizontal cells: 54.1;Inhibitory neurons: 44.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA037974	Uncertain						NA	NA		180000	"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 51: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	1			"HPA037974: AB_10675623"	"unprognostic (5.52e-2)"	"unprognostic (3.89e-1)"	"unprognostic (1.04e-1)"	"unprognostic (5.52e-3)"	"unprognostic (6.29e-2)"	"unprognostic (2.07e-1)"	"unprognostic (2.31e-2)"	"unprognostic (5.39e-2)"	"unprognostic (2.73e-1)"	"unprognostic (5.68e-2)"	"prognostic favorable (1.14e-4)"	"unprognostic (2.09e-1)"	"prognostic favorable (4.45e-4)"	"unprognostic (7.65e-3)"	"unprognostic (1.32e-1)"	"unprognostic (3.06e-2)"	"unprognostic (2.18e-1)"
ADGRL2	"CIRL2, KIAA0786, LEC1, LPHH1, LPHN2"	ENSG00000117114	"Adhesion G protein-coupled receptor L2"	O95490	1	81306147-81993932	"G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in many"	9	"Excitatory neurons: 873.5;Inhibitory neurons: 619.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Lung - Endothelial cells, Prostate - Fibroblasts, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA043447			Approved	"Plasma membrane"			NA	NA		700000		"Cluster 7: Adipose tissue - Mixed function"	"Cluster 53: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"		"Plasma membrane"		"HPA043447: AB_2678486"	"unprognostic (2.54e-2)"	"unprognostic (6.29e-3)"	"unprognostic (2.57e-1)"	"prognostic unfavorable (1.33e-4)"	"unprognostic (3.22e-1)"	"unprognostic (1.61e-1)"	"prognostic unfavorable (9.92e-4)"	"unprognostic (3.55e-2)"	"unprognostic (9.84e-2)"	"unprognostic (2.42e-1)"	"unprognostic (7.81e-2)"	"unprognostic (8.01e-2)"	"unprognostic (1.61e-1)"	"prognostic unfavorable (3.00e-4)"	"unprognostic (2.76e-1)"	"unprognostic (3.38e-3)"	"unprognostic (1.41e-2)"
ADGRL3	"KIAA0768, LEC3, LPHN3"	ENSG00000150471	"Adhesion G protein-coupled receptor L3"	Q9HAR2	4	61200326-62078335	"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 24.1"	"Group enriched"	"Detected in many"	11	"Astrocytes: 553.9;Excitatory neurons: 672.7;Inhibitory neurons: 706.4;Oligodendrocyte precursor cells: 1220.7;Oligodendrocytes: 551.2"	"Cancer enriched"	"Detected in some"	9	"glioma: 5.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Sarcoma: 8.0"	"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Breast - Smooth muscle cells, Colon - Enteric glia cells, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skin - Outer root sheath cells, Thyroid - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA015027, HPA015762, CAB022698"	Uncertain						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 1: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	1			"CAB022698: , HPA015027: AB_1853243, HPA015762: AB_1853245"	"unprognostic (2.88e-2)"	"unprognostic (1.12e-1)"	"unprognostic (6.43e-4)"	"unprognostic (1.79e-2)"	"unprognostic (1.88e-1)"	"unprognostic (7.56e-2)"	"unprognostic (8.70e-2)"	"unprognostic (5.42e-2)"	"unprognostic (1.62e-2)"	"unprognostic (1.28e-1)"	"unprognostic (6.81e-2)"	"unprognostic (1.28e-1)"	"unprognostic (1.62e-5)"	"unprognostic (1.03e-2)"	"unprognostic (1.44e-1)"	"unprognostic (9.85e-3)"	"unprognostic (4.23e-3)"
AGBL2	"CCP2, FLJ23598"	ENSG00000165923	"AGBL carboxypeptidase 2"	Q5U5Z8	11	47659591-47715389	"Enzymes, Predicted intracellular proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"fallopian tube: 7.4;testis: 12.0"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 33.0;Early spermatids: 46.8;Late spermatids: 10.4;Spermatocytes: 16.0"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA007718	Uncertain						NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 42: Ciliated cells - Cilium assembly"				"HPA007718: AB_1078110"	"unprognostic (3.44e-5)"	"unprognostic (1.16e-1)"	"unprognostic (5.84e-2)"	"unprognostic (5.33e-4)"	"unprognostic (1.13e-1)"	"unprognostic (3.00e-1)"	"unprognostic (2.05e-1)"	"unprognostic (1.38e-2)"	"unprognostic (9.83e-3)"	"unprognostic (4.11e-2)"	"unprognostic (5.56e-2)"	"unprognostic (1.79e-1)"	"unprognostic (8.24e-6)"	"unprognostic (1.01e-2)"	"unprognostic (1.28e-1)"	"unprognostic (9.62e-2)"	"unprognostic (1.17e-3)"
