Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ACTL6B	"ACTL6, BAF53B, SMARCN2"	ENSG00000077080	"Actin like 6B"	O94805	7	100643097-100656448	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator"	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	8	"brain: 52.2;pituitary gland: 14.9"	"Group enriched"	"Detected in some"	4	"Cone photoreceptor cells: 11.9;Excitatory neurons: 21.3;Horizontal cells: 12.0;Inhibitory neurons: 18.2"	"Group enriched"	"Detected in some"	11	"glioma: 3.9;pancreatic cancer: 1.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 7.5;Neuroblastoma: 27.1"	"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Thyroid - Parafollicular cells"	"Low region specificity"	"Detected in all"							HPA045126	Uncertain		Approved	"Nucleoli rim,Mitotic chromosome"			Yes	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"		"Nucleoli rim"	"Mitotic chromosome"	"HPA045126: AB_10961265"	"unprognostic (3.31e-2)"	"unprognostic (6.89e-2)"		"unprognostic (4.59e-3)"	"unprognostic (4.15e-2)"	"unprognostic (1.27e-3)"	"unprognostic (4.81e-3)"	"unprognostic (6.00e-2)"	"unprognostic (8.26e-3)"	"unprognostic (1.29e-1)"	"unprognostic (4.72e-3)"	"unprognostic (1.28e-1)"	"unprognostic (3.01e-4)"	"unprognostic (1.64e-1)"	"unprognostic (6.84e-2)"		"unprognostic (2.01e-2)"
ADAM22	MDC2	ENSG00000008277	"ADAM metallopeptidase domain 22"	Q9P0K1	7	87934143-88202889	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"	Receptor	"Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"brain: 51.3"	"Group enriched"	"Detected in many"	4	"Excitatory neurons: 277.1;Inhibitory neurons: 292.2;Oligodendrocyte precursor cells: 172.6;Oligodendrocytes: 116.9"	"Cancer enhanced"	"Detected in many"		"glioma: 4.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in all"		"Neuroblastoma: 29.5"	"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA050325, CAB079064"		Supported	Approved	"Cell Junctions"			NA	NA		180000		"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 65: Neurons - Synaptic function"	2	"Cell Junctions"		"CAB079064: , HPA050325: AB_2681087"	"unprognostic (1.20e-2)"	"unprognostic (8.61e-2)"	"unprognostic (3.38e-1)"	"unprognostic (1.94e-2)"	"unprognostic (2.89e-2)"	"unprognostic (3.09e-1)"	"unprognostic (7.84e-3)"	"unprognostic (1.38e-1)"	"unprognostic (1.23e-1)"	"unprognostic (1.56e-1)"	"unprognostic (3.71e-3)"	"unprognostic (1.69e-1)"	"unprognostic (3.47e-2)"	"unprognostic (4.13e-2)"	"unprognostic (2.77e-1)"	"unprognostic (1.61e-4)"	"unprognostic (4.70e-2)"
ADAMTS9	KIAA1312	ENSG00000163638	"ADAM metallopeptidase with thrombospondin type 1 motif 9"	Q9P2N4	3	64515654-64688000	"Cancer-related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"ER-Golgi transport, Protein transport, Transport"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 39.8"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 159.7;Astrocytes: 79.9;Endometrial stromal cells: 165.1;Endothelial cells: 174.4;Mesothelial cells: 119.2;Smooth muscle cells: 65.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 45.5;testis cancer: 37.3"	"Breast - Endothelial cells, Heart muscle - Endothelial cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA028567, HPA028577, HPA028601"	Approved		Approved	"Endoplasmic reticulum,Vesicles"	"Secreted to extracellular matrix"	Transport	No	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 44: Non-specific - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"		Vesicles	"Endoplasmic reticulum"	"HPA028567: AB_10599275, HPA028577: AB_10600330, HPA028601: AB_2672694"	"unprognostic (2.21e-1)"	"unprognostic (1.06e-1)"	"unprognostic (1.41e-1)"	"unprognostic (4.83e-2)"	"unprognostic (3.08e-1)"	"unprognostic (1.37e-2)"	"unprognostic (7.80e-3)"	"unprognostic (5.85e-2)"	"unprognostic (2.77e-1)"	"unprognostic (2.64e-1)"	"unprognostic (1.11e-1)"	"unprognostic (7.67e-2)"	"unprognostic (3.16e-3)"	"unprognostic (1.46e-2)"	"unprognostic (3.01e-1)"	"unprognostic (1.98e-3)"	"unprognostic (5.00e-3)"
ADCYAP1R1	"PAC1, PAC1R, PACAPR"	ENSG00000078549	"ADCYAP receptor type I"	P41586	7	31052308-31111474	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Differentiation, Spermatogenesis"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"brain: 79.0;fallopian tube: 29.2"	"Group enriched"	"Detected in some"	4	"Astrocytes: 54.2;Inhibitory neurons: 43.7"	"Cancer enriched"	"Detected in some"	11	"glioma: 45.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	16	"Neuroblastoma: 36.1"	"Pancreas - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA030739, HPA049877"	Enhanced		Enhanced	Vesicles			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 8: Neurons - Neuronal signaling"		Vesicles		"HPA030739: AB_2732461, HPA049877: AB_2680928"	"unprognostic (5.43e-2)"	"unprognostic (1.16e-1)"	"unprognostic (2.16e-2)"	"prognostic favorable (5.78e-4)"	"unprognostic (2.17e-1)"	"unprognostic (8.36e-2)"	"unprognostic (4.93e-2)"	"unprognostic (5.75e-2)"	"unprognostic (3.50e-2)"	"unprognostic (3.88e-1)"	"unprognostic (1.58e-1)"	"unprognostic (6.67e-3)"	"unprognostic (6.43e-4)"	"unprognostic (1.09e-3)"	"unprognostic (9.55e-2)"	"unprognostic (3.85e-2)"	"unprognostic (2.75e-4)"
AKT3	"PKBG, PRKBG, RAC-gamma"	ENSG00000117020	"AKT serine/threonine kinase 3"	Q9Y243	1	243488233-243851079	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Group enriched"	"Detected in many"	6	"Astrocytes: 433.8;Excitatory neurons: 730.9;Inhibitory neurons: 492.6;Microglial cells: 395.4;Oligodendrocyte precursor cells: 594.3;Oligodendrocytes: 443.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB013090, HPA026441, CAB080089"	Approved		Supported	"Golgi apparatus,Cytosol"			NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 64: Neuronal - Transcription"	"Cluster 34: Non-specific - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	3	Cytosol	"Golgi apparatus"	"CAB013090: AB_2533692, CAB080089: , HPA026441: AB_1844711"	"unprognostic (1.33e-1)"	"unprognostic (1.27e-1)"	"unprognostic (2.40e-2)"	"unprognostic (8.45e-2)"	"unprognostic (1.89e-1)"	"unprognostic (1.75e-1)"	"unprognostic (1.96e-1)"	"unprognostic (3.77e-1)"	"unprognostic (2.32e-1)"	"unprognostic (2.28e-1)"	"unprognostic (5.47e-3)"	"unprognostic (1.37e-1)"	"unprognostic (6.71e-2)"	"unprognostic (3.64e-3)"	"unprognostic (1.29e-1)"	"unprognostic (8.14e-2)"	"prognostic unfavorable (9.27e-4)"
ALK	"ALK1, CD246"	ENSG00000171094	"ALK receptor tyrosine kinase"	Q9UM73	2	29192774-29921586	"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 1.7;pituitary gland: 1.2;testis: 1.2"	"Group enriched"	"Detected in some"	5	"Inhibitory neurons: 262.0;Oligodendrocyte precursor cells: 407.0"	"Group enriched"	"Detected in some"	5	"glioma: 1.0;melanoma: 1.5;ovarian cancer: 0.7;thyroid cancer: 1.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	9	"Neuroblastoma: 84.2"	"Colon - Enteric glia cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA010694	Approved		Supported	"Plasma membrane"			NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 65: Neurons - Synaptic function"	5	"Plasma membrane"		"HPA010694: AB_1078133"	"unprognostic (4.96e-2)"	"unprognostic (1.11e-2)"	"unprognostic (1.45e-1)"	"unprognostic (4.56e-7)"	"unprognostic (7.17e-2)"	"unprognostic (1.71e-1)"	"unprognostic (9.07e-3)"	"unprognostic (6.29e-3)"	"unprognostic (1.18e-1)"	"unprognostic (1.01e-1)"	"unprognostic (2.67e-4)"	"unprognostic (3.70e-2)"	"unprognostic (2.06e-2)"	"unprognostic (7.15e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.38e-1)"	"unprognostic (3.61e-2)"
ANK2	"CFAP87, FAP87, LQT4"	ENSG00000145362	"Ankyrin 2"	Q01484	4	112818032-113384221	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Endocytosis, Protein transport, Transport"		"Disease variant, Long QT syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 116.1;retina: 123.5;skeletal muscle: 123.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 1044.4;Bipolar cells: 395.7;Excitatory neurons: 1238.6;Horizontal cells: 526.9;Inhibitory neurons: 1016.9;Oligodendrocyte precursor cells: 466.5;Oligodendrocytes: 1257.5;Rod photoreceptor cells: 478.8"	"Cancer enhanced"	"Detected in many"		"glioma: 10.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 43.8;Rhabdoid: 31.6"	"Adipose subcutaneous - Adipose progenitor cells, Colon - Enteric glia cells, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Prostate - Fibroblasts, Skin - Fibroblast_2, Testis - Early spermatids, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008007, CAB015178, HPA035970"	Enhanced	Approved	Supported	"Plasma membrane"			NA	NA				"Cluster 3: Non-specific - Unknown function"	"Cluster 14: Neurons - Synaptic function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 51: Oligodendrocytes - Unknown function"	5	"Plasma membrane"		"CAB015178: AB_2242828, HPA008007: AB_2667965, HPA035970: AB_2674893"	"unprognostic (8.33e-2)"	"unprognostic (9.47e-2)"	"unprognostic (1.33e-2)"	"unprognostic (7.63e-2)"	"unprognostic (2.73e-1)"	"unprognostic (1.71e-1)"	"unprognostic (1.54e-1)"	"unprognostic (2.15e-2)"	"unprognostic (1.23e-1)"	"unprognostic (1.63e-1)"	"unprognostic (1.79e-3)"	"unprognostic (2.94e-2)"	"prognostic unfavorable (2.41e-6)"	"unprognostic (1.18e-2)"	"unprognostic (3.16e-1)"	"unprognostic (1.51e-3)"	"unprognostic (2.04e-3)"
ANKRD13B	FLJ25555	ENSG00000198720	"Ankyrin repeat domain 13B"	Q86YJ7	17	29589769-29614761	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 67.0"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 23.3;Endometrial stromal cells: 21.5;Excitatory neurons: 18.7;Late spermatids: 44.8;Oligodendrocytes: 16.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Fibroblasts, Liver - Vascular Endothelial cells, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA051886, HPA063748"	Uncertain		Supported	Vesicles			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 34: Non-specific - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 9: Endometrial stromal cells - Transcription"		Vesicles		"HPA051886: AB_2681652, HPA063748: AB_2685112"	"unprognostic (1.61e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.27e-1)"	"unprognostic (1.66e-2)"	"unprognostic (1.53e-1)"	"unprognostic (2.45e-1)"	"unprognostic (3.10e-4)"	"unprognostic (1.84e-1)"	"unprognostic (1.84e-1)"	"unprognostic (1.03e-2)"	"prognostic favorable (7.58e-4)"	"unprognostic (3.94e-2)"	"prognostic unfavorable (5.92e-6)"	"unprognostic (9.93e-2)"	"unprognostic (1.18e-1)"	"unprognostic (3.94e-2)"	"unprognostic (5.36e-3)"
AP3B2	NAPTB	ENSG00000103723	"Adaptor related protein complex 3 subunit beta 2"	Q13367	15	82659281-82710112	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Protein transport, Transport"		Epilepsy	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"brain: 44.6;parathyroid gland: 12.3;pituitary gland: 18.3;retina: 31.8"	"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 25.5;Excitatory neurons: 59.6;Horizontal cells: 28.3;Inhibitory neurons: 54.5;Oligodendrocyte precursor cells: 42.0;Rod photoreceptor cells: 77.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 23.2"	"Colon - Colon enteroendocrine cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039467, HPA039818"	Enhanced	Supported	Approved	"Nucleoplasm,Golgi apparatus,Cytosol"			NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 24: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 66: Photoreceptor cells - Visual perception"		"Golgi apparatus"	"Nucleoplasm, Cytosol"	"HPA039467: AB_10795143, HPA039818: AB_10795299"	"unprognostic (3.17e-1)"	"unprognostic (9.40e-2)"	"unprognostic (5.33e-2)"	"unprognostic (1.48e-6)"	"unprognostic (8.44e-2)"	"unprognostic (7.62e-2)"	"unprognostic (5.82e-2)"	"unprognostic (2.32e-1)"	"unprognostic (3.85e-1)"	"unprognostic (1.63e-1)"	"unprognostic (3.57e-3)"	"unprognostic (1.12e-1)"	"unprognostic (8.66e-2)"	"unprognostic (4.95e-2)"	"unprognostic (3.21e-2)"	"unprognostic (7.52e-2)"	"unprognostic (1.43e-2)"
APBA2	"D15S1518E, HsT16821, LIN-10, MGC:14091, MINT2, X11L"	ENSG00000034053	"Amyloid beta precursor protein binding family A member 2"	Q99767	15	28884483-29118315	"Predicted intracellular proteins, Transporters"	"Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	9	"brain: 89.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 50.5;Excitatory neurons: 137.9;Horizontal cells: 53.5;Inhibitory neurons: 101.8;NK-cells: 65.9;Oligodendrocyte precursor cells: 91.0;Oligodendrocytes: 69.0"	"Cancer enhanced"	"Detected in many"		"glioma: 17.5"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"naive CD4 T-cell: 4.5;naive CD8 T-cell: 5.0"	"Lineage enriched"	"Detected in many"	5	"T-cells: 5.0"	"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 11.3"	"Adipose visceral - T-cells, Kidney - T-cells, Stomach - T-cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB037065, HPA058796, HPA070376"	Uncertain		Enhanced	"Golgi apparatus"			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 15: Non-specific - Transcription"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 19: NK-cells - Adaptive immune response"	4	"Golgi apparatus"		"CAB037065: AB_477178, HPA058796: , HPA070376: "	"unprognostic (2.18e-1)"	"unprognostic (9.20e-2)"	"unprognostic (1.13e-1)"	"unprognostic (6.16e-3)"	"unprognostic (2.42e-1)"	"unprognostic (5.96e-2)"	"unprognostic (1.41e-2)"	"unprognostic (1.64e-1)"	"unprognostic (1.17e-1)"	"unprognostic (8.19e-2)"	"unprognostic (4.71e-2)"	"unprognostic (9.25e-2)"	"unprognostic (4.21e-5)"	"unprognostic (1.98e-2)"	"unprognostic (4.74e-2)"	"unprognostic (7.63e-3)"	"unprognostic (4.28e-1)"
