Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ACTBL2	DKFZp686D0972	ENSG00000169067	"Actin beta like 2"	Q562R1	5	57480018-57482811	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in some"		"Ductal cells: 1.2;Early spermatids: 1.6;Late spermatids: 1.5;Mesothelial cells: 1.1;Mucus glandular cells: 1.7;Pancreatic endocrine cells: 1.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"thyroid cancer: 5.0"	"Skin - Inner root sheath cells, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA041264, HPA041271"	Uncertain						NA	NA		830000000				"Cluster 61: BICR 18 - Protein kinases"	"Cluster 45: Non-specific - Mixed function"	1			"HPA041264: AB_2677383, HPA041271: AB_2677386"	"unprognostic (7.83e-2)"	"unprognostic (1.70e-1)"	"unprognostic (2.96e-1)"	"unprognostic (8.66e-2)"		"unprognostic (2.57e-2)"		"unprognostic (2.39e-1)"	"unprognostic (3.63e-2)"	"unprognostic (1.22e-1)"	"unprognostic (1.14e-3)"	"unprognostic (3.20e-1)"	"unprognostic (2.48e-3)"	"unprognostic (1.60e-2)"		"unprognostic (2.04e-2)"	"unprognostic (1.92e-2)"
ARIH1	"ARI, HARI, HHARI, UBCH7BP"	ENSG00000166233	"Ariadne RBR E3 ubiquitin protein ligase 1"	Q9Y4X5	15	72474330-72602987	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 46.2;testis: 41.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA003295	Approved		Supported	Nucleoplasm			NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 72: Testis & Skeletal muscle - Protein ubiquitination"	"Cluster 31: Non-specific - Transcription"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 80: Non-specific - Transcription"	1	Nucleoplasm		"HPA003295: AB_1845017"	"unprognostic (3.31e-2)"	"unprognostic (1.92e-1)"	"unprognostic (2.25e-1)"	"unprognostic (3.18e-2)"	"unprognostic (8.21e-2)"	"unprognostic (5.45e-2)"	"unprognostic (1.73e-1)"	"unprognostic (9.43e-2)"	"unprognostic (7.92e-2)"	"unprognostic (1.37e-1)"	"unprognostic (4.96e-2)"	"unprognostic (9.19e-2)"	"unprognostic (1.78e-1)"	"unprognostic (2.93e-1)"	"unprognostic (3.19e-1)"	"unprognostic (1.04e-1)"	"unprognostic (5.70e-2)"
AZIN2	"ADC, KIAA1945, ODC-p, ODC1L, ODCp"	ENSG00000142920	"Antizyme inhibitor 2"	Q96A70	1	33081104-33123492	"Metabolic proteins, Predicted intracellular proteins"	"Polyamine biosynthesis, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"brain: 21.6;testis: 31.2"	"Cell type enriched"	"Detected in many"	5	"Late spermatids: 867.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	8	"basophil: 6.5;plasmacytoid DC: 18.9"	"Group enriched"	"Detected in many"	8	"dendritic cells: 18.9;granulocytes: 6.5"	"Low cancer specificity"	"Detected in some"			"Adipose subcutaneous - Adipose progenitor cells, Heart muscle - Fibroblasts, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA028527			Approved	Cytosol			NA	NA			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 44: Testis - Spermatogenesis"	"Cluster 30: White matter - Myelination"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 36: Late spermatids - Unknown function"	1	Cytosol		"HPA028527: AB_10602077"	"unprognostic (5.33e-2)"	"unprognostic (1.60e-1)"	"unprognostic (2.16e-3)"	"unprognostic (7.50e-2)"	"unprognostic (8.28e-2)"	"unprognostic (4.56e-2)"	"unprognostic (1.15e-4)"	"unprognostic (9.19e-3)"	"unprognostic (3.89e-2)"	"unprognostic (1.54e-2)"	"unprognostic (1.06e-3)"	"unprognostic (2.16e-1)"	"unprognostic (3.18e-1)"	"unprognostic (6.91e-2)"	"unprognostic (2.91e-1)"	"unprognostic (9.45e-2)"	"unprognostic (2.41e-1)"
CAPZA2	"CAPPA2, CAPZ"	ENSG00000198898	"Capping actin protein of muscle Z-line subunit alpha 2"	P47755	7	116811070-116922049	"Plasma proteins, Predicted intracellular proteins"		"Actin capping, Actin-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Proximal tubular cells: 560.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Colon - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA007470, HPA007643"	Uncertain		Approved	Cytosol			No	No		4500000	"Cluster 28: Neutrophils - Unknown function"	"Cluster 56: Non-specific - Unknown function"	"Cluster 35: Non-specific - DNA binding"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 37: Glandular & Luminal cells - Unknown function"	1	Cytosol		"HPA007470: AB_1845985, HPA007643: AB_2667886"	"unprognostic (1.37e-2)"	"unprognostic (2.25e-3)"	"unprognostic (4.16e-2)"	"unprognostic (3.16e-1)"	"unprognostic (1.53e-1)"	"unprognostic (2.63e-3)"	"prognostic unfavorable (9.34e-5)"	"unprognostic (1.90e-2)"	"unprognostic (1.80e-2)"	"unprognostic (2.15e-1)"	"unprognostic (2.08e-3)"	"unprognostic (2.52e-1)"	"prognostic favorable (3.65e-6)"	"unprognostic (1.40e-1)"	"unprognostic (1.08e-1)"	"unprognostic (2.91e-3)"	"unprognostic (6.58e-2)"
CASP12	CASP12P1	ENSG00000204403	"Caspase 12 (gene/pseudogene)"		11	104885718-104898670	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in many"		"ovary: 7.6"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 2.6;Endothelial cells: 4.8;Lymphatic endothelial cells: 9.7;Microglial cells: 7.2;Ovarian stromal cells: 4.2"	"Not detected"	"Not detected"			"Region enriched"	"Detected in many"	6	"cerebellum: 11.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Fibroblasts, Lung - Fibroblast_1"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"										NA	NA					"Cluster 35: Non-specific - DNA binding"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"					"unprognostic (1.36e-1)"	"unprognostic (6.06e-4)"	"unprognostic (6.17e-2)"	"unprognostic (8.98e-3)"	"unprognostic (6.50e-3)"	"unprognostic (1.88e-4)"	"unprognostic (1.66e-3)"	"unprognostic (8.55e-2)"	"unprognostic (1.03e-1)"	"unprognostic (6.78e-2)"	"unprognostic (1.74e-3)"	"unprognostic (9.89e-2)"	"unprognostic (8.35e-3)"	"unprognostic (1.71e-2)"	"unprognostic (1.76e-1)"	"unprognostic (3.36e-1)"	"unprognostic (1.29e-1)"
CSNK1A1L	MGC33182	ENSG00000180138	"Casein kinase 1 alpha 1 like"	Q8N752	13	37103259-37105664	"Enzymes, Predicted intracellular proteins"	"Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	6	"testis: 3.4"	"Group enriched"	"Detected in some"	31	"Early spermatids: 33.0;Late spermatids: 24.8;Spermatocytes: 14.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	33	"neutrophil: 7.6"	"Lineage enriched"	"Detected in single"	39	"granulocytes: 7.6"	"Not detected"	"Not detected"			"Lung - Neutrophil_2"									HPA051334			Uncertain	Cytosol			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 44: Testis - Spermatogenesis"		"Cluster 61: BICR 18 - Protein kinases"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"		Cytosol		"HPA051334: AB_2681446"	"unprognostic (1.23e-2)"		"unprognostic (1.59e-1)"	"unprognostic (3.19e-2)"	"unprognostic (3.54e-2)"	"unprognostic (2.40e-2)"		"unprognostic (5.40e-2)"	"unprognostic (8.90e-2)"	"unprognostic (3.47e-1)"	"unprognostic (1.47e-3)"	"unprognostic (4.50e-1)"	"unprognostic (2.02e-1)"	"unprognostic (2.28e-3)"	"unprognostic (3.45e-1)"	"unprognostic (2.38e-1)"	
CSNK2A3	CSNK2A1P	ENSG00000254598	"Casein kinase 2 alpha 3"	Q8NEV1	11	11351942-11353250	"Enzymes, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	Proto-oncogene	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in single"			"Cell type enhanced"	"Detected in some"		"Bipolar cells: 1.4;Collecting duct cells: 3.9;Distal tubular cells: 3.1;Horizontal cells: 1.3"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"												"HPA059206, HPA061698"	Uncertain		Approved	Nucleoplasm			NA	NA				"Cluster 66: Non-specific - Transcription"	"Cluster 29: Forebrain - Mixed function"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 15: Non-specific - Mixed function"		Nucleoplasm		"HPA059206: AB_2683948, HPA061698: AB_2732667"	"unprognostic (3.10e-2)"	"unprognostic (3.39e-1)"	"unprognostic (4.65e-2)"	"unprognostic (1.55e-3)"	"unprognostic (1.82e-2)"	"unprognostic (1.60e-1)"	"unprognostic (6.25e-4)"	"unprognostic (4.36e-2)"	"unprognostic (5.42e-2)"	"unprognostic (1.88e-1)"	"unprognostic (5.46e-3)"	"unprognostic (1.07e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.31e-1)"	"unprognostic (1.32e-1)"	"unprognostic (1.42e-1)"	"unprognostic (3.38e-2)"
DMRTC1B		ENSG00000184911	"DMRT like family C1B"	Q5HYR2	X	72776890-72848803	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 28.2;pituitary gland: 24.6"	"Cell type enhanced"	"Detected in single"		"Excitatory neurons: 1.2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA046874, HPA046992"	Uncertain		Approved	"Nucleoplasm,Intermediate filaments"			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 33: Brain - Neuronal signaling"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 34: Neurons - Neuronal signaling"		Nucleoplasm	"Intermediate filaments"	"HPA046874: AB_2679850, HPA046992: AB_2679894"					"unprognostic (2.00e-1)"						"unprognostic (1.91e-2)"	"unprognostic (1.54e-1)"				"unprognostic (6.52e-2)"	
EIF5AL1	"bA342M3.3, EIF5AP1"	ENSG00000253626	"Eukaryotic translation initiation factor 5A like 1"	Q6IS14	10	79512533-79516440	"Predicted intracellular proteins, Transporters"	"mRNA transport, Protein biosynthesis, Protein transport, Translocation, Transport"	"Elongation factor, RNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"testis: 10.2"	"Cell type enhanced"	"Detected in many"		"Pancreatic endocrine cells: 27.2;Spermatocytes: 52.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Not detected"	"Not detected"			"Testis - Early spermatids"									HPA074052			Approved	"Plasma membrane,Cytosol"			NA	NA			"Cluster 17: B-cells - Immunoglobulins"	"Cluster 44: Testis - Spermatogenesis"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 31: Spermatocytes - Spermatogenesis"		Cytosol	"Plasma membrane"	"HPA074052: "	"unprognostic (2.16e-2)"	"prognostic favorable (4.23e-4)"	"unprognostic (2.55e-1)"	"unprognostic (4.14e-3)"	"unprognostic (1.50e-1)"	"unprognostic (3.48e-2)"	"unprognostic (4.25e-2)"	"unprognostic (2.50e-3)"	"unprognostic (2.04e-2)"	"unprognostic (3.57e-1)"	"unprognostic (1.01e-1)"	"unprognostic (8.79e-3)"	"unprognostic (1.56e-1)"	"unprognostic (8.63e-2)"	"unprognostic (1.87e-1)"	"unprognostic (6.68e-2)"	"unprognostic (1.81e-1)"
EMC2	"KIAA0103, TTC35"	ENSG00000104412	"ER membrane protein complex subunit 2"	Q15006	8	108443601-108489196	"Predicted intracellular proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oocytes: 207.3;Spermatocytes: 194.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA022838	Approved						NA	NA		11000	"Cluster 29: Non-specific - Unknown function"	"Cluster 43: Non-specific - Mitochondrial translation"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 35: Respiratory epithelial cells - Unknown function"	9			"HPA022838: AB_2670967"	"prognostic unfavorable (2.64e-4)"	"unprognostic (1.45e-1)"	"unprognostic (3.52e-1)"	"unprognostic (1.33e-2)"	"unprognostic (1.54e-1)"	"unprognostic (6.64e-2)"	"unprognostic (1.10e-1)"	"unprognostic (7.87e-2)"	"unprognostic (4.36e-1)"	"unprognostic (5.46e-2)"	"unprognostic (5.76e-2)"	"unprognostic (5.53e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.66e-1)"	"unprognostic (1.68e-1)"	"unprognostic (2.22e-1)"	"unprognostic (4.15e-3)"
