Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
AARD	"C8orf85, LOC441376"	ENSG00000205002	"Alanine and arginine rich domain containing protein"	Q4LEZ3	8	116938207-116944487	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"testis: 21.9;urinary bladder: 7.4"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 2: 24.9;Breast glandular cells: 26.7;Breast myoepithelial cells: 30.5;Proximal tubular cells: 16.1;Sertoli cells: 62.6;Spermatocytes: 44.4"	"Cancer enriched"	"Detected in many"	8	"breast cancer: 27.0"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"basophil: 1.1"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"breast cancer: 39.9;Sarcoma: 22.8"	"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skin - Eccrine sweat gland cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in some"	4	"midbrain: 5.8"	HPA068290			Approved	"Lipid droplets"			NA	NA				"Cluster 46: Testis - Spermatogenesis"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	13	"Lipid droplets"		"HPA068290: "	"unprognostic (5.81e-2)"	"unprognostic (2.28e-1)"	"unprognostic (1.32e-1)"	"unprognostic (7.28e-8)"	"unprognostic (3.42e-2)"	"unprognostic (4.32e-3)"	"unprognostic (4.34e-2)"	"unprognostic (1.11e-1)"	"unprognostic (1.52e-1)"	"unprognostic (8.29e-2)"	"unprognostic (8.57e-3)"	"unprognostic (4.20e-1)"	"unprognostic (2.23e-6)"	"unprognostic (1.67e-1)"	"unprognostic (9.78e-3)"	"unprognostic (3.77e-2)"	"unprognostic (5.27e-4)"
AARSD1	"AlaXp, MGC2744"	ENSG00000266967	"Alanyl-tRNA synthetase domain containing 1"	Q9BTE6	17	42950526-42964498	"Predicted intracellular proteins"	"Protein biosynthesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 56.1;Spermatocytes: 38.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA021408, HPA022869, HPA023714"	Supported		Approved	"Nuclear membrane,Cytosol"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 78: Testis - Transcription"	"Cluster 14: Neurons - Synaptic function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 49: Non-specific - Transcription"		"Nuclear membrane, Cytosol"		"HPA021408: AB_1844410, HPA022869: AB_1844411, HPA023714: AB_1844412"	"unprognostic (2.85e-3)"	"unprognostic (9.78e-2)"	"unprognostic (1.67e-1)"	"unprognostic (8.53e-2)"	"unprognostic (2.51e-1)"	"unprognostic (1.10e-1)"	"unprognostic (3.58e-2)"	"unprognostic (7.41e-2)"	"unprognostic (1.38e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.19e-3)"	"unprognostic (6.95e-2)"	"prognostic unfavorable (1.67e-6)"	"unprognostic (2.20e-1)"	"unprognostic (2.51e-1)"	"unprognostic (3.73e-2)"	"unprognostic (4.69e-3)"
AATF	"BFR2, CHE-1, CHE1, DED"	ENSG00000275700	"Apoptosis antagonizing transcription factor"	Q9NY61	17	36948925-37056871	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 161.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA004940, HPA075963"	Uncertain		Supported	Nucleoplasm,Nucleoli			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 18: Non-specific - Ribosome"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"	14	Nucleoli	Nucleoplasm	"HPA004940: AB_1078075, HPA075963: "	"unprognostic (1.10e-1)"	"unprognostic (5.46e-3)"	"unprognostic (1.30e-3)"	"unprognostic (2.30e-3)"	"unprognostic (5.54e-2)"	"unprognostic (1.94e-2)"	"prognostic unfavorable (6.62e-5)"	"unprognostic (3.06e-2)"	"unprognostic (4.10e-2)"	"unprognostic (2.84e-1)"	"unprognostic (2.48e-2)"	"unprognostic (1.01e-1)"	"prognostic unfavorable (4.14e-5)"	"unprognostic (2.18e-2)"	"unprognostic (1.51e-1)"	"unprognostic (7.53e-3)"	"unprognostic (3.21e-3)"
ABCA12	"DKFZP434G232, ICR2B, LI2"	ENSG00000144452	"ATP binding cassette subfamily A member 12"	Q86UK0	2	214931542-215138626	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"breast: 5.6;skin 1: 20.2"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 12.2;Basal respiratory cells: 7.0;Ionocytes: 6.3;Suprabasal keratinocytes: 32.7"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 5.4"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 7.8"	"Breast - Breast glandular cells, Skin - Keratinocyte (granular)"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"cerebral cortex: 1.4;hippocampal formation: 1.6"	HPA078239			Approved	"Nucleoli,Vesicles,Plasma membrane,Cytosol"			NA	NA				"Cluster 13: Skin - Cornification"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 12: Squamous epithelial cells - Keratinization"	1	"Vesicles, Plasma membrane"	"Nucleoli, Cytosol"	"HPA078239: AB_2732373"	"unprognostic (6.12e-2)"	"unprognostic (4.33e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.03e-1)"	"unprognostic (2.49e-1)"	"unprognostic (2.13e-1)"	"unprognostic (2.09e-4)"	"unprognostic (6.52e-3)"	"unprognostic (3.75e-2)"	"unprognostic (1.11e-1)"	"unprognostic (6.35e-4)"	"unprognostic (2.50e-2)"	"unprognostic (7.69e-2)"	"unprognostic (5.92e-2)"	"unprognostic (2.64e-2)"	"unprognostic (2.36e-1)"	"unprognostic (5.08e-2)"
ABCC11	MRP8	ENSG00000121270	"ATP binding cassette subfamily C member 11"	Q96J66	16	48165773-48247568	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	13	"breast: 45.3"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 3.1;Breast glandular cells: 6.1;Early spermatids: 3.7;Hepatocytes: 3.7;Prostatic glandular cells: 5.2;Spermatocytes: 3.1"	"Cancer enriched"	"Detected in some"	4	"breast cancer: 8.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"breast cancer: 11.0;prostate cancer: 4.7"	"Adipose visceral - Adipocytes (Visceral), Skin - Sebaceous gland cells, Testis - Early spermatids"					"Not detected"	"Not detected"										NA	NA				"Cluster 73: Breast - Lactation"	"Cluster 6: Non-specific - Immune response"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 17: Breast glandular cells - Lactation"					"unprognostic (1.35e-1)"	"unprognostic (3.47e-2)"	"unprognostic (3.87e-2)"	"unprognostic (2.47e-1)"	"unprognostic (1.57e-1)"	"unprognostic (6.03e-2)"	"unprognostic (3.87e-2)"	"unprognostic (1.56e-2)"	"unprognostic (8.11e-2)"	"unprognostic (2.39e-1)"	"unprognostic (2.64e-1)"	"unprognostic (7.05e-2)"	"unprognostic (1.14e-1)"	"unprognostic (2.21e-2)"	"unprognostic (1.58e-1)"	"unprognostic (1.13e-2)"	"unprognostic (5.54e-4)"
ABCC12	MRP9	ENSG00000140798	"ATP binding cassette subfamily C member 12"		16	48080882-48156018	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in some"	4	"brain: 1.4;skeletal muscle: 1.4;testis: 2.8"	"Group enriched"	"Detected in some"	4	"Early spermatids: 4.6;Excitatory neurons: 5.0;Late spermatids: 3.2;Spermatocytes: 4.9"	"Cancer enhanced"	"Detected in single"		"testis cancer: 0.5"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Skeletal muscle - Skeletal myocytes, Skin - Outer root sheath cells, Testis - Early spermatids"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			HPA043100	Uncertain						NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 34: Non-specific - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"				"HPA043100: AB_10794922"	"unprognostic (1.53e-1)"			"unprognostic (6.87e-2)"	"unprognostic (2.37e-2)"			"unprognostic (4.62e-3)"		"unprognostic (1.88e-1)"		"unprognostic (1.59e-2)"		"unprognostic (2.65e-1)"	"unprognostic (7.53e-2)"	"unprognostic (4.23e-1)"	
ACAA1	Lnc-Myd88	ENSG00000060971	"Acetyl-CoA acyltransferase 1"	P09110	3	38103129-38137242	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"kidney: 204.7;liver: 638.8"	"Cell type enhanced"	"Detected in all"		"Distal enterocytes: 388.0;Hepatocytes: 782.2;Proximal enterocytes: 422.5;Proximal tubular cells: 523.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"HPA006764, HPA007244"	Enhanced		Supported	Peroxisomes			NA	NA		4700000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	3	Peroxisomes		"HPA006764: AB_1078085, HPA007244: AB_1078084"	"prognostic favorable (3.00e-4)"	"unprognostic (5.57e-2)"	"unprognostic (4.54e-2)"	"prognostic favorable (7.53e-4)"	"unprognostic (2.63e-1)"	"prognostic favorable (1.23e-4)"	"unprognostic (9.35e-3)"	"unprognostic (2.91e-2)"	"unprognostic (8.11e-2)"	"unprognostic (2.22e-1)"	"unprognostic (2.24e-1)"	"unprognostic (4.90e-1)"	"prognostic favorable (6.99e-9)"	"unprognostic (1.72e-1)"	"unprognostic (1.99e-1)"	"unprognostic (2.50e-2)"	"unprognostic (1.65e-2)"
ACADSB	"ACAD7, SBCAD"	ENSG00000196177	"Acyl-CoA dehydrogenase short/branched chain"	P45954	10	123008979-123058290	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"liver: 349.2"	"Cell type enriched"	"Detected in many"	4	"Hepatocytes: 468.7"	"Cancer enhanced"	"Detected in all"		"liver cancer: 32.5"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"breast cancer: 44.3"	"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041458, HPA063555"	Enhanced		Supported	Mitochondria			NA	NA		37000	"Cluster 39: T-cells - T-cell receptor"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 16: Non-specific - Transcription"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 43: Hepatocytes - Metabolism"		Mitochondria		"HPA041458: AB_2677491, HPA063555: "	"unprognostic (1.53e-2)"	"unprognostic (1.31e-1)"	"unprognostic (3.91e-3)"	"unprognostic (2.02e-1)"	"unprognostic (1.25e-1)"	"unprognostic (4.87e-2)"	"unprognostic (4.15e-2)"	"unprognostic (1.32e-3)"	"unprognostic (1.30e-1)"	"unprognostic (3.67e-1)"	"prognostic favorable (3.40e-4)"	"unprognostic (9.37e-3)"	"prognostic favorable (6.37e-12)"	"unprognostic (2.69e-1)"	"unprognostic (7.20e-2)"	"unprognostic (1.60e-3)"	"unprognostic (7.14e-2)"
ACOT1	"ACH2, CTE-1, LACH2"	ENSG00000184227	"Acyl-CoA thioesterase 1"	Q86TX2	14	73537143-73543796	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 43.2"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 10.2;Excitatory neurons: 13.3;Inhibitory neurons: 11.5;Oligodendrocyte precursor cells: 8.0;Oligodendrocytes: 14.0;Proximal tubular cells: 4.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Skin - Sebaceous gland cells"									HPA043705	Approved		Approved	Mitochondria			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"		Mitochondria		"HPA043705: AB_2678626"	"unprognostic (4.74e-3)"	"unprognostic (3.81e-3)"	"unprognostic (7.65e-2)"	"unprognostic (8.66e-2)"	"unprognostic (1.22e-1)"	"unprognostic (1.29e-1)"	"unprognostic (4.54e-2)"	"unprognostic (1.29e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.73e-2)"	"unprognostic (1.84e-1)"	"unprognostic (4.16e-1)"	"prognostic favorable (5.09e-8)"	"unprognostic (1.35e-3)"	"unprognostic (4.60e-2)"	"unprognostic (1.75e-1)"	"unprognostic (1.43e-1)"
ACOT4	"FLJ31235, PTE-Ib, PTE2B"	ENSG00000177465	"Acyl-CoA thioesterase 4"	Q8N9L9	14	73591873-73595766	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 14.4;liver: 16.2"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 29.9;Oocytes: 20.6;Proximal enterocytes: 19.2;Proximal tubular cells: 47.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Adrenocortical cancer: 18.6;breast cancer: 15.7"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Lung - Macrophages, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA000779	Enhanced						NA	NA			"Cluster 1: T-cells - Unknown function"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 58: Macrophages - Innate immune response"				"HPA000779: AB_1078093"	"unprognostic (2.29e-3)"	"unprognostic (2.53e-3)"	"unprognostic (2.30e-1)"	"unprognostic (2.29e-3)"	"unprognostic (1.16e-1)"	"unprognostic (2.11e-1)"	"unprognostic (2.25e-2)"	"unprognostic (3.10e-2)"	"unprognostic (1.72e-2)"	"unprognostic (9.56e-2)"	"prognostic unfavorable (1.77e-4)"	"unprognostic (3.95e-1)"	"prognostic favorable (8.43e-5)"	"unprognostic (2.47e-1)"	"unprognostic (1.92e-1)"	"unprognostic (7.31e-2)"	"unprognostic (1.73e-1)"
