Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABAT	"GABA-T, GABAT"	ENSG00000183044	"4-aminobutyrate aminotransferase"	P80404	16	8674596-8784575	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Neurotransmitter degradation"	"Aminotransferase, Transferase"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 127.6;kidney: 128.6;liver: 335.3;pancreas: 134.0"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 263.2;Horizontal cells: 67.4;Inhibitory neurons: 91.1;Oligodendrocyte precursor cells: 72.2;Proximal tubular cells: 76.0"	"Cancer enhanced"	"Detected in all"		"glioma: 27.3;liver cancer: 26.8"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Liver - Hepatocytes, Pancreas - Exocrine glandular cells, Prostate - Prostate glandular cells, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041528, HPA041690"	Enhanced	Supported	Supported	Mitochondria			No	No		2100000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 62: Hepatocytes - Metabolism"		Mitochondria		"HPA041528: AB_10795690, HPA041690: AB_10794674"	"unprognostic (1.77e-2)"	"unprognostic (3.27e-1)"	"unprognostic (1.00e-1)"	"unprognostic (2.71e-1)"	"unprognostic (2.90e-1)"	"unprognostic (2.05e-1)"	"prognostic favorable (5.36e-5)"	"prognostic favorable (5.93e-4)"	"unprognostic (1.71e-1)"	"unprognostic (1.30e-1)"	"unprognostic (1.56e-2)"	"unprognostic (1.04e-1)"	"prognostic favorable (5.44e-8)"	"unprognostic (2.10e-1)"	"unprognostic (2.48e-2)"	"unprognostic (3.80e-1)"	"unprognostic (1.50e-2)"
ACTC1	"ACTC, CMD1R"	ENSG00000159251	"Actin alpha cardiac muscle 1"	P68032	15	34790230-34795549	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Hydrolase, Muscle protein"	"Atrial septal defect, Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	21	"heart muscle: 11007.3"	"Group enriched"	"Detected in some"	14	"Cardiomyocytes: 1835.2;Skeletal myocytes: 843.1"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 20.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	9	"Sarcoma: 254.4"	"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB037330, HPA041264, HPA041271"	Enhanced						NA	NA		2400000000		"Cluster 30: Heart muscle - Heart development"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 68: Cardiomyocytes - Muscle contraction"	1			"CAB037330: , HPA041264: AB_2677383, HPA041271: AB_2677386"	"unprognostic (8.18e-3)"	"unprognostic (3.74e-2)"	"unprognostic (4.82e-3)"	"unprognostic (1.19e-2)"	"unprognostic (3.04e-2)"	"prognostic unfavorable (3.72e-5)"	"unprognostic (3.26e-1)"	"unprognostic (2.05e-3)"	"unprognostic (2.26e-1)"	"unprognostic (7.98e-2)"	"unprognostic (1.14e-2)"	"unprognostic (2.10e-3)"	"unprognostic (5.68e-4)"	"unprognostic (8.79e-2)"	"unprognostic (1.65e-1)"	"unprognostic (1.48e-2)"	"prognostic unfavorable (9.32e-4)"
ACTN2		ENSG00000077522	"Actinin alpha 2"	P35609	1	236664141-236764631	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"		Actin-binding	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	38	"heart muscle: 717.1;skeletal muscle: 2019.8;tongue: 1230.1"	"Group enriched"	"Detected in some"	9	"Cardiomyocytes: 2084.9;Skeletal myocytes: 745.5"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 10.4"	"Region enhanced"	"Detected in many"		"basal ganglia: 12.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Bone cancer: 1.5;Sarcoma: 1.7"	"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"	"Region enhanced"	"Detected in many"		"basal ganglia: 66.6"	"Region enhanced"	"Detected in all"		"basal ganglia: 42.5"	"HPA006035, HPA008315"	Enhanced		Approved	"Actin filaments,Cytosol"			NA	NA		25000000		"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 33: Neurons - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 68: Cardiomyocytes - Muscle contraction"	65	"Actin filaments"	Cytosol	"HPA006035: AB_1078095, HPA008315: AB_1844543"	"unprognostic (1.75e-1)"	"unprognostic (1.50e-1)"	"unprognostic (2.41e-2)"	"unprognostic (1.69e-3)"	"unprognostic (2.91e-1)"	"unprognostic (4.32e-3)"	"unprognostic (7.85e-2)"	"unprognostic (2.97e-3)"	"unprognostic (2.17e-2)"	"unprognostic (2.80e-1)"	"unprognostic (2.97e-1)"	"unprognostic (2.66e-1)"	"unprognostic (2.71e-11)"	"unprognostic (1.30e-2)"	"unprognostic (1.10e-2)"	"unprognostic (4.98e-2)"	"unprognostic (1.22e-1)"
ACVR2A	"ACTRII, ACVR2"	ENSG00000121989	"Activin A receptor type 2A"	P27037	2	147844517-147930826	"Cancer-related genes, Enzymes, Predicted membrane proteins"		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 60.3;Inhibitory neurons: 60.7;Oligodendrocyte precursor cells: 79.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA046997	Approved		Approved	Cytosol			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 21: Testis - Unknown function"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 50: Connective tissue cells - ECM organization"		Cytosol		"HPA046997: AB_10970077"	"unprognostic (4.55e-2)"	"unprognostic (2.26e-2)"	"unprognostic (2.09e-1)"	"unprognostic (7.34e-3)"	"unprognostic (2.75e-1)"	"unprognostic (1.17e-1)"	"unprognostic (4.41e-3)"	"unprognostic (8.73e-3)"	"unprognostic (1.30e-2)"	"unprognostic (3.61e-1)"	"unprognostic (1.34e-2)"	"unprognostic (1.52e-1)"	"prognostic favorable (1.62e-4)"	"unprognostic (1.16e-1)"	"unprognostic (1.40e-1)"	"unprognostic (3.95e-1)"	"unprognostic (3.99e-2)"
ADGRA3	"FLJ38547, GPR125, PGR21"	ENSG00000152990	"Adhesion G protein-coupled receptor A3"	Q8IWK6	4	22345071-22516066	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 56.5"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 210.2;Hepatocytes: 91.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA008904	Uncertain				"Intracellular and membrane"	Receptor	NA	NA		280000		"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 47: Astrocytes - Unknown function"				"HPA008904: AB_1849258"	"unprognostic (3.70e-1)"	"unprognostic (9.01e-2)"	"unprognostic (5.32e-3)"	"unprognostic (8.27e-3)"	"unprognostic (4.58e-2)"	"unprognostic (1.55e-1)"	"unprognostic (8.15e-2)"	"unprognostic (1.81e-2)"	"unprognostic (1.02e-1)"	"unprognostic (3.91e-2)"	"unprognostic (8.77e-2)"	"unprognostic (1.88e-1)"	"unprognostic (1.78e-3)"	"unprognostic (1.76e-1)"	"unprognostic (1.13e-1)"	"unprognostic (6.01e-3)"	"unprognostic (2.79e-3)"
AGTR2	"AT2, MRX88"	ENSG00000180772	"Angiotensin II receptor type 2"	P50052	X	116170744-116174974	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"endometrium 1: 8.5;lung: 8.6;smooth muscle: 12.7"	"Cell type enriched"	"Detected in some"	6	"Alveolar cells type 2: 14.6"	"Group enriched"	"Detected in some"	12	"endometrial cancer: 3.0;lung cancer: 1.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	17	"Sarcoma: 1.6"	"Lung - Alveolar cells type 2"	"Low region specificity"	"Detected in many"			"Region enriched"	"Detected in single"	9	"cerebellum: 2.6"								NA	NA				"Cluster 62: Connective tissue - ECM organization"		"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 72: Alveolar cells - Lung function"	1							"unprognostic (2.13e-1)"				"unprognostic (1.71e-1)"			"unprognostic (3.22e-2)"				"unprognostic (4.37e-2)"		
AHDC1	"DJ159A19.3, RP1-159A19.1"	ENSG00000126705	"AT-hook DNA binding motif containing 1"	Q5TGY3	1	27534035-27604431	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Differentiation, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Squamous epithelial cells: 72.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"							"HPA028648, HPA028685, HPA028691"	Approved		Supported	Nucleoplasm			NA	NA				"Cluster 66: Non-specific - Transcription"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 12: Squamous epithelial cells - Keratinization"	2	Nucleoplasm		"HPA028648: AB_10599276, HPA028685: , HPA028691: AB_10601781"	"unprognostic (1.96e-1)"	"unprognostic (1.73e-1)"	"unprognostic (6.93e-2)"	"prognostic unfavorable (1.20e-4)"	"unprognostic (4.43e-1)"	"prognostic favorable (2.68e-4)"	"unprognostic (9.20e-2)"	"unprognostic (3.05e-1)"	"unprognostic (2.56e-1)"	"prognostic unfavorable (4.92e-4)"	"unprognostic (5.21e-3)"	"unprognostic (3.96e-1)"	"unprognostic (1.76e-1)"	"unprognostic (1.46e-1)"	"unprognostic (2.30e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.03e-1)"
ALPK3	"KIAA1330, MAK, Midori"	ENSG00000136383	"Alpha kinase 3"	Q96L96	15	84817356-84873479	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase"	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"heart muscle: 60.7;skeletal muscle: 188.8;tongue: 56.8"	"Group enriched"	"Detected in many"	4	"Cardiomyocytes: 53.3;Skeletal myocytes: 198.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Sarcoma: 9.6"	"Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA026558	Uncertain		Approved	Nucleoplasm			NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 44: Non-specific - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 2: Skeletal myocytes - Muscle contraction"		Nucleoplasm		"HPA026558: AB_1844774"	"unprognostic (2.69e-2)"	"unprognostic (1.42e-1)"	"unprognostic (2.71e-2)"	"unprognostic (4.61e-2)"	"unprognostic (2.08e-1)"	"unprognostic (6.53e-2)"	"unprognostic (1.44e-3)"	"unprognostic (1.42e-1)"	"unprognostic (1.68e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.74e-3)"	"unprognostic (1.23e-1)"	"prognostic favorable (3.95e-7)"	"unprognostic (1.76e-2)"	"unprognostic (1.77e-1)"	"unprognostic (2.96e-2)"	"unprognostic (4.87e-2)"
ANP32D	PP32R2	ENSG00000139223	"Acidic nuclear phosphoprotein 32 family member D"	O95626	12	48472559-48473622	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA063133, HPA067561"	Uncertain		Approved	Nucleoplasm,Centrosome			NA	NA					"Cluster 24: Neurons - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 15: Non-specific - Mixed function"		Nucleoplasm	Centrosome	"HPA063133: AB_2684947, HPA067561: AB_2685861"		"unprognostic (2.20e-1)"	"unprognostic (3.75e-1)"	"unprognostic (3.18e-1)"	"unprognostic (3.23e-2)"	"unprognostic (5.11e-2)"		"unprognostic (1.72e-3)"		"unprognostic (2.30e-2)"		"unprognostic (3.62e-3)"		"unprognostic (2.76e-2)"		"unprognostic (3.48e-1)"	
ARHGEF25	"GEFT, p63RhoGEF"	ENSG00000240771	"Rho guanine nucleotide exchange factor 25"	Q86VW2	12	57610180-57617245	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in some"		"Astrocytes: 8.1;Excitatory neurons: 14.8;Inhibitory neurons: 8.2;Mesothelial cells: 4.6;Microglial cells: 8.1;Smooth muscle cells: 8.3"	"Cancer enhanced"	"Detected in all"		"glioma: 23.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Smooth muscle cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Smooth muscle cells, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA052016	Approved						NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 51: Neurons - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 48: Smooth muscle cells - Signal transduction"				"HPA052016: AB_2681695"	"unprognostic (8.43e-2)"	"unprognostic (4.24e-3)"	"unprognostic (2.13e-3)"	"unprognostic (6.95e-3)"	"unprognostic (8.12e-2)"	"unprognostic (1.99e-2)"	"unprognostic (1.38e-1)"	"unprognostic (9.18e-2)"	"unprognostic (2.45e-2)"	"unprognostic (2.39e-2)"	"unprognostic (4.63e-3)"	"unprognostic (2.51e-1)"	"prognostic unfavorable (4.20e-7)"	"unprognostic (1.41e-2)"	"unprognostic (2.03e-1)"	"unprognostic (6.82e-3)"	"unprognostic (3.22e-3)"
