Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ACRV1	"D11S4365, SP-10, SPACA2"	ENSG00000134940	"Acrosomal vesicle protein 1"	P26436	11	125671522-125680874	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	33	"testis: 113.4"	"Group enriched"	"Detected in some"	69	"Early spermatids: 1033.1;Late spermatids: 374.0"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA038718, HPA038719"	Enhanced				"Secreted in male reproductive system"	"No annotated function"	NA	NA				"Cluster 42: Testis - Spermatogenesis"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 21: Early spermatids - Spermatogenesis"	3			"HPA038718: AB_2676171, HPA038719: AB_10670787"	"unprognostic (3.58e-2)"	"unprognostic (8.68e-3)"	"unprognostic (1.46e-1)"	"unprognostic (6.18e-2)"	"unprognostic (4.58e-2)"	"unprognostic (7.91e-3)"	"unprognostic (6.73e-4)"	"unprognostic (1.76e-1)"	"unprognostic (2.12e-3)"	"unprognostic (8.39e-2)"	"unprognostic (7.09e-2)"	"unprognostic (2.90e-3)"	"unprognostic (1.80e-8)"	"unprognostic (5.26e-3)"	"unprognostic (2.52e-1)"	"unprognostic (1.95e-1)"	"unprognostic (3.75e-1)"
ADAMTS10	ADAM-TS10	ENSG00000142303	"ADAM metallopeptidase with thrombospondin type 1 motif 10"	Q9H324	19	8580240-8610735	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 17.3;Excitatory neurons: 20.7;Inhibitory neurons: 19.1;Microglial cells: 29.5;Smooth muscle cells: 14.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"liver cancer: 7.5"		"Region enriched"	"Detected in many"	5	"cerebellum: 8.8"	"Low region specificity"	"Detected in all"			HPA040223	Uncertain				"Secreted to extracellular matrix"	Enzyme	NA	NA				"Cluster 34: Non-specific - Mixed function"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 48: Smooth muscle cells - Signal transduction"				"HPA040223: AB_10795376"	"unprognostic (2.60e-1)"	"unprognostic (1.11e-1)"	"unprognostic (1.73e-2)"	"unprognostic (1.14e-1)"	"unprognostic (8.16e-2)"	"unprognostic (1.91e-4)"	"unprognostic (4.98e-3)"	"unprognostic (4.06e-2)"	"unprognostic (2.24e-2)"	"unprognostic (6.52e-2)"	"unprognostic (2.47e-1)"	"unprognostic (2.54e-1)"	"prognostic unfavorable (4.55e-9)"	"unprognostic (6.86e-3)"	"unprognostic (1.71e-1)"	"unprognostic (2.33e-1)"	"unprognostic (4.12e-2)"
ADCK5	FLJ35454	ENSG00000173137	"AarF domain containing kinase 5"	Q3MIX3	8	144373101-144393242	"Enzymes, Predicted membrane proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Proximal enterocytes: 55.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA025692, HPA028679"	Approved		Approved	"Plasma membrane,Cytosol"			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 43: Non-specific - Mitochondrial translation"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 22: Proximal enterocytes - Digestion"	1	"Plasma membrane, Cytosol"		"HPA025692: AB_10599486, HPA028679: AB_10600226"	"unprognostic (6.76e-2)"	"unprognostic (1.66e-1)"	"unprognostic (1.68e-2)"	"unprognostic (8.96e-2)"	"unprognostic (1.68e-2)"	"unprognostic (1.00e-1)"	"unprognostic (2.31e-3)"	"unprognostic (6.45e-2)"	"unprognostic (2.70e-1)"	"unprognostic (4.25e-2)"	"unprognostic (6.60e-2)"	"unprognostic (2.03e-2)"	"unprognostic (1.33e-3)"	"unprognostic (1.39e-2)"	"unprognostic (1.20e-1)"	"unprognostic (3.47e-1)"	"unprognostic (2.90e-2)"
ADM5	"AM5, C19orf76"	ENSG00000224420	"Adrenomedullin 5 (putative)"	C9JUS6	19	49689594-49690575	"Predicted secreted proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in many"	6	"Adipocytes: 37.1;Endothelial cells: 46.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Endothelial cells"														"Secreted to blood"	"No annotated function"	NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 15: Non-specific - Transcription"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"					"unprognostic (2.34e-2)"	"unprognostic (2.56e-1)"	"unprognostic (3.08e-3)"	"unprognostic (5.62e-2)"	"unprognostic (2.18e-2)"	"unprognostic (2.64e-2)"	"unprognostic (1.28e-1)"	"unprognostic (2.39e-2)"	"unprognostic (9.82e-2)"	"unprognostic (2.92e-1)"	"unprognostic (1.47e-2)"	"unprognostic (8.94e-2)"	"unprognostic (4.21e-11)"	"unprognostic (2.39e-2)"	"unprognostic (9.25e-2)"	"unprognostic (9.92e-3)"	"prognostic favorable (6.74e-4)"
AGRP	"Agrt, ART, ASIP2"	ENSG00000159723	"Agouti related neuropeptide"	O00253	16	67482571-67483547	"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins"			"Disease variant, Obesity"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"adrenal gland: 12.0;brain: 23.0;epididymis: 36.2"	"Group enriched"	"Detected in some"	4	"Distal tubular cells: 6.1;Hofbauer cells: 8.0;Leydig cells: 3.0;Macrophages: 5.4;Peritubular cells: 2.8"	"Low cancer specificity"	"Detected in single"			"Region enriched"	"Detected in all"	30	"hypothalamus: 255.7"	"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in some"		"Leukemia: 1.1;lymphoma: 1.3"	"Lung - Macrophages"	"Region enriched"	"Detected in single"	16	"hypothalamus: 16.0"	"Region enhanced"	"Detected in single"		"hypothalamus: 2.0"	HPA041017	Enhanced	Supported			"Secreted in brain"	"No annotated function"	NA	NA	255000		"Cluster 21: Neutrophils - Unknown function"	"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 58: Macrophages - Innate immune response"				"HPA041017: AB_10795498"	"unprognostic (1.32e-1)"	"unprognostic (6.26e-2)"	"unprognostic (1.13e-1)"	"unprognostic (4.16e-1)"	"unprognostic (3.15e-1)"	"unprognostic (1.10e-1)"	"unprognostic (3.61e-1)"	"unprognostic (3.34e-1)"	"unprognostic (4.68e-1)"	"unprognostic (1.29e-1)"	"unprognostic (6.74e-2)"	"unprognostic (3.17e-1)"	"unprognostic (2.80e-1)"	"unprognostic (1.72e-1)"	"unprognostic (5.63e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.18e-2)"
ANXA2R	"AXIIR, C5orf39"	ENSG00000177721	"Annexin A2 receptor"	Q3ZCQ2	5	43039233-43043170	"Predicted intracellular proteins"		Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 19.5;lymphoid tissue: 25.5"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 32.8;B-cells: 23.3;Endothelial cells: 23.3;granulocytes: 17.4;Kupffer cells: 19.4;NK-cells: 40.9;T-cells: 60.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	7	"gdT-cell: 54.1;MAIT T-cell: 63.6;memory B-cell: 34.5;memory CD4 T-cell: 56.3;memory CD8 T-cell: 59.9;naive B-cell: 33.0;naive CD4 T-cell: 96.6;naive CD8 T-cell: 72.3;NK-cell: 24.9;T-reg: 66.7"	"Group enriched"	"Detected in all"	6	"B-cells: 34.5;NK-cells: 24.9;T-cells: 96.6"	"Cancer enriched"	"Detected in many"	4	"Leukemia: 25.9"	"Colon - Endothelial cells, Liver - T-cells, Thyroid - T-cells"									HPA051482	Uncertain		Approved	"Nucleoplasm,Cytosol,Cytoplasmic bodies"			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 11: White matter - Signal transduction"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 19: NK-cells - Adaptive immune response"	1	Nucleoplasm	"Cytosol, Cytoplasmic bodies"	"HPA051482: AB_2681500"	"unprognostic (3.38e-2)"	"unprognostic (2.00e-3)"	"unprognostic (1.21e-2)"	"unprognostic (1.92e-2)"	"unprognostic (1.40e-2)"	"unprognostic (3.92e-3)"	"unprognostic (5.65e-3)"	"unprognostic (1.03e-1)"	"unprognostic (1.87e-1)"	"unprognostic (8.14e-2)"	"unprognostic (2.13e-2)"	"unprognostic (4.34e-1)"	"prognostic unfavorable (6.36e-8)"	"unprognostic (2.68e-1)"	"unprognostic (2.77e-1)"	"unprognostic (2.68e-1)"	"unprognostic (1.68e-1)"
ARMC5	FLJ13063	ENSG00000140691	"Armadillo repeat containing 5"	Q96C12	16	31458080-31467166	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Cushing syndrome, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041524, HPA063706"	Approved		Approved	"Nucleoplasm,Focal adhesion sites,Cytosol"	"Intracellular and membrane"	"No annotated function"	NA	NA			"Cluster 30: Non-specific - DNA binding"	"Cluster 56: Non-specific - Unknown function"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 80: Non-specific - Transcription"	8	"Nucleoplasm, Cytosol"	"Focal adhesion sites"	"HPA041524: AB_10796676, HPA063706: AB_2685098"	"unprognostic (1.37e-1)"	"unprognostic (1.68e-3)"	"unprognostic (8.22e-3)"	"unprognostic (9.96e-2)"	"unprognostic (2.59e-1)"	"unprognostic (2.94e-3)"	"unprognostic (4.09e-2)"	"unprognostic (6.14e-3)"	"unprognostic (2.37e-1)"	"unprognostic (1.11e-1)"	"prognostic favorable (1.97e-6)"	"unprognostic (4.70e-2)"	"unprognostic (3.60e-2)"	"unprognostic (1.99e-2)"	"unprognostic (2.34e-2)"	"unprognostic (1.57e-1)"	"unprognostic (1.45e-1)"
ARPP21	"ARPP-21, R3HDM3, TARPP"	ENSG00000172995	"CAMP regulated phosphoprotein 21"	Q9UBL0	3	35638945-35794496	"Predicted intracellular proteins"		Calmodulin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"brain: 734.8"	"Group enriched"	"Detected in some"	5	"Excitatory neurons: 832.3;Oligodendrocyte precursor cells: 586.3;Skeletal myocytes: 256.6"	"Cancer enriched"	"Detected in single"	5	"glioma: 1.3"	"Region enhanced"	"Detected in all"		"basal ganglia: 619.4"	"Immune cell enriched"	"Detected in single"	30	"plasmacytoid DC: 9.9"	"Lineage enriched"	"Detected in single"	30	"dendritic cells: 9.9"	"Cancer enriched"	"Detected in some"	8	"Leukemia: 37.6"	"Colon - Colon enteroendocrine cells, Skin - Outer root sheath cells"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in all"	4	"basal ganglia: 1242.8"	HPA017303	Enhanced	Supported	Approved	Nucleoli,Cytosol			NA	NA			"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 33: Brain - Neuronal signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"		Nucleoli	Cytosol	"HPA017303: AB_1845049"	"unprognostic (1.72e-4)"				"unprognostic (2.35e-1)"	"unprognostic (1.10e-2)"	"unprognostic (6.61e-2)"		"unprognostic (6.30e-3)"	"unprognostic (8.90e-2)"	"unprognostic (2.42e-3)"	"unprognostic (1.27e-1)"	"unprognostic (7.42e-4)"	"unprognostic (1.32e-1)"	"unprognostic (2.35e-1)"	"unprognostic (1.52e-1)"	
ASB10	GLC1F	ENSG00000146926	"Ankyrin repeat and SOCS box containing 10"	Q8WXI3	7	151175698-151187832	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Ubl conjugation pathway"		"Disease variant, Glaucoma"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 25.9;skeletal muscle: 75.2;tongue: 13.6"	"Cell type enriched"	"Detected in some"	4	"Skeletal myocytes: 39.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA079685	Enhanced						NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"		"Cluster 35: RS4;11 - Unknown function"	"Cluster 2: Skeletal myocytes - Muscle contraction"	1			"HPA079685: "						"unprognostic (6.72e-3)"				"unprognostic (1.96e-1)"							
ATRNL1	"ALP, FLJ45344, KIAA0534"	ENSG00000107518	"Attractin like 1"	Q5VV63	10	115093365-115948999	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 19.4"	"Group enriched"	"Detected in many"	13	"Excitatory neurons: 2065.6;Inhibitory neurons: 1418.2;Oligodendrocyte precursor cells: 1366.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Testis - Early spermatids, Testis - Spermatocytes, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA038070			Approved	Nucleoplasm,Mitochondria			NA	NA		160000000		"Cluster 64: Neuronal - Transcription"	"Cluster 53: Neurons - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"		"Nucleoplasm, Mitochondria"		"HPA038070: AB_10697237"	"unprognostic (3.85e-2)"	"unprognostic (1.89e-1)"	"unprognostic (5.88e-2)"	"unprognostic (3.20e-3)"	"unprognostic (1.57e-2)"	"unprognostic (3.33e-1)"	"unprognostic (1.11e-1)"	"unprognostic (1.88e-2)"	"unprognostic (5.17e-2)"	"unprognostic (4.06e-2)"	"unprognostic (2.18e-2)"	"unprognostic (2.50e-2)"	"unprognostic (1.04e-3)"	"unprognostic (3.10e-2)"	"unprognostic (2.76e-2)"	"unprognostic (1.88e-2)"	"unprognostic (2.08e-3)"
