Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABI1	"ABI-1, E3B1, SSH3BP1"	ENSG00000136754	"Abl interactor 1"	Q8IZP0	10	26746593-26861087	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Host-virus interaction"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 263.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB008375, HPA068407"	Approved		Approved	"Plasma membrane,Cell Junctions"			NA	NA		440000	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 29: Forebrain - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 47: Astrocytes - Unknown function"	11	"Plasma membrane, Cell Junctions"		"CAB008375: AB_592744, HPA068407: AB_2685983"	"unprognostic (2.83e-3)"	"unprognostic (8.69e-2)"	"unprognostic (1.12e-1)"	"unprognostic (3.96e-1)"	"unprognostic (2.51e-2)"	"unprognostic (9.24e-3)"	"unprognostic (1.88e-3)"	"unprognostic (2.03e-1)"	"unprognostic (6.04e-2)"	"unprognostic (4.38e-1)"	"unprognostic (2.40e-2)"	"unprognostic (5.48e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.07e-1)"	"unprognostic (1.79e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.18e-1)"
ABRAXAS2	"ABRO1, Em:AC068896.4, FAM175B, KIAA0157"	ENSG00000165660	"Abraxas 2, BRISC complex subunit"	Q15018	10	124801819-124836667	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA037591, HPA037592, HPA074089"	Approved		Supported	Cytosol			Yes	No			"Cluster 33: Non-specific - ATP binding"	"Cluster 35: Non-specific - Mitochondria"	"Cluster 14: Neurons - Synaptic function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 15: Non-specific - Mixed function"	3	Cytosol		"HPA037591: AB_10671877, HPA037592: AB_2675566, HPA074089: AB_2686659"	"unprognostic (2.78e-1)"	"unprognostic (1.63e-1)"	"unprognostic (1.66e-1)"	"unprognostic (6.47e-2)"	"unprognostic (1.08e-1)"	"unprognostic (3.51e-2)"	"unprognostic (5.52e-2)"	"unprognostic (2.19e-1)"	"unprognostic (2.99e-1)"	"unprognostic (6.81e-2)"	"unprognostic (3.72e-2)"	"unprognostic (2.09e-2)"	"unprognostic (1.80e-3)"	"unprognostic (3.09e-2)"	"unprognostic (1.58e-1)"	"unprognostic (1.42e-1)"	"unprognostic (1.66e-1)"
ACBD5	"DKFZp434A2417, KIAA1996"	ENSG00000107897	"Acyl-CoA binding domain containing 5"	Q5T8D3	10	27168135-27243046	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Autophagy, Transport"		Leukodystrophy	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 155.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes, Testis - Spermatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA011861, HPA012145"	Enhanced		Enhanced	Peroxisomes			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 22: Proximal enterocytes - Digestion"		Peroxisomes		"HPA011861: AB_1844493, HPA012145: AB_1844494"	"prognostic unfavorable (3.33e-4)"	"unprognostic (4.93e-1)"	"unprognostic (3.68e-1)"	"unprognostic (1.34e-1)"	"unprognostic (6.21e-2)"	"unprognostic (5.98e-3)"	"unprognostic (9.87e-2)"	"unprognostic (3.42e-2)"	"unprognostic (2.69e-1)"	"unprognostic (3.66e-1)"	"unprognostic (1.11e-1)"	"unprognostic (4.46e-2)"	"prognostic favorable (4.68e-5)"	"unprognostic (7.91e-3)"	"unprognostic (1.71e-1)"	"unprognostic (3.63e-2)"	"unprognostic (3.37e-3)"
ACTR1A	"ARP1, Arp1A"	ENSG00000138107	"Actin related protein 1A"	P61163	10	102461881-102502712	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Endothelial cells, Prostate - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB037193, HPA047443"	Approved		Approved	Microtubules			NA	NA		560000	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 54: Non-specific - Basic cellular processes"	"Cluster 45: Non-specific - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 45: Non-specific - Mixed function"	2	Microtubules		"CAB037193: AB_258253, HPA047443: AB_2680049"	"unprognostic (9.64e-3)"	"unprognostic (1.92e-2)"	"unprognostic (8.34e-2)"	"unprognostic (4.05e-2)"	"unprognostic (2.57e-1)"	"unprognostic (3.48e-1)"	"unprognostic (2.20e-3)"	"unprognostic (2.41e-1)"	"unprognostic (1.86e-2)"	"unprognostic (1.01e-1)"	"unprognostic (1.66e-2)"	"unprognostic (7.77e-2)"	"unprognostic (3.41e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.40e-1)"	"unprognostic (3.10e-1)"	"unprognostic (4.13e-1)"
ADK	AK	ENSG00000156110	"Adenosine kinase"	P55263	10	74151202-74709963	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Purine salvage"	"Kinase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 146.5"	"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 237.0;Inhibitory neurons: 275.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes, Lung - Alveolar cells type 2, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB032876, HPA038391, HPA038409, HPA075222"	Approved		Supported	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA		920000	"Cluster 23: B-cells - Immunoglobulins"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 14: Neurons - Synaptic function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 8: Neurons - Neuronal signaling"		"Nucleoplasm, Cytosol"	"Plasma membrane"	"CAB032876: AB_2242229, HPA038391: AB_2675990, HPA038409: AB_10675798, HPA075222: "	"unprognostic (1.55e-3)"	"unprognostic (1.09e-1)"	"unprognostic (1.88e-1)"	"unprognostic (2.62e-2)"	"unprognostic (2.52e-2)"	"prognostic unfavorable (1.93e-4)"	"prognostic favorable (9.91e-4)"	"unprognostic (2.64e-1)"	"unprognostic (2.88e-1)"	"unprognostic (1.55e-1)"	"unprognostic (8.15e-3)"	"unprognostic (2.51e-1)"	"unprognostic (1.89e-3)"	"unprognostic (2.03e-1)"	"unprognostic (2.88e-2)"	"unprognostic (4.97e-3)"	"unprognostic (2.95e-2)"
ADO	"C10orf22, FLJ14547"	ENSG00000181915	"2-aminoethanethiol dioxygenase"	Q96SZ5	10	62804720-62808479	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Dioxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 191.4;Late spermatids: 313.1;Spermatocytes: 71.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039194, HPA040437"	Approved						NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 44: Testis - Spermatogenesis"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 63: Late spermatids - Spermatogenesis"	1			"HPA039194: AB_10794994, HPA040437: AB_10795633"	"unprognostic (4.41e-2)"	"unprognostic (1.44e-1)"	"unprognostic (9.25e-2)"	"unprognostic (1.73e-2)"	"unprognostic (1.54e-2)"	"unprognostic (1.57e-1)"	"prognostic unfavorable (8.01e-5)"	"unprognostic (4.48e-2)"	"unprognostic (1.19e-1)"	"unprognostic (1.29e-1)"	"unprognostic (4.24e-2)"	"unprognostic (8.64e-2)"	"unprognostic (8.68e-2)"	"unprognostic (4.11e-2)"	"unprognostic (7.46e-2)"	"unprognostic (2.64e-1)"	"unprognostic (4.59e-2)"
ALDH18A1	"GSAS, P5CS, PYCS, SPG9"	ENSG00000059573	"Aldehyde dehydrogenase 18 family member A1"	P54886	10	95605941-95656711	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Amino-acid biosynthesis, Proline biosynthesis"	"Kinase, Multifunctional enzyme, Oxidoreductase, Transferase"	"Disease variant, Hereditary spastic paraplegia, Intellectual disability, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"salivary gland: 116.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 63.5;Proximal enterocytes: 67.2;Serous glandular cells: 67.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008333, HPA012604"	Approved		Enhanced	Mitochondria			NA	NA		48000	"Cluster 24: Non-specific - Transcription"	"Cluster 48: Stomach - Proteolysis"	"Cluster 44: Non-specific - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 75: Serous glandular cells - Salivary secretion"	4	Mitochondria		"HPA008333: AB_1078125, HPA012604: AB_1844721"	"unprognostic (5.97e-3)"	"unprognostic (2.08e-2)"	"unprognostic (5.75e-2)"	"prognostic favorable (4.20e-4)"	"unprognostic (1.60e-2)"	"unprognostic (1.06e-1)"	"unprognostic (8.30e-3)"	"unprognostic (7.08e-2)"	"unprognostic (4.06e-2)"	"unprognostic (8.04e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.81e-1)"	"prognostic unfavorable (3.60e-9)"	"unprognostic (1.02e-3)"	"unprognostic (6.57e-2)"	"unprognostic (1.29e-3)"	"unprognostic (6.43e-2)"
ANAPC16	"APC16, bA570G20.3, C10orf104, CENP-27, FLJ33728"	ENSG00000166295	"Anaphase promoting complex subunit 16"	Q96DE5	10	72216000-72235860	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA037815	Approved		Supported	Cytosol			NA	NA			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 54: Immune cells - T cell receptor"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 39: Non-specific - Basic cellular processes"	3	Cytosol		"HPA037815: AB_10672288"	"unprognostic (2.87e-1)"	"unprognostic (4.35e-3)"	"unprognostic (2.01e-2)"	"unprognostic (7.12e-3)"	"unprognostic (2.16e-1)"	"unprognostic (6.20e-3)"	"unprognostic (1.51e-2)"	"unprognostic (2.00e-1)"	"unprognostic (1.82e-1)"	"unprognostic (3.10e-2)"	"unprognostic (1.90e-2)"	"unprognostic (2.11e-1)"	"unprognostic (2.75e-3)"	"unprognostic (7.77e-2)"	"unprognostic (1.25e-1)"	"unprognostic (1.03e-1)"	"unprognostic (1.35e-3)"
ANKRD16	DKFZP434N1511	ENSG00000134461	"Ankyrin repeat domain 16"	Q6P6B7	10	5861616-5889906	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Inhibitory neurons: 27.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA037920, HPA037921"	Uncertain		Approved	"Endoplasmic reticulum"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 74: Spermatids - Flagellum assembly"	"Cluster 37: Neurons - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 8: Neurons - Neuronal signaling"		"Endoplasmic reticulum"		"HPA037920: AB_10671381, HPA037921: AB_2675740"	"unprognostic (1.90e-1)"	"unprognostic (1.67e-1)"	"unprognostic (5.94e-3)"	"unprognostic (2.15e-1)"	"unprognostic (1.73e-2)"	"unprognostic (6.18e-3)"	"unprognostic (9.96e-3)"	"unprognostic (4.57e-2)"	"unprognostic (3.05e-1)"	"unprognostic (1.86e-2)"	"prognostic favorable (1.98e-4)"	"unprognostic (5.85e-2)"	"prognostic unfavorable (4.31e-7)"	"unprognostic (1.06e-2)"	"unprognostic (7.64e-2)"	"unprognostic (9.53e-2)"	"unprognostic (3.93e-2)"
ANKRD26	"KIAA1074, THC2"	ENSG00000107890	"Ankyrin repeat domain containing 26"	Q9UPS8	10	26973793-27100494	"Disease related genes, Human disease related genes, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 164.8;Inhibitory neurons: 178.0;Rod photoreceptor cells: 157.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"									"HPA040654, HPA041460"	Approved		Approved	"Golgi apparatus,Vesicles"			NA	NA			"Cluster 41: Basophils - Unknown function"	"Cluster 3: Non-specific - Unknown function"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 52: Non-specific - Mitochondria"	"Cluster 68: Cardiomyocytes - Muscle contraction"		"Golgi apparatus, Vesicles"		"HPA040654: AB_10795370, HPA041460: AB_10795120"	"unprognostic (1.92e-1)"	"unprognostic (3.41e-1)"	"unprognostic (2.99e-1)"	"unprognostic (1.46e-1)"	"unprognostic (1.02e-1)"	"unprognostic (2.09e-2)"	"unprognostic (1.86e-5)"	"unprognostic (2.96e-2)"	"unprognostic (1.01e-1)"	"unprognostic (4.08e-2)"	"unprognostic (1.53e-2)"	"unprognostic (1.03e-2)"	"unprognostic (2.53e-3)"	"unprognostic (5.35e-2)"	"unprognostic (1.04e-2)"	"unprognostic (1.99e-2)"	"unprognostic (2.99e-1)"
