Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCB4	"GBD1, MDR2, MDR3, PFIC-3, PGY3"	ENSG00000005471	"ATP binding cassette subfamily B member 4"	P21439	7	87401696-87480435	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Intrahepatic cholestasis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	16	"liver: 119.4"	"Cell type enriched"	"Detected in some"	10	"Hepatocytes: 202.2"	"Cancer enriched"	"Detected in some"	11	"liver cancer: 16.3"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	5	"memory B-cell: 4.4;naive B-cell: 8.2"	"Lineage enriched"	"Detected in many"	7	"B-cells: 8.2"	"Cancer enhanced"	"Detected in some"		"skin cancer: 9.0"	"Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skin - Fibroblast_1"	"Low region specificity"	"Detected in many"							"HPA049395, HPA053288"	Enhanced		Approved	"Nucleoplasm,Plasma membrane,Focal adhesion sites,Cytosol"			NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 83: Liver - Metabolism"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 43: Hepatocytes - Metabolism"		"Nucleoplasm, Plasma membrane"	"Focal adhesion sites, Cytosol"	"HPA049395: AB_2680745, HPA053288: AB_2682102"	"unprognostic (7.92e-2)"	"unprognostic (8.87e-2)"	"unprognostic (1.97e-1)"	"unprognostic (1.90e-1)"	"unprognostic (8.95e-2)"	"unprognostic (1.06e-2)"	"unprognostic (2.35e-3)"	"unprognostic (9.91e-2)"	"unprognostic (3.53e-1)"	"unprognostic (1.19e-1)"	"unprognostic (2.44e-3)"	"unprognostic (8.43e-2)"	"unprognostic (2.83e-2)"	"unprognostic (8.01e-3)"	"unprognostic (7.12e-2)"	"unprognostic (2.11e-2)"	"unprognostic (2.47e-1)"
ABCB9	EST122234	ENSG00000150967	"ATP binding cassette subfamily B member 9"	Q9NP78	12	122920951-122981649	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Peptide transport, Protein transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 19.8"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 44.8;Inhibitory neurons: 40.0;Plasma cells: 99.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB033052, HPA035113, HPA035114"	Approved		Supported	Vesicles			NA	NA			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 37: Neurons - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 61: Plasma cells - Immunoglobulins & histones"		Vesicles		"CAB033052: AB_2273463, HPA035113: AB_2674470, HPA035114: AB_10601329"	"unprognostic (1.47e-2)"	"unprognostic (6.46e-4)"	"unprognostic (3.96e-2)"	"unprognostic (2.73e-1)"	"prognostic unfavorable (5.65e-4)"	"unprognostic (1.46e-1)"	"unprognostic (2.67e-2)"	"unprognostic (2.35e-1)"	"unprognostic (4.08e-2)"	"unprognostic (6.07e-2)"	"unprognostic (2.28e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.37e-2)"	"unprognostic (6.97e-2)"	"unprognostic (1.70e-1)"	"unprognostic (3.58e-3)"	"unprognostic (2.71e-2)"
ACP5	"HPAP, TRAcP, TRAP"	ENSG00000102575	"Acid phosphatase 5, tartrate resistant"	P13686	19	11574653-11579993	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		Hydrolase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"lung: 159.9"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 391.8;Macrophages: 293.4;Proximal tubular cells: 109.7"	"Low cancer specificity"	"Detected in all"			"Region enhanced"	"Detected in many"		"thalamus: 27.0"	"Immune cell enhanced"	"Detected in many"		"memory B-cell: 172.5"	"Low lineage specificity"	"Detected in all"			"Cancer enriched"	"Detected in many"	7	"skin cancer: 80.1"	"Adipose subcutaneous - Macrophages, Kidney - Proximal tubular cells, Liver - Sinusoid Endothelial cells, Lung - Macrophages, Skeletal muscle - Macrophages"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			"CAB002584, HPA057655, HPA059463"	Enhanced		Uncertain	Cytosol	"Intracellular and membrane"	Enzyme	NA	NA		4000000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 47: Spleen - Immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 58: Macrophages - Innate immune response"		Cytosol		"CAB002584: AB_564039, HPA057655: AB_2683490, HPA059463: AB_2684028"	"unprognostic (4.27e-2)"	"unprognostic (2.05e-2)"	"unprognostic (2.93e-1)"	"unprognostic (8.60e-3)"	"unprognostic (2.96e-1)"	"unprognostic (1.95e-2)"	"unprognostic (5.21e-2)"	"unprognostic (5.17e-3)"	"unprognostic (5.13e-2)"	"unprognostic (3.80e-1)"	"unprognostic (3.66e-3)"	"unprognostic (9.09e-2)"	"unprognostic (1.39e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.17e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.19e-1)"
ACSL3	"ACS3, FACL3, PRO2194"	ENSG00000123983	"Acyl-CoA synthetase long chain family member 3"	O95573	2	222860942-222944639	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"parathyroid gland: 166.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Prostate - Prostate glandular cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA011315, HPA071021"	Approved		Approved	"Nucleoli,Nucleoli rim,Lipid droplets"			NA	NA		37000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 14: Neurons - Synaptic function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 29: Monocytes - Innate immune response"	3	"Nucleoli, Nucleoli rim"	"Lipid droplets"	"HPA011315: AB_1848344, HPA071021: AB_2686335"	"unprognostic (1.87e-1)"	"unprognostic (5.64e-2)"	"unprognostic (2.36e-1)"	"unprognostic (9.35e-3)"	"unprognostic (7.53e-2)"	"unprognostic (2.07e-2)"	"prognostic unfavorable (2.75e-4)"	"prognostic unfavorable (8.78e-4)"	"unprognostic (3.90e-2)"	"unprognostic (2.50e-1)"	"unprognostic (2.64e-1)"	"unprognostic (4.26e-2)"	"unprognostic (1.17e-3)"	"unprognostic (1.36e-1)"	"unprognostic (2.72e-1)"	"unprognostic (2.65e-1)"	"unprognostic (1.60e-1)"
ADAMTS4	"ADAMTS-2, ADMP-1, KIAA0688"	ENSG00000158859	"ADAM metallopeptidase with thrombospondin type 1 motif 4"	O75173	1	161184302-161199054	"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"		"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 113.0;ovary: 92.8"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 76.5;Endothelial cells: 119.2;Fibroblasts: 76.3;Lymphatic endothelial cells: 41.4;Oligodendrocytes: 52.1;Smooth muscle cells: 203.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	10	"plasmacytoid DC: 4.4"	"Lineage enriched"	"Detected in single"	10	"dendritic cells: 4.4"	"Cancer enhanced"	"Detected in some"		"Bone cancer: 8.1;skin cancer: 5.6"	"Breast - Endothelial cells, Colon - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB025876, HPA051296, HPA068374"	Uncertain		Supported	"Nuclear speckles"	"Secreted to extracellular matrix"	Enzyme	NA	NA		11000	"Cluster 30: Non-specific - DNA binding"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 30: White matter - Myelination"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 48: Smooth muscle cells - Signal transduction"		"Nuclear speckles"		"CAB025876: , HPA051296: AB_2681426, HPA068374: AB_2685978"	"unprognostic (2.70e-2)"	"unprognostic (8.10e-3)"	"unprognostic (3.00e-3)"	"unprognostic (2.75e-1)"	"unprognostic (9.95e-3)"	"unprognostic (1.19e-1)"	"unprognostic (1.07e-1)"	"prognostic unfavorable (5.00e-4)"	"unprognostic (1.20e-2)"	"unprognostic (9.59e-3)"	"unprognostic (2.48e-2)"	"unprognostic (1.59e-1)"	"prognostic unfavorable (7.27e-7)"	"unprognostic (1.10e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.44e-3)"	"unprognostic (3.13e-2)"
AFAP1L1	FLJ36748	ENSG00000157510	"Actin filament associated protein 1 like 1"	Q8TED9	5	149271859-149343637	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"skeletal muscle: 30.4"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 76.2;Cardiomyocytes: 43.1;Early spermatids: 102.1;Endothelial cells: 60.5;Extravillous trophoblasts: 54.1;Late spermatids: 69.9;Lymphatic endothelial cells: 83.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Endothelial cells, Kidney - Endothelial cells, Liver - Vascular Endothelial cells, Lung - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"	1				"unprognostic (2.91e-1)"	"unprognostic (7.80e-2)"	"prognostic unfavorable (2.84e-4)"	"unprognostic (1.20e-1)"	"unprognostic (3.44e-1)"	"unprognostic (2.61e-1)"	"unprognostic (1.41e-3)"	"unprognostic (5.25e-2)"	"unprognostic (3.14e-1)"	"unprognostic (1.09e-2)"	"unprognostic (4.00e-1)"	"unprognostic (9.64e-2)"	"unprognostic (3.07e-3)"	"unprognostic (1.52e-3)"	"unprognostic (1.97e-1)"	"unprognostic (1.88e-1)"	"unprognostic (9.88e-2)"
AKAP6	"ADAP6, AKAP100, KIAA0311, mAKAP, PRKA6"	ENSG00000151320	"A-kinase anchoring protein 6"	Q13023	14	32329298-32837684	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 28.4;heart muscle: 52.7;retina: 13.2;skeletal muscle: 45.8;tongue: 48.8"	"Group enriched"	"Detected in many"	5	"Excitatory neurons: 581.4;Inhibitory neurons: 635.2;Oligodendrocyte precursor cells: 387.2;Oligodendrocytes: 1082.0"	"Cancer enhanced"	"Detected in many"		"glioma: 2.3"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	6	"naive B-cell: 3.4"	"Lineage enriched"	"Detected in single"	6	"B-cells: 3.4"	"Cancer enhanced"	"Detected in many"		"Rhabdoid: 12.8"	"Adipose subcutaneous - Smooth muscle cells, Liver - Hepatocytes, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB001983, HPA048741"	Enhanced						NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 51: Oligodendrocytes - Unknown function"	1			"CAB001983: , HPA048741: AB_2680506"	"unprognostic (1.99e-1)"	"unprognostic (9.92e-2)"	"unprognostic (1.88e-1)"	"unprognostic (1.37e-1)"	"unprognostic (2.52e-1)"	"unprognostic (4.33e-2)"	"unprognostic (1.41e-4)"	"unprognostic (1.81e-3)"	"unprognostic (1.93e-2)"	"unprognostic (4.49e-3)"	"unprognostic (1.24e-3)"	"unprognostic (3.54e-1)"	"unprognostic (3.33e-16)"	"unprognostic (8.57e-2)"	"unprognostic (1.27e-1)"	"unprognostic (5.14e-3)"	"unprognostic (1.79e-3)"
ALX1	CART1	ENSG00000180318	"ALX homeobox 1"	Q15699	12	85280220-85301784	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"epididymis: 3.8;kidney: 5.9"	"Cell type enriched"	"Detected in some"	6	"Melanocytes: 41.2"	"Cancer enriched"	"Detected in some"	10	"melanoma: 16.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"skin cancer: 19.3"	"Kidney - Fibroblasts, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA001598, HPA018905"	Uncertain		Supported	"Nucleoplasm,Nuclear bodies,Golgi apparatus"			NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 69: Skin cancer - ECM organization"	"Cluster 26: Schwann cells & Melanocytes - Mixed function"	9	"Nuclear bodies"	"Nucleoplasm, Golgi apparatus"	"HPA001598: AB_1078400, HPA018905: AB_1844783"	"unprognostic (4.92e-3)"	"unprognostic (8.09e-2)"		"unprognostic (1.09e-3)"	"unprognostic (1.84e-1)"	"unprognostic (6.24e-2)"		"unprognostic (2.05e-2)"	"unprognostic (9.27e-2)"	"unprognostic (1.22e-1)"	"unprognostic (3.57e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.55e-5)"		"unprognostic (8.97e-2)"		"unprognostic (1.43e-1)"
ANGPTL7	"AngX, CDT6"	ENSG00000171819	"Angiopoietin like 7"	O43827	1	11189355-11195981	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 15.4"	"Cell type enriched"	"Detected in some"	4	"Schwann cells: 74.5"	"Cancer enriched"	"Detected in some"	14	"melanoma: 18.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Enteric glia cells"	"Not detected"	"Not detected"			"Region enriched"	"Detected in all"	13	"spinal cord: 82.5"						"Secreted in other tissues"	"No annotated function"	NA	NA		1100000		"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 26: Schwann cells & Melanocytes - Mixed function"	1				"unprognostic (3.23e-2)"	"unprognostic (6.95e-2)"	"unprognostic (1.22e-1)"	"unprognostic (2.67e-3)"	"unprognostic (2.87e-3)"	"unprognostic (2.80e-1)"		"unprognostic (4.89e-2)"	"unprognostic (2.02e-1)"	"unprognostic (1.10e-1)"	"unprognostic (3.97e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.58e-2)"	"unprognostic (3.41e-3)"	"unprognostic (1.92e-1)"	"unprognostic (1.19e-3)"	"unprognostic (2.49e-2)"
ANKH	"ANK, CCAL2, CMDJ, CPPDD, HANK, SLC62A1"	ENSG00000154122	"ANKH inorganic pyrophosphate transport regulator"	Q9HCJ1	5	14704800-14871778	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Phosphate transport, Transport"		"Deafness, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 193.2;Inhibitory neurons: 205.0;Oligodendrocytes: 243.4;Oocytes: 574.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Prostate - Prostate glandular cells, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA068104			Uncertain	Cytosol			NA	NA			"Cluster 11: T-cells - Unknown function"	"Cluster 3: Non-specific - Unknown function"	"Cluster 37: Neurons - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 65: Neurons - Synaptic function"		Cytosol		"HPA068104: AB_2685954"	"unprognostic (1.15e-1)"	"unprognostic (3.35e-1)"	"unprognostic (1.55e-1)"	"unprognostic (2.04e-1)"	"prognostic unfavorable (5.62e-4)"	"unprognostic (6.58e-2)"	"unprognostic (3.53e-2)"	"unprognostic (1.67e-1)"	"unprognostic (2.83e-2)"	"unprognostic (2.11e-1)"	"unprognostic (2.38e-2)"	"unprognostic (2.99e-1)"	"unprognostic (1.54e-3)"	"unprognostic (1.76e-3)"	"unprognostic (1.71e-1)"	"unprognostic (8.66e-2)"	"unprognostic (6.46e-2)"
