Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABHD1	"FLJ36128, LABH1"	ENSG00000143994	"Abhydrolase domain containing 1"	Q96SE0	2	27123789-27130812	"Predicted intracellular proteins, Predicted membrane proteins"		"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"testis: 21.0"	"Group enriched"	"Detected in many"	11	"Early spermatids: 257.3;Late spermatids: 1024.6"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"prostate cancer: 1.0"	"Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA044390	Uncertain						NA	NA			"Cluster 22: Eosinophils - Transcription"	"Cluster 42: Testis - Spermatogenesis"	"Cluster 15: Non-specific - Transcription"	"Cluster 20: Myeloma - Immune response"	"Cluster 36: Late spermatids - Unknown function"	1			"HPA044390: AB_10959380"	"unprognostic (1.20e-3)"	"unprognostic (6.07e-3)"	"unprognostic (7.71e-4)"	"unprognostic (1.63e-2)"	"unprognostic (6.68e-2)"	"unprognostic (2.70e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.06e-3)"	"unprognostic (2.75e-1)"	"unprognostic (1.76e-1)"	"unprognostic (9.09e-4)"	"unprognostic (9.76e-2)"	"unprognostic (1.70e-2)"	"unprognostic (6.88e-2)"	"unprognostic (4.06e-2)"	"unprognostic (3.09e-2)"	"unprognostic (7.97e-2)"
C1QTNF3	"2310005P21Rik, Corcs, Cors, Cors-26, CTRP3"	ENSG00000082196	"C1q and TNF related 3"	Q9BXJ4	5	34017858-34043213	"Plasma proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 32.1;salivary gland: 50.7"	"Group enriched"	"Detected in many"	4	"Early spermatids: 91.3;Late spermatids: 332.0;Muller glia cells: 197.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Myeloma: 23.9;skin cancer: 12.0"	"Adipose subcutaneous - Adipose progenitor cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"HPA064996, HPA066011"	Uncertain		Approved	"Golgi apparatus"	"Secreted to blood"	"Complement pathway"	NA	NA	44100000	24000000		"Cluster 39: Retina & Testis - Cilium"	"Cluster 25: Non-specific - Transcription"	"Cluster 20: Myeloma - Immune response"	"Cluster 53: Fibroblasts - ECM organization"	1	"Golgi apparatus"		"HPA064996: AB_2685399, HPA066011: AB_2685597"	"unprognostic (7.71e-2)"	"unprognostic (2.81e-3)"	"unprognostic (5.83e-2)"	"unprognostic (6.58e-2)"	"unprognostic (3.14e-2)"	"unprognostic (1.98e-1)"	"unprognostic (2.21e-1)"	"unprognostic (2.09e-3)"	"unprognostic (5.18e-2)"	"unprognostic (1.68e-2)"	"unprognostic (1.35e-2)"	"unprognostic (2.70e-2)"	"prognostic unfavorable (6.29e-4)"	"unprognostic (4.89e-3)"	"unprognostic (1.80e-1)"	"unprognostic (9.38e-3)"	"unprognostic (2.35e-1)"
CCDC152	LOC100129792	ENSG00000198865	"Coiled-coil domain containing 152"	Q4G0S7	5	42756818-42802439	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	9	"liver: 173.9"	"Cell type enhanced"	"Detected in many"		"Muller glia cells: 31.9;Spermatocytes: 100.1;Spermatogonia: 30.4"	"Cancer enhanced"	"Detected in many"		"liver cancer: 3.8"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 8.7"	"Liver - Hepatocytes, Testis - Spermatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA036240	Approved		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 1: T-cells - Unknown function"	"Cluster 83: Liver - Metabolism"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 20: Myeloma - Immune response"	"Cluster 79: Spermatocytes & Spermatogonia - Spermatogenesis"	4	Nucleoplasm	Cytosol	"HPA036240: AB_10671242"	"unprognostic (1.83e-1)"	"unprognostic (2.00e-2)"	"unprognostic (3.14e-2)"	"unprognostic (1.44e-3)"	"unprognostic (3.24e-3)"	"unprognostic (1.71e-2)"	"unprognostic (2.88e-1)"	"unprognostic (6.25e-3)"	"unprognostic (9.08e-2)"	"unprognostic (1.16e-1)"	"unprognostic (7.29e-2)"	"unprognostic (9.13e-2)"	"unprognostic (1.02e-1)"	"unprognostic (2.33e-3)"	"unprognostic (5.40e-2)"	"unprognostic (4.63e-2)"	"unprognostic (2.14e-3)"
CCDC180	"BDAG1, C9orf174, CFAP76, DKFZp434I2420, FAP76, KIAA1529"	ENSG00000197816	"Coiled-coil domain containing 180"		9	97307304-97378751	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in many"	5	"choroid plexus: 13.7;fallopian tube: 6.2;retina: 6.3;testis: 12.8"	"Group enriched"	"Detected in some"	5	"Ciliated cells: 10.2;Early spermatids: 7.1;Horizontal cells: 8.2;Late spermatids: 18.7;Rod photoreceptor cells: 9.2;Spermatocytes: 5.3"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 20: Myeloma - Immune response"	"Cluster 42: Ciliated cells - Cilium assembly"					"unprognostic (9.92e-2)"	"unprognostic (9.73e-2)"	"unprognostic (2.41e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.23e-1)"	"unprognostic (3.71e-3)"	"unprognostic (2.94e-2)"	"unprognostic (3.52e-2)"	"unprognostic (2.94e-1)"	"unprognostic (1.52e-1)"	"unprognostic (5.53e-5)"	"unprognostic (2.33e-2)"	"unprognostic (7.34e-3)"	"unprognostic (1.64e-1)"	"unprognostic (2.54e-1)"	"unprognostic (1.41e-2)"	"unprognostic (7.50e-3)"
CCL3	"G0S19-1, LD78ALPHA, MIP-1-alpha, SCYA3"	ENSG00000277632	"C-C motif chemokine ligand 3"	P10147	17	36088256-36090169	"Cancer-related genes, Predicted secreted proteins"	"Chemotaxis, Inflammatory response"	Cytokine	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 76.2;lung: 34.7;lymphoid tissue: 48.2"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 3179.9;Kupffer cells: 565.1;Langerhans cells: 883.9;Macrophages: 1607.3;monocytes: 1380.4;NK-cells: 543.5"	"Low cancer specificity"	"Detected in all"			"Group enriched"	"Detected in many"	19	"basal ganglia: 1.5;cerebral cortex: 2.7;medulla oblongata: 1.4;thalamus: 1.0;white matter: 2.7"	"Immune cell enhanced"	"Detected in many"		"gdT-cell: 23.7"	"Group enriched"	"Detected in many"	4	"B-cells: 10.4;granulocytes: 10.8;T-cells: 23.7"	"Cancer enriched"	"Detected in some"	5	"Myeloma: 218.9"	"Breast - T-cells, Liver - NK-cells (Liver), Thyroid - T-cells"														"Secreted to blood"	Chemokine	NA	NA	138000		"Cluster 14: Non-specific - Unknown function"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 34: Non-specific - Mixed function"	"Cluster 20: Myeloma - Immune response"	"Cluster 58: Macrophages - Innate immune response"	3				"unprognostic (2.41e-1)"	"unprognostic (1.87e-1)"	"unprognostic (1.45e-1)"	"unprognostic (7.44e-3)"	"unprognostic (1.44e-1)"	"unprognostic (1.66e-1)"	"unprognostic (3.54e-1)"	"unprognostic (8.90e-2)"	"unprognostic (7.92e-3)"	"unprognostic (2.00e-1)"	"unprognostic (7.20e-2)"	"unprognostic (2.05e-1)"	"unprognostic (8.92e-3)"	"unprognostic (1.08e-1)"	"unprognostic (9.29e-2)"	"unprognostic (1.55e-2)"	"unprognostic (1.23e-2)"
CCL3L1	"CCL3L3, D17S1718, G0S19-2, LD78BETA, MGC12815, SCYA3L, SCYA3L1"	ENSG00000276085	"C-C motif chemokine ligand 3 like 1"	P16619	17	36194869-36196758	"Predicted secreted proteins"	Chemotaxis	Cytokine		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 11.0;lung: 4.9"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 796.8;Kupffer cells: 154.6;Langerhans cells: 385.1;Macrophages: 500.2;monocytes: 206.0"	"Low cancer specificity"	"Detected in all"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"eosinophil: 4.2;neutrophil: 1.2"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 4.2"	"Group enriched"	"Detected in some"	11	"lymphoma: 2.3;Myeloma: 9.1"															"Secreted to blood"	Chemokine	NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"		"Cluster 20: Myeloma - Immune response"	"Cluster 58: Macrophages - Innate immune response"	4				"unprognostic (6.30e-2)"	"unprognostic (8.18e-2)"	"unprognostic (5.37e-2)"	"unprognostic (1.46e-1)"	"unprognostic (9.50e-2)"	"unprognostic (2.18e-1)"	"unprognostic (4.36e-2)"	"unprognostic (3.69e-1)"	"unprognostic (5.75e-2)"	"unprognostic (5.55e-2)"	"unprognostic (2.40e-2)"	"unprognostic (3.66e-1)"	"unprognostic (9.08e-2)"	"unprognostic (2.09e-1)"	"unprognostic (3.21e-1)"	"unprognostic (1.90e-2)"	"unprognostic (8.58e-2)"
CCR2	"CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R"	ENSG00000121807	"C-C motif chemokine receptor 2"	P41597	3	46353864-46360940	"CD markers, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins"	"Host-virus interaction, Inflammatory response"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 23.8"	"Group enriched"	"Detected in some"	4	"dendritic cells: 60.6;Kupffer cells: 47.0;Langerhans cells: 16.5;Macrophages: 21.7;Plasma cells: 31.6"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in many"		"basophil: 557.4"	"Low lineage specificity"	"Detected in all"			"Cancer enriched"	"Detected in some"	4	"Myeloma: 29.9"	"Breast - Plasma cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"CAB003793, HPA063255"	Approved		Supported	"Nucleoli fibrillar center,Plasma membrane"			NA	NA			"Cluster 41: Basophils - Unknown function"	"Cluster 70: Lymphoid tissue - Immune response"		"Cluster 20: Myeloma - Immune response"	"Cluster 29: Monocytes - Innate immune response"		"Plasma membrane"	"Nucleoli fibrillar center"	"CAB003793: AB_344889, HPA063255: "	"unprognostic (1.09e-2)"	"unprognostic (6.28e-4)"	"unprognostic (3.49e-2)"	"unprognostic (6.35e-4)"	"unprognostic (1.89e-2)"	"unprognostic (4.16e-4)"	"unprognostic (8.06e-2)"	"prognostic favorable (5.87e-4)"	"unprognostic (6.33e-2)"	"unprognostic (3.27e-2)"	"unprognostic (3.12e-1)"	"unprognostic (1.56e-1)"	"unprognostic (5.52e-3)"	"unprognostic (1.29e-1)"	"unprognostic (3.35e-2)"	"unprognostic (4.88e-2)"	"unprognostic (4.19e-1)"
CD28		ENSG00000178562	"CD28 molecule"	P10747	2	203706475-203738912	"CD markers, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"lymphoid tissue: 29.9;placenta: 14.3"	"Group enriched"	"Detected in some"	10	"Hofbauer cells: 31.1;T-cells: 60.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in single"			"Immune cell enhanced"	"Detected in many"		"T-reg: 102.2"	"Lineage enriched"	"Detected in many"	7	"T-cells: 102.2"	"Cancer enriched"	"Detected in some"	13	"Myeloma: 98.6"	"Adipose visceral - T-cells, Breast - T-cells, Colon - T-cells, Kidney - T-cells, Skin - T-cells, Testis - Macrophages, Thyroid - T-cells"	"Region enhanced"	"Detected in single"		"olfactory bulb: 1.0"	"Low region specificity"	"Detected in all"			HPA070003	Enhanced						NA	NA			"Cluster 31: T-cells - T-cell receptor"	"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 20: Myeloma - Immune response"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"				"HPA070003: AB_2686226"	"unprognostic (5.54e-2)"	"unprognostic (2.16e-4)"	"unprognostic (1.90e-3)"	"unprognostic (2.49e-3)"	"unprognostic (3.44e-2)"	"unprognostic (6.07e-5)"	"unprognostic (9.09e-2)"	"unprognostic (4.66e-2)"	"unprognostic (3.40e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.65e-1)"	"unprognostic (1.68e-1)"	"unprognostic (5.78e-5)"	"unprognostic (4.77e-2)"	"unprognostic (2.93e-2)"	"unprognostic (7.79e-2)"	"unprognostic (8.96e-2)"
COX6A2	"COX6AH, COXVIa-M, COXVIAH"	ENSG00000156885	"Cytochrome c oxidase subunit 6A2"	Q02221	16	31427731-31428360	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"		Oxidoreductase	"Disease variant, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	46	"heart muscle: 3783.0;skeletal muscle: 6514.9;tongue: 2009.4"	"Group enriched"	"Detected in some"	67	"Cardiomyocytes: 6833.1;Skeletal myocytes: 2813.2"	"Group enriched"	"Detected in many"	5	"head and neck cancer: 9.3;liver cancer: 2.9;prostate cancer: 3.6"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	151	"NK-cell: 15.0"	"Lineage enriched"	"Detected in single"	151	"NK-cells: 15.0"	"Group enriched"	"Detected in some"	5	"Myeloma: 3.3;Sarcoma: 1.0"	"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"										NA	NA			"Cluster 15: NK-cells - Unknown function"	"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 20: Myeloma - Immune response"	"Cluster 68: Cardiomyocytes - Muscle contraction"					"unprognostic (1.66e-1)"	"unprognostic (1.73e-3)"			"unprognostic (2.09e-2)"	"unprognostic (1.25e-2)"	"unprognostic (1.68e-2)"		"unprognostic (3.88e-1)"	"unprognostic (5.61e-2)"	"unprognostic (7.20e-2)"	"unprognostic (8.71e-2)"	"unprognostic (6.20e-2)"	"unprognostic (1.68e-1)"	"unprognostic (2.65e-1)"		
CTAG1B	"CT6.1, CTAG, CTAG1, ESO1, LAGE2A, LAGE2B, NY-ESO-1"	ENSG00000184033	"Cancer/testis antigen 1B"	P78358	X	154617609-154619282	"Cancer-related genes, Predicted intracellular proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	27	"testis: 7.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"Myeloma: 64.7"										CAB015453	Enhanced						NA	NA				"Cluster 42: Testis - Spermatogenesis"		"Cluster 20: Myeloma - Immune response"		57			"CAB015453: AB_784921"																	
