Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCA6	EST155051	ENSG00000154262	"ATP binding cassette subfamily A member 6"	Q8N139	17	69078702-69141895	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 75.6"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 60.4;Fibroblasts: 120.4;Hepatocytes: 85.4;Inhibitory neurons: 74.7;Langerhans cells: 57.3;Microglial cells: 89.5;Ovarian stromal cells: 83.2;Schwann cells: 69.6"	"Cancer enriched"	"Detected in some"	7	"liver cancer: 4.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gastric cancer: 1.9;lymphoma: 3.1"	"Kidney - Fibroblasts, Liver - Hepatocytes, Pancreas - Fibroblasts"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA064878, HPA067180"			Enhanced	Nucleoplasm			NA	NA				"Cluster 83: Liver - Metabolism"	"Cluster 30: White matter - Myelination"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"		Nucleoplasm		"HPA064878: AB_2685380, HPA067180: AB_2685797"	"unprognostic (7.76e-2)"	"unprognostic (6.80e-2)"	"unprognostic (2.12e-1)"	"unprognostic (8.01e-2)"	"unprognostic (8.47e-2)"	"unprognostic (9.82e-3)"	"prognostic favorable (3.29e-4)"	"unprognostic (1.35e-1)"	"unprognostic (6.60e-2)"	"unprognostic (3.00e-2)"	"unprognostic (2.94e-1)"	"unprognostic (1.02e-1)"	"unprognostic (7.96e-4)"	"unprognostic (1.61e-4)"	"unprognostic (2.10e-2)"	"unprognostic (3.03e-2)"	"unprognostic (1.69e-1)"
ABCA8	KIAA0822	ENSG00000141338	"ATP binding cassette subfamily A member 8"	O94911	17	68867289-68955392	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Fibroblasts: 233.8;Leydig cells: 512.7;Microglial cells: 154.8;Oligodendrocytes: 378.5;Ovarian stromal cells: 128.9;Schwann cells: 228.2;Sertoli cells: 206.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	9	"Rhabdoid: 16.0"	"Heart muscle - Fibroblasts, Liver - Hepatocytes, Pancreas - Fibroblasts, Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA044914	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 11: White matter - Signal transduction"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"		Nucleoplasm	Cytosol	"HPA044914: AB_10964859"	"unprognostic (2.58e-2)"	"unprognostic (2.76e-2)"	"unprognostic (1.89e-1)"	"unprognostic (1.65e-1)"	"unprognostic (3.04e-1)"	"unprognostic (6.84e-2)"	"unprognostic (1.47e-2)"	"unprognostic (1.33e-2)"	"unprognostic (1.19e-1)"	"unprognostic (5.22e-2)"	"unprognostic (6.68e-2)"	"unprognostic (8.76e-2)"	"unprognostic (1.42e-3)"	"unprognostic (3.52e-3)"	"unprognostic (1.88e-1)"	"unprognostic (3.29e-1)"	"unprognostic (6.14e-3)"
ABCA9	EST640918	ENSG00000154258	"ATP binding cassette subfamily A member 9"	Q8IUA7	17	68974488-69060949	"Predicted membrane proteins, Transporters"	Transport	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 53.7;Fibroblasts: 92.9;Inhibitory neurons: 70.3;Leydig cells: 94.8;Microglial cells: 217.4"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Pancreas - Fibroblasts, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA052113, HPA054823"	Uncertain		Approved	"Endoplasmic reticulum"			NA	NA				"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 5: Non-specific - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"		"Endoplasmic reticulum"		"HPA052113: AB_2732573, HPA054823: AB_2682615"	"unprognostic (3.88e-2)"	"unprognostic (9.86e-2)"	"unprognostic (2.21e-1)"	"unprognostic (9.75e-2)"	"unprognostic (4.46e-1)"	"unprognostic (5.64e-3)"	"unprognostic (4.51e-4)"	"unprognostic (1.83e-2)"	"unprognostic (1.94e-3)"	"unprognostic (7.86e-2)"	"unprognostic (3.26e-3)"	"unprognostic (3.51e-1)"	"unprognostic (7.77e-6)"	"unprognostic (5.32e-4)"	"unprognostic (7.22e-2)"	"unprognostic (1.84e-2)"	"unprognostic (4.96e-3)"
ACACB	"ACACbeta, ACC-beta, ACC2, ACCB, ACCbeta, HACC275"	ENSG00000076555	"Acetyl-CoA carboxylase beta"	O00763	12	109116587-109268226	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adipose tissue: 176.9;skeletal muscle: 167.0"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 120.0;Astrocytes: 129.7;Hepatocytes: 166.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 17.6"	"Lineage enriched"	"Detected in many"	6	"granulocytes: 17.6"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA006554	Enhanced				"Intracellular and membrane"	Enzyme	NA	NA			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 17: Breast glandular cells - Lactation"	1			"HPA006554: AB_1844495"	"unprognostic (2.24e-1)"	"unprognostic (4.66e-1)"	"unprognostic (3.97e-2)"	"unprognostic (4.54e-6)"	"unprognostic (2.82e-1)"	"unprognostic (1.59e-2)"	"unprognostic (8.62e-3)"	"unprognostic (5.81e-2)"	"unprognostic (2.86e-1)"	"unprognostic (1.63e-2)"	"prognostic favorable (1.93e-4)"	"unprognostic (6.63e-2)"	"prognostic favorable (1.15e-5)"	"unprognostic (2.36e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.21e-3)"	"unprognostic (2.58e-2)"
ACSL1	"ACS1, FACL1, FACL2, LACS, LACS1, LACS2"	ENSG00000151726	"Acyl-CoA synthetase long chain family member 1"	P33121	4	184755595-184826818	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adipose tissue: 699.7;liver: 1108.8;skeletal muscle: 705.7"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 246.9;Hepatocytes: 1001.0;Late spermatids: 526.5;monocytes: 519.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in all"	9	"neutrophil: 456.1"	"Lineage enriched"	"Detected in all"	9	"granulocytes: 456.1"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Lung - Neutrophil_2, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA011316, HPA011317, HPA011964"	Enhanced		Uncertain	Vesicles			NA	NA		44000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 30: White matter - Myelination"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 74: Neutrophils - Degranulation"		Vesicles		"HPA011316: AB_1844536, HPA011317: , HPA011964: AB_1844537"	"unprognostic (1.10e-2)"	"unprognostic (3.19e-1)"	"unprognostic (1.04e-1)"	"unprognostic (1.64e-3)"	"unprognostic (2.93e-2)"	"unprognostic (1.21e-2)"	"unprognostic (1.82e-3)"	"unprognostic (2.75e-2)"	"unprognostic (1.79e-1)"	"unprognostic (5.89e-2)"	"unprognostic (9.83e-2)"	"unprognostic (3.15e-1)"	"prognostic favorable (1.25e-5)"	"unprognostic (2.77e-1)"	"unprognostic (4.38e-2)"	"unprognostic (6.25e-3)"	"unprognostic (3.13e-2)"
ADAM33	"C20orf153, dJ964F7.1, DKFZp434K0521"	ENSG00000149451	"ADAM metallopeptidase domain 33"	Q9BZ11	20	3667965-3682246	"Disease related genes, Human disease related genes, Predicted membrane proteins"		"Hydrolase, Metalloprotease, Protease"	Asthma	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"cervix: 72.6"	"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 34.3;Fibroblasts: 39.2;Leydig cells: 21.9;Mesothelial cells: 14.6;Microglial cells: 17.9;Smooth muscle cells: 21.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"testis cancer: 12.9"	"Adipose subcutaneous - Adipose progenitor cells, Breast - Fibroblasts, Liver - Hepatic stellate cells, Thyroid - Fibroblasts"	"Region enhanced"	"Detected in single"		"cerebral cortex: 1.0"	"Low region specificity"	"Detected in all"			"HPA067152, HPA071758"	Approved		Approved	"Nuclear speckles,Plasma membrane"			NA	NA				"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"		"Plasma membrane"	"Nuclear speckles"	"HPA067152: AB_2685791, HPA071758: "	"unprognostic (1.10e-1)"	"unprognostic (3.02e-2)"	"unprognostic (2.24e-2)"	"unprognostic (3.35e-3)"	"unprognostic (4.39e-3)"	"unprognostic (7.43e-4)"	"unprognostic (7.14e-3)"	"unprognostic (1.67e-1)"	"unprognostic (1.78e-3)"	"unprognostic (1.28e-1)"	"unprognostic (1.26e-1)"	"unprognostic (3.56e-1)"	"unprognostic (2.75e-11)"	"unprognostic (1.05e-2)"	"unprognostic (1.92e-1)"	"unprognostic (3.21e-5)"	"unprognostic (3.10e-3)"
ADD3	ADDL	ENSG00000148700	"Adducin 3"	Q9UEY8	10	109996368-110135565	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Actin-binding, Calmodulin-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 426.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB009797, HPA035696"	Supported		Supported	"Plasma membrane"			NA	NA		260000	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"		"Plasma membrane"		"CAB009797: AB_2223583, HPA035696: AB_2674740"	"unprognostic (2.66e-1)"	"unprognostic (2.63e-2)"	"unprognostic (1.46e-3)"	"unprognostic (1.64e-1)"	"unprognostic (2.65e-2)"	"unprognostic (1.75e-2)"	"unprognostic (1.57e-3)"	"unprognostic (6.42e-2)"	"unprognostic (5.73e-2)"	"unprognostic (2.37e-2)"	"unprognostic (7.58e-2)"	"unprognostic (9.12e-2)"	"unprognostic (2.34e-3)"	"unprognostic (1.36e-1)"	"unprognostic (4.03e-1)"	"unprognostic (3.68e-2)"	"unprognostic (5.92e-2)"
ADH1B	ADH2	ENSG00000196616	"Alcohol dehydrogenase 1B (class I), beta polypeptide"	P00325	4	99304971-99352760	"Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid metabolism"	Oxidoreductase	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 1449.1;liver: 5678.8"	"Cell type enhanced"	"Detected in many"		"Fibroblasts: 761.6;Hepatocytes: 4180.2;Mesothelial cells: 1146.2"	"Cancer enriched"	"Detected in many"	31	"liver cancer: 223.1"	"Region enhanced"	"Detected in many"		"choroid plexus: 24.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Kidney - Fibroblasts, Liver - Hepatocytes, Pancreas - Fibroblasts, Testis - Endothelial cells"									"HPA047814, HPA060902"	Supported		Approved	"Plasma membrane,Cytosol"			NA	NA		39000000		"Cluster 83: Liver - Metabolism"	"Cluster 8: Immune cells - Immune response"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 43: Hepatocytes - Metabolism"		"Plasma membrane, Cytosol"		"HPA047814: AB_2680163, HPA060902: AB_2684384"	"unprognostic (5.13e-2)"	"unprognostic (9.80e-3)"	"unprognostic (6.59e-2)"	"unprognostic (5.56e-2)"	"unprognostic (9.49e-2)"	"unprognostic (5.53e-2)"	"unprognostic (1.54e-3)"	"unprognostic (1.04e-2)"	"unprognostic (6.51e-2)"	"unprognostic (2.73e-2)"	"unprognostic (7.47e-3)"	"unprognostic (7.79e-2)"	"prognostic unfavorable (7.87e-4)"	"unprognostic (4.60e-3)"	"unprognostic (2.33e-1)"	"unprognostic (2.58e-1)"	"unprognostic (1.60e-2)"
ADIPOQ	"ACDC, ACRP30, adiponectin, apM1, GBP28"	ENSG00000181092	"Adiponectin, C1Q and collagen domain containing"	Q15848	3	186842704-186858463	"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters"		Hormone	"Diabetes mellitus, Disease variant, Obesity"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	28	"adipose tissue: 866.9;breast: 241.0"	"Cell type enhanced"	"Detected in some"		"Breast myoepithelial cells: 1.5;Cone photoreceptor cells: 1.7;Smooth muscle cells: 1.5"	"Group enriched"	"Detected in some"	8	"breast cancer: 6.5;pancreatic cancer: 1.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Adipocytes (Skin)"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB046467, HPA051767"	Uncertain				"Secreted to blood"	Hormone	NA	NA	8360000000	910000000		"Cluster 7: Adipose tissue - Mixed function"	"Cluster 48: Non-specific - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	46			"CAB046467: AB_1078104, HPA051767: AB_2681598"	"unprognostic (1.76e-2)"									"unprognostic (1.53e-1)"	"unprognostic (2.20e-2)"			"unprognostic (6.99e-3)"	"unprognostic (1.87e-1)"		
ADM	AM	ENSG00000148926	Adrenomedullin	P35318	11	10305073-10307397	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		Hormone	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adipose tissue: 329.3"	"Group enriched"	"Detected in many"	4	"Extravillous trophoblasts: 1411.0;Syncytiotrophoblasts: 1281.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	18	"neutrophil: 243.4"	"Lineage enriched"	"Detected in many"	18	"granulocytes: 243.4"	"Low cancer specificity"	"Detected in all"			"Testis - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"CAB016075, HPA068955"	Approved				"Secreted to blood"	Hormone	NA	NA	31000	340000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 4: Extravillous trophoblasts - Unknown function"				"CAB016075: AB_628693, HPA068955: "	"unprognostic (1.67e-1)"	"unprognostic (2.89e-2)"	"unprognostic (1.78e-1)"	"unprognostic (5.22e-2)"	"unprognostic (1.55e-2)"	"unprognostic (5.27e-3)"	"prognostic unfavorable (7.56e-4)"	"unprognostic (1.78e-3)"	"unprognostic (1.06e-1)"	"unprognostic (2.83e-1)"	"unprognostic (8.13e-3)"	"unprognostic (3.12e-1)"	"prognostic unfavorable (6.33e-4)"	"unprognostic (9.70e-3)"	"unprognostic (2.01e-1)"	"unprognostic (2.02e-2)"	"unprognostic (1.62e-2)"
