Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ADGB	"C6orf103, CAPN16, dJ408K24.1, FLJ23121"	ENSG00000118492	Androglobin	Q8N7X0	6	146598967-146815462	"Enzymes, Predicted intracellular proteins"	"Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 4.8;fallopian tube: 7.3;testis: 25.4"	"Cell type enriched"	"Detected in some"	4	"Early spermatids: 367.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA036340, HPA036341"	Enhanced		Uncertain	Nucleoplasm,Mitochondria			No	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 42: Ciliated cells - Cilium assembly"		Mitochondria	Nucleoplasm	"HPA036340: AB_2675071, HPA036341: AB_10672241"	"unprognostic (4.15e-3)"		"unprognostic (1.23e-2)"	"unprognostic (9.30e-3)"	"unprognostic (1.09e-1)"	"unprognostic (2.07e-2)"		"unprognostic (3.11e-2)"	"unprognostic (5.05e-1)"	"unprognostic (2.34e-1)"	"unprognostic (4.83e-3)"	"unprognostic (1.05e-1)"	"unprognostic (1.93e-1)"	"unprognostic (1.77e-2)"	"unprognostic (3.66e-2)"	"unprognostic (2.68e-1)"	
ADGRE1	"EMR1, TM7LN3"	ENSG00000174837	"Adhesion G protein-coupled receptor E1"	Q14246	19	6887566-6940459	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Adaptive immunity, Immunity"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 6.7;lymphoid tissue: 14.4"	"Group enriched"	"Detected in some"	5	"Kupffer cells: 32.4;monocytes: 87.4"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in many"		"basophil: 166.6;eosinophil: 325.5"	"Group enriched"	"Detected in many"	18	"granulocytes: 325.5;monocytes: 105.3"	"Cancer enhanced"	"Detected in many"		"Adrenocortical cancer: 13.1"		"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			HPA052809	Uncertain						NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 29: Monocytes - Innate immune response"				"HPA052809: AB_2681959"	"unprognostic (2.06e-2)"	"unprognostic (3.45e-1)"	"unprognostic (1.32e-1)"	"unprognostic (7.88e-2)"	"unprognostic (1.02e-1)"	"unprognostic (6.93e-5)"	"unprognostic (6.77e-2)"	"unprognostic (1.18e-1)"	"unprognostic (5.75e-2)"	"unprognostic (1.09e-1)"	"unprognostic (2.55e-2)"	"unprognostic (1.26e-1)"	"unprognostic (1.37e-7)"	"unprognostic (6.69e-2)"	"unprognostic (3.33e-4)"	"unprognostic (1.11e-2)"	"unprognostic (1.35e-1)"
AHCYL2	"ADOHCYASE3, IRBIT2, KIAA0828, long-IRBIT"	ENSG00000158467	"Adenosylhomocysteinase like 2"	Q96HN2	7	129225030-129430211	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"One-carbon metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"choroid plexus: 266.4;intestine: 171.7"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 538.1;Distal enterocytes: 270.2;Excitatory neurons: 126.7;Inhibitory neurons: 110.9;Oligodendrocyte precursor cells: 119.3"	"Low cancer specificity"	"Detected in all"			"Region enriched"	"Detected in all"	10	"choroid plexus: 1038.1"	"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Kidney - Proximal tubular cells, Lung - Alveolar cells type 2, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA053128	Uncertain		Approved	Nucleoplasm,Cytosol			NA	NA		500000	"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 47: Astrocytes - Unknown function"		Cytosol	Nucleoplasm	"HPA053128: AB_2682050"	"unprognostic (1.57e-1)"	"unprognostic (2.91e-1)"	"unprognostic (8.52e-3)"	"unprognostic (1.71e-3)"	"unprognostic (7.44e-3)"	"prognostic favorable (4.17e-4)"	"unprognostic (8.85e-2)"	"unprognostic (1.43e-1)"	"unprognostic (3.35e-1)"	"unprognostic (2.74e-1)"	"unprognostic (1.63e-1)"	"unprognostic (6.79e-3)"	"prognostic favorable (1.08e-7)"	"unprognostic (4.70e-3)"	"unprognostic (2.46e-1)"	"unprognostic (7.21e-2)"	"unprognostic (2.62e-1)"
AK3	"AK3L1, AK6, AKL3L1"	ENSG00000147853	"Adenylate kinase 3"	Q9UIJ7	9	4709556-4742043	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 234.4"	"Cell type enhanced"	"Detected in all"		"Hepatocytes: 303.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA063324	Enhanced		Supported	Mitochondria			NA	NA		31000	"Cluster 3: Non-specific - Nuclear processes"	"Cluster 19: Non-specific - Basic cellular processes"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 39: Non-specific - Basic cellular processes"	8	Mitochondria		"HPA063324: AB_2684985"	"unprognostic (1.30e-2)"	"unprognostic (2.25e-1)"	"unprognostic (1.28e-1)"	"unprognostic (1.06e-1)"	"unprognostic (6.55e-2)"	"unprognostic (1.02e-1)"	"unprognostic (2.21e-3)"	"unprognostic (6.44e-2)"	"unprognostic (2.81e-2)"	"unprognostic (9.81e-3)"	"unprognostic (1.90e-1)"	"unprognostic (2.76e-2)"	"prognostic favorable (6.07e-9)"	"unprognostic (1.24e-1)"	"unprognostic (1.40e-1)"	"unprognostic (1.39e-1)"	"unprognostic (1.55e-3)"
AKR1C8	"AKR1C8P, AKR1CL1"	ENSG00000264006	"Aldo-keto reductase family 1 member C8"	Q5T2L2	10	5153920-5185187	"Predicted intracellular proteins"		Oxidoreductase		"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in some"	11	"epididymis: 2.9;liver: 7.0"	"Group enriched"	"Detected in some"	5	"Hepatocytes: 6.0;Oocytes: 4.4"	"Cancer enriched"	"Detected in single"	9	"liver cancer: 0.8"	"Region enriched"	"Detected in single"	7	"choroid plexus: 6.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Liver - Hepatocytes"					"Low region specificity"	"Detected in some"										NA	NA					"Cluster 36: Choroid plexus - Mixed function"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 43: Hepatocytes - Metabolism"	3				"unprognostic (3.47e-1)"	"unprognostic (2.14e-1)"	"unprognostic (4.76e-1)"			"unprognostic (4.20e-2)"	"unprognostic (3.69e-1)"	"unprognostic (3.07e-1)"		"unprognostic (1.10e-1)"	"unprognostic (1.92e-2)"		"unprognostic (2.66e-2)"	"unprognostic (6.28e-3)"			
ANKRD20A1	"ANKRD20A, DKFZp434A171"	ENSG00000260691	"Ankyrin repeat domain 20 family member A1"	Q5TYW2	9	67832765-67920552	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"testis: 3.7"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 14.3;Inhibitory neurons: 8.7;Oligodendrocyte precursor cells: 11.8;Spermatocytes: 5.3;Spermatogonia: 3.3"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"												"HPA043239, HPA046346, HPA046695, HPA047112, HPA047167, HPA047766, HPA049923, HPA051288, HPA051753, HPA054389"	Uncertain		Approved	Nucleoplasm			NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 34: Neurons - Neuronal signaling"		Nucleoplasm		"HPA043239: , HPA046346: AB_2679631, HPA046695: , HPA047112: , HPA047167: , HPA047766: , HPA049923: AB_2680954, HPA051288: AB_2681421, HPA051753: AB_2681592, HPA054389: "	"unprognostic (4.92e-1)"	"unprognostic (4.31e-3)"			"unprognostic (3.97e-1)"			"unprognostic (2.30e-2)"	"unprognostic (5.94e-2)"	"unprognostic (2.26e-2)"	"unprognostic (1.31e-1)"	"unprognostic (1.35e-2)"	"unprognostic (2.32e-2)"	"unprognostic (7.17e-2)"	"unprognostic (1.70e-1)"	"unprognostic (5.45e-2)"	
ARID5A	"MRF-1, RP11-363D14"	ENSG00000196843	"AT-rich interaction domain 5A"	Q03989	2	96536743-96552634	"Predicted intracellular proteins, Transcription factors"	"Immunity, Innate immunity, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"dendritic cells: 133.3;Langerhans cells: 138.7;NK-cells: 145.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Group enriched"	"Detected in all"	5	"Leukemia: 22.6;lymphoma: 38.9;Myeloma: 47.9"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002860, HPA023879"	Approved		Supported	Nucleoplasm,Nucleoli			NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 48: Smooth muscle cells - Signal transduction"	94	Nucleoplasm	Nucleoli	"HPA002860: , HPA023879: AB_1845014"	"prognostic favorable (2.05e-6)"	"unprognostic (1.08e-3)"	"unprognostic (1.69e-2)"	"unprognostic (3.89e-3)"	"unprognostic (1.90e-2)"	"unprognostic (3.38e-2)"	"unprognostic (3.03e-1)"	"unprognostic (1.17e-1)"	"unprognostic (1.24e-3)"	"unprognostic (2.46e-1)"	"unprognostic (1.56e-3)"	"unprognostic (1.17e-1)"	"prognostic unfavorable (4.24e-8)"	"unprognostic (2.74e-2)"	"unprognostic (9.79e-2)"	"unprognostic (1.06e-1)"	"unprognostic (5.13e-2)"
ARL14EPL		ENSG00000268223	"ADP ribosylation factor like GTPase 14 effector protein like"	P0DKL9	5	116032324-116060118	"Predicted intracellular proteins"				"Evidence at protein level"	"No human protein/transcript evidence"	"No human protein/transcript evidence"	"Evidence at protein level"	"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 1.9;Early spermatids: 2.3;Late spermatids: 1.9"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"breast cancer: 7.0;lymphoma: 6.6"		"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"			"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 21: Early spermatids - Spermatogenesis"						"unprognostic (1.41e-1)"		"unprognostic (3.84e-1)"	"unprognostic (2.51e-2)"	"unprognostic (6.47e-3)"		"unprognostic (1.60e-2)"		"unprognostic (3.79e-2)"	"unprognostic (4.05e-2)"			"unprognostic (1.40e-1)"		"unprognostic (1.50e-1)"	"unprognostic (7.65e-2)"
ATP1A4	ATP1AL2	ENSG00000132681	"ATPase Na+/K+ transporting subunit alpha 4"	Q13733	1	160151586-160186980	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"placenta: 6.1;testis: 15.8;urinary bladder: 4.9"	"Cell type enhanced"	"Detected in some"		"Cytotrophoblasts: 27.0;Early spermatids: 111.7;Extravillous trophoblasts: 15.5;granulocytes: 16.2;Late spermatids: 14.4;Syncytiotrophoblasts: 43.9"	"Group enriched"	"Detected in some"	8	"breast cancer: 0.8;urothelial cancer: 1.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Bladder cancer: 2.5;lymphoma: 1.5;testis cancer: 1.6"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 21: Testis - Unknown function"		"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 24: Cytotrophoblasts - Mitochondria"					"unprognostic (1.33e-1)"	"unprognostic (4.01e-3)"	"unprognostic (2.20e-1)"	"unprognostic (1.94e-1)"	"unprognostic (2.09e-1)"	"unprognostic (8.55e-2)"	"unprognostic (1.22e-1)"	"unprognostic (7.48e-3)"	"unprognostic (2.45e-1)"	"unprognostic (8.77e-3)"	"unprognostic (1.98e-2)"	"unprognostic (3.17e-2)"	"unprognostic (2.43e-3)"	"unprognostic (1.07e-1)"	"unprognostic (1.30e-1)"	"unprognostic (4.09e-2)"	"prognostic favorable (2.20e-4)"
AUH		ENSG00000148090	"AU RNA binding methylglutaconyl-CoA hydratase"	Q13825	9	91213815-91361918	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Branched-chain amino acid catabolism"	"Lyase, RNA-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Inhibitory neurons: 131.5;Oligodendrocytes: 128.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Prostate - Prostate glandular cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA004171	Enhanced				"Intracellular and membrane"	Enzyme	NA	NA			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 8: Neurons - Neuronal signaling"				"HPA004171: AB_1845215"	"unprognostic (4.10e-2)"	"unprognostic (8.95e-2)"	"unprognostic (5.56e-2)"	"unprognostic (1.19e-1)"	"unprognostic (1.54e-1)"	"unprognostic (1.49e-1)"	"unprognostic (3.24e-2)"	"unprognostic (3.05e-2)"	"unprognostic (3.57e-1)"	"unprognostic (1.11e-3)"	"unprognostic (1.41e-1)"	"unprognostic (1.76e-1)"	"prognostic favorable (0.00e+0)"	"unprognostic (8.23e-3)"	"unprognostic (2.84e-2)"	"unprognostic (1.23e-1)"	"unprognostic (1.23e-1)"
