Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCC4	"EST170205, MOAT-B, MOATB, MRP4"	ENSG00000125257	"ATP binding cassette subfamily C member 4"	O15439	13	95019835-95301475	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"prostate: 39.8"	"Cell type enriched"	"Detected in many"	4	"Microglial cells: 194.1"	"Cancer enriched"	"Detected in all"	8	"prostate cancer: 90.8"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in all"		"prostate cancer: 68.3"	"Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA002476	Enhanced		Supported	"Nucleoli,Golgi apparatus,Plasma membrane"			NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 21: Non-specific - Metabolism"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 57: Platelets - Hemostasis"	1	"Plasma membrane"	"Nucleoli, Golgi apparatus"	"HPA002476: AB_1844434"	"unprognostic (8.77e-2)"	"unprognostic (1.94e-2)"	"unprognostic (1.48e-1)"	"prognostic unfavorable (9.89e-4)"	"unprognostic (2.83e-2)"	"unprognostic (1.23e-1)"	"unprognostic (7.45e-3)"	"unprognostic (2.40e-2)"	"unprognostic (9.96e-2)"	"unprognostic (2.60e-2)"	"unprognostic (1.28e-1)"	"unprognostic (2.55e-2)"	"prognostic favorable (2.25e-10)"	"unprognostic (7.44e-3)"	"unprognostic (1.67e-1)"	"unprognostic (5.55e-2)"	"unprognostic (2.35e-2)"
ADAMTS7	"ADAM-TS7, DKFZp434H204"	ENSG00000136378	"ADAM metallopeptidase with thrombospondin type 1 motif 7"	Q9UKP4	15	78759206-78811464	"Plasma proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"heart muscle: 29.6"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 6.1;Endometrial stromal cells: 6.5;granulocytes: 10.4;Mesothelial cells: 7.3;Oligodendrocyte precursor cells: 9.0;Schwann cells: 9.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 16.4"	"Colon - Enteric glia cells, Skeletal muscle - Fibroblasts, Stomach - Fibroblasts"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA045284, HPA048453"	Uncertain		Supported	Vesicles	"Secreted to extracellular matrix"	Enzyme	NA	NA				"Cluster 30: Heart muscle - Heart development"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 50: Connective tissue cells - ECM organization"		Vesicles		"HPA045284: AB_2679285, HPA048453: AB_2680399"	"unprognostic (5.94e-3)"	"unprognostic (9.94e-3)"	"unprognostic (2.76e-2)"	"unprognostic (7.09e-2)"	"unprognostic (3.38e-1)"	"unprognostic (1.93e-1)"	"unprognostic (5.88e-4)"	"unprognostic (3.34e-3)"	"unprognostic (2.89e-2)"	"unprognostic (3.31e-2)"	"unprognostic (1.83e-2)"	"unprognostic (3.79e-1)"	"unprognostic (1.34e-2)"	"prognostic unfavorable (9.53e-4)"	"unprognostic (1.59e-1)"	"unprognostic (2.66e-2)"	"unprognostic (8.86e-2)"
ADCY7	"AC7, KIAA0037"	ENSG00000121281	"Adenylate cyclase 7"	P51828	16	50246137-50318135	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"cAMP biosynthesis"	Lyase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 28.9"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 42.0;Kupffer cells: 60.4;Langerhans cells: 55.6;Macrophages: 46.7;Microglial cells: 50.1;monocytes: 50.3;NK-cells: 59.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Skeletal muscle - Fibroblasts"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA041218, HPA048241"	Uncertain		Approved	"Plasma membrane"			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 29: Monocytes - Innate immune response"		"Plasma membrane"		"HPA041218: AB_2677365, HPA048241: AB_2680326"	"unprognostic (1.98e-1)"	"prognostic unfavorable (5.31e-4)"	"unprognostic (1.24e-1)"	"unprognostic (1.78e-1)"	"unprognostic (3.77e-1)"	"unprognostic (2.80e-1)"	"unprognostic (3.90e-2)"	"unprognostic (7.75e-2)"	"unprognostic (1.21e-1)"	"unprognostic (2.56e-2)"	"unprognostic (1.65e-1)"	"unprognostic (1.18e-1)"	"unprognostic (5.59e-3)"	"unprognostic (7.34e-2)"	"unprognostic (2.15e-3)"	"unprognostic (2.18e-1)"	"unprognostic (9.52e-4)"
ADGRE3	EMR3	ENSG00000131355	"Adhesion G protein-coupled receptor E3"	Q9BY15	19	14619117-14690027	"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 3.1;lymphoid tissue: 5.9"	"Cell type enhanced"	"Detected in some"		"Macrophages: 7.7;Microglial cells: 3.6;monocytes: 21.0;Mucus glandular cells: 3.8"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in single"		"cerebral cortex: 1.1"	"Group enriched"	"Detected in many"	7	"basophil: 282.8;eosinophil: 510.3;neutrophil: 491.6"	"Lineage enriched"	"Detected in many"	8	"granulocytes: 510.3"	"Cancer enriched"	"Detected in single"	7	"Leukemia: 1.0"	"Adipose visceral - Neutrophils, Stomach - Neutrophils"					"Not detected"	"Not detected"			HPA015638	Uncertain				"Secreted to blood"	Receptor	NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 58: Macrophages - Innate immune response"				"HPA015638: AB_1848039"	"unprognostic (2.11e-4)"	"unprognostic (1.01e-1)"	"unprognostic (1.17e-1)"	"unprognostic (5.69e-2)"	"unprognostic (5.63e-2)"	"unprognostic (4.53e-2)"	"unprognostic (1.14e-1)"	"unprognostic (8.07e-2)"	"unprognostic (9.61e-2)"	"unprognostic (9.11e-4)"	"unprognostic (4.68e-2)"	"unprognostic (2.41e-1)"	"unprognostic (1.13e-1)"	"unprognostic (7.06e-3)"	"unprognostic (1.51e-1)"	"unprognostic (1.20e-1)"	"unprognostic (6.67e-2)"
ADORA2B		ENSG00000170425	"Adenosine A2b receptor"	P29275	17	15945130-15975746	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"urinary bladder: 16.1"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 46.2;Basal respiratory cells: 69.1;Basal squamous epithelial cells: 31.2;Langerhans cells: 31.5;Suprabasal keratinocytes: 36.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 17.3;myeloid DC: 10.5"	"Group enriched"	"Detected in many"	113	"dendritic cells: 10.5;granulocytes: 17.3;monocytes: 5.9"	"Low cancer specificity"	"Detected in many"			"Prostate - Urothelial cells, Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA073747			Uncertain	Cytosol			NA	Yes			"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 12: Squamous epithelial cells - Keratinization"	1	Cytosol		"HPA073747: "	"unprognostic (6.04e-3)"	"unprognostic (1.22e-1)"	"unprognostic (8.14e-2)"	"unprognostic (1.32e-2)"	"unprognostic (4.68e-1)"	"unprognostic (7.88e-3)"	"unprognostic (2.64e-4)"	"unprognostic (1.44e-1)"	"unprognostic (1.84e-1)"	"unprognostic (1.50e-2)"	"unprognostic (2.18e-3)"	"unprognostic (1.38e-1)"	"unprognostic (1.66e-9)"	"unprognostic (2.07e-1)"	"unprognostic (3.49e-1)"	"unprognostic (1.50e-2)"	"unprognostic (2.84e-1)"
ADORA3	"A3AR, AD026"	ENSG00000282608	"Adenosine A3 receptor"	P0DMS8	1	111499429-111503633	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 19.7"	"Cell type enhanced"	"Detected in some"		"granulocytes: 13.8;Hofbauer cells: 16.7;Kupffer cells: 62.2;Late spermatids: 17.7;Macrophages: 31.4"					"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	40	"eosinophil: 602.8"	"Lineage enriched"	"Detected in many"	40	"granulocytes: 602.8"	"Cancer enriched"	"Detected in single"	6	"Leukemia: 1.9"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Macrophages, Liver - Kupffer cells, Lung - Macrophages, Pancreas - Macrophages, Prostate - Macrophages, Skeletal muscle - Macrophages, Skin - Macrophages, Stomach - Macrophages, Thyroid - Macrophages"	"Low region specificity"	"Detected in many"														NA	NA			"Cluster 19: Eosinophils - Unknown function"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 58: Macrophages - Innate immune response"																					
AHRR	"AHH, AHHR, bHLHe77, KIAA1234"	ENSG00000063438	"Aryl hydrocarbon receptor repressor"		5	321714-438291	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Tissue enriched"	"Detected in many"	8	"testis: 45.1"	"Group enriched"	"Detected in some"	16	"Early spermatids: 259.5;Late spermatids: 167.2;Spermatocytes: 95.9"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Kidney - Endothelial cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA021483			Supported	Nucleoplasm,Cytosol			NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 51: Neurons - Mixed function"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"		Nucleoplasm	Cytosol	"HPA021483: AB_1855110"	"unprognostic (2.06e-4)"	"unprognostic (3.48e-2)"	"unprognostic (8.71e-3)"	"unprognostic (2.23e-1)"	"unprognostic (1.09e-1)"	"unprognostic (9.33e-4)"	"unprognostic (4.08e-2)"	"unprognostic (1.06e-1)"	"unprognostic (1.17e-1)"	"unprognostic (1.02e-5)"	"unprognostic (1.87e-1)"	"unprognostic (5.07e-2)"	"unprognostic (1.65e-6)"	"unprognostic (1.70e-1)"	"unprognostic (1.94e-1)"	"unprognostic (1.20e-1)"	"unprognostic (3.55e-2)"
ALS2	ALS2CR6	ENSG00000003393	"Alsin Rho guanine nucleotide exchange factor ALS2"	Q96Q42	2	201700267-201782112	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	"Amyotrophic lateral sclerosis, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	5	"brain: 74.0"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 88.8;granulocytes: 83.1;Inhibitory neurons: 63.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"basophil: 22.8;eosinophil: 6.8"	"Lineage enriched"	"Detected in all"	7	"granulocytes: 22.8"	"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in all"	4	"cerebellum: 129.9"	"HPA046588, HPA075409"	Enhanced		Approved	Vesicles,Cytosol			NA	NA			"Cluster 46: Basophils - Proteolysis"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 30: Granulocytes - Unknown function"	2	"Vesicles, Cytosol"		"HPA046588: AB_2679709, HPA075409: "	"unprognostic (3.43e-2)"	"unprognostic (2.11e-1)"	"unprognostic (1.33e-1)"	"unprognostic (2.07e-3)"	"unprognostic (2.72e-1)"	"unprognostic (7.47e-2)"	"unprognostic (1.04e-3)"	"unprognostic (9.17e-2)"	"unprognostic (4.16e-2)"	"unprognostic (1.52e-1)"	"unprognostic (2.99e-1)"	"unprognostic (2.83e-2)"	"unprognostic (1.09e-2)"	"unprognostic (1.88e-1)"	"unprognostic (1.61e-1)"	"unprognostic (2.10e-1)"	"unprognostic (1.84e-1)"
APOBR	"APOB100R, APOB48R"	ENSG00000184730	"Apolipoprotein B receptor"	Q0VD83	16	28494643-28498964	"Predicted intracellular proteins"	"Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport"	Receptor	Atherosclerosis	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"bone marrow: 34.2;intestine: 22.1;lung: 11.0;lymphoid tissue: 21.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 123.8;Hofbauer cells: 40.9;Intestinal goblet cells: 45.0;Langerhans cells: 44.0;Macrophages: 36.5;NK-cells: 40.4;Paneth cells: 68.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	7	"Leukemia: 27.3"	"Adipose subcutaneous - Macrophages, Skin - Langerhans cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA041667, HPA042093"	Enhanced						NA	NA		700000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 6: Non-specific - Immune response"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 5: Enterocytes - Absorption"				"HPA041667: AB_10793972, HPA042093: AB_10795393"	"unprognostic (3.16e-1)"	"unprognostic (8.01e-3)"	"unprognostic (6.19e-3)"	"prognostic favorable (3.26e-4)"	"unprognostic (5.48e-2)"	"unprognostic (4.79e-3)"	"unprognostic (1.17e-1)"	"unprognostic (5.45e-2)"	"unprognostic (1.65e-2)"	"unprognostic (7.60e-3)"	"unprognostic (7.96e-2)"	"unprognostic (1.78e-1)"	"unprognostic (1.34e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.16e-2)"	"unprognostic (1.07e-1)"	"unprognostic (1.25e-2)"
ARHGAP18	"bA307O14.2, MacGAP"	ENSG00000146376	"Rho GTPase activating protein 18"	Q8N392	6	129576132-129710177	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"granulocytes: 562.7;Syncytiotrophoblasts: 227.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA031595	Approved		Supported	"Nuclear speckles,Plasma membrane,Cytosol"			NA	NA		1900000	"Cluster 41: Basophils - Unknown function"	"Cluster 68: Non-specific - Protein processing"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 30: Granulocytes - Unknown function"		Cytosol	"Nuclear speckles, Plasma membrane"	"HPA031595: AB_10959905"	"unprognostic (6.39e-2)"	"unprognostic (1.60e-1)"	"unprognostic (5.45e-2)"	"unprognostic (5.49e-2)"	"unprognostic (3.05e-1)"	"unprognostic (3.17e-1)"	"unprognostic (9.32e-3)"	"unprognostic (1.25e-2)"	"unprognostic (2.98e-2)"	"unprognostic (3.12e-2)"	"prognostic unfavorable (2.54e-4)"	"unprognostic (4.08e-1)"	"unprognostic (2.29e-3)"	"unprognostic (2.22e-1)"	"unprognostic (3.05e-2)"	"unprognostic (5.52e-2)"	"unprognostic (1.08e-1)"
