Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ACR		ENSG00000100312	Acrosin	P10323	22	50738196-50745339	"Enzymes, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	29	"testis: 84.3"	"Group enriched"	"Detected in some"	33	"Early spermatids: 278.9;Late spermatids: 93.1;Spermatocytes: 76.0"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	7	"choroid plexus: 5.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			HPA048687	Enhanced				"Secreted in male reproductive system"	Enzyme	NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"				"HPA048687: AB_2680494"	"unprognostic (1.71e-1)"	"unprognostic (1.26e-1)"	"unprognostic (1.04e-1)"	"unprognostic (6.27e-3)"	"unprognostic (3.58e-2)"	"unprognostic (8.04e-2)"	"unprognostic (3.30e-3)"	"unprognostic (5.41e-2)"	"unprognostic (1.51e-1)"	"unprognostic (2.28e-1)"	"unprognostic (1.34e-2)"	"unprognostic (2.12e-1)"	"unprognostic (1.48e-1)"	"unprognostic (1.23e-2)"	"unprognostic (1.71e-1)"	"unprognostic (2.27e-1)"	"unprognostic (1.25e-1)"
ACRBP	"CT23, OY-TES-1, SP32"	ENSG00000111644	"Acrosin binding protein"	Q8NEB7	12	6638075-6647433	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	20	"testis: 275.6"	"Group enriched"	"Detected in many"	68	"Early spermatids: 1140.3;Late spermatids: 787.6;Spermatocytes: 310.3"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	4	"classical monocyte: 12.5;intermediate monocyte: 15.8;myeloid DC: 17.7;non-classical monocyte: 31.2"	"Group enriched"	"Detected in many"	9	"dendritic cells: 17.7;monocytes: 31.2"	"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039081, HPA039082"	Enhanced		Approved	Nucleoplasm,Vesicles,Cytosol	"Secreted in male reproductive system"	"No annotated function"	NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 42: Testis - Spermatogenesis"	"Cluster 6: Non-specific - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 57: Platelets - Hemostasis"		"Nucleoplasm, Vesicles"	Cytosol	"HPA039081: AB_10670920, HPA039082: AB_10671036"	"unprognostic (7.76e-3)"	"unprognostic (2.27e-1)"	"unprognostic (3.41e-3)"	"unprognostic (2.31e-2)"	"unprognostic (3.65e-2)"	"unprognostic (2.13e-2)"	"unprognostic (2.42e-1)"	"unprognostic (3.40e-3)"	"unprognostic (2.85e-1)"	"unprognostic (5.47e-3)"	"unprognostic (1.17e-2)"	"unprognostic (1.43e-1)"	"unprognostic (9.41e-3)"	"unprognostic (1.25e-1)"	"unprognostic (2.56e-1)"	"unprognostic (1.44e-1)"	"unprognostic (2.80e-4)"
ACSS1	"ACAS2L, AceCS2L, dJ568C11.3, MGC33843"	ENSG00000154930	"Acyl-CoA synthetase short chain family member 1"	Q9NUB1	20	25006230-25058980	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"choroid plexus: 175.2"	"Group enriched"	"Detected in many"	4	"Astrocytes: 284.9;Cytotrophoblasts: 310.5;Syncytiotrophoblasts: 392.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Cardiomyocytes, Stomach - Parietal cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041014, HPA043228"	Enhanced						NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 24: Cytotrophoblasts - Mitochondria"	1			"HPA041014: AB_2677251, HPA043228: AB_2678372"	"unprognostic (6.87e-2)"	"prognostic favorable (9.37e-4)"	"unprognostic (5.32e-2)"	"unprognostic (1.54e-1)"	"unprognostic (2.78e-1)"	"unprognostic (3.03e-2)"	"unprognostic (3.20e-3)"	"prognostic favorable (8.33e-5)"	"unprognostic (2.44e-1)"	"unprognostic (2.17e-2)"	"unprognostic (2.43e-1)"	"unprognostic (7.72e-2)"	"unprognostic (4.58e-3)"	"unprognostic (5.85e-2)"	"unprognostic (2.68e-1)"	"unprognostic (3.69e-1)"	"unprognostic (1.60e-1)"
ADGRA2	"DKFZp434C211, DKFZp434J0911, FLJ14390, GPR124, KIAA1531, TEM5"	ENSG00000020181	"Adhesion G protein-coupled receptor A2"	Q96PE1	8	37784191-37844896	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"	"Angiogenesis, Wnt signaling pathway"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 29.4;Endometrial stromal cells: 45.0;Fibroblasts: 39.6;Leydig cells: 52.3;Lymphatic endothelial cells: 58.2;Muller glia cells: 26.3;Peritubular cells: 40.6;Smooth muscle cells: 46.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bone cancer: 29.9"	"Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008984, HPA012393"	Uncertain		Supported	"Vesicles,Plasma membrane"			NA	NA		270000		"Cluster 62: Connective tissue - ECM organization"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 48: Smooth muscle cells - Signal transduction"	1	"Plasma membrane"	Vesicles	"HPA008984: , HPA012393: AB_1849256"	"unprognostic (1.63e-1)"	"unprognostic (1.00e-1)"	"unprognostic (8.30e-2)"	"unprognostic (1.21e-1)"	"unprognostic (2.00e-1)"	"unprognostic (6.34e-2)"	"unprognostic (1.38e-1)"	"unprognostic (3.75e-2)"	"unprognostic (1.15e-2)"	"unprognostic (1.20e-2)"	"unprognostic (3.55e-2)"	"unprognostic (1.50e-1)"	"prognostic unfavorable (3.18e-7)"	"unprognostic (2.65e-2)"	"unprognostic (4.90e-2)"	"unprognostic (6.12e-2)"	"unprognostic (4.60e-3)"
ADGRG5	"GPR114, PGR27"	ENSG00000159618	"Adhesion G protein-coupled receptor G5"	Q8IZF4	16	57542643-57591681	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"intestine: 3.8;lymphoid tissue: 10.2"	"Cell type enhanced"	"Detected in some"		"B-cells: 6.2;dendritic cells: 30.0;Microglial cells: 10.7;NK-cells: 27.1;Plasma cells: 16.9;T-cells: 5.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 126.2"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Leukemia: 11.0;lymphoma: 6.7"	"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Heart muscle - T-cells, Prostate - T-cells, Thyroid - T-cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA007133	Enhanced		Approved	"Nucleoplasm,Nuclear membrane,Vesicles"			NA	NA			"Cluster 29: Non-specific - Unknown function"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 19: NK-cells - Adaptive immune response"		"Nuclear membrane, Vesicles"	Nucleoplasm	"HPA007133: AB_1849253"	"unprognostic (6.11e-3)"	"prognostic favorable (4.25e-4)"	"unprognostic (2.70e-1)"	"unprognostic (2.27e-2)"	"unprognostic (6.14e-2)"	"unprognostic (1.14e-2)"	"unprognostic (6.43e-2)"	"unprognostic (1.42e-2)"	"unprognostic (8.09e-4)"	"unprognostic (3.80e-3)"	"unprognostic (3.02e-3)"	"unprognostic (1.91e-1)"	"unprognostic (4.37e-3)"	"unprognostic (7.69e-3)"	"unprognostic (4.52e-1)"	"unprognostic (1.62e-3)"	"unprognostic (6.32e-3)"
AGAP2	CENTG1	ENSG00000135439	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"	Q99490	12	57723761-57742157	"Predicted intracellular proteins"	"Protein transport, Transport"	"GTPase activation"	"Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	10	"brain: 218.8"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 21.5;Horizontal cells: 20.8;Inhibitory neurons: 11.8;NK-cells: 21.4;Sertoli cells: 13.6;T-cells: 18.1"	"Cancer enriched"	"Detected in many"	12	"glioma: 20.6"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Leukemia: 19.8"	"Kidney - T-cells, Thyroid - T-cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA023474, HPA075831"	Enhanced		Supported	"Nucleoplasm,Midbody ring,Cytosol"			Yes	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 51: Neurons - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	1	"Nucleoplasm, Cytosol"	"Midbody ring"	"HPA023474: AB_1855378, HPA075831: "	"unprognostic (1.87e-1)"	"unprognostic (2.46e-3)"	"unprognostic (9.26e-2)"	"unprognostic (5.56e-4)"	"unprognostic (3.95e-1)"	"unprognostic (1.14e-2)"	"unprognostic (5.00e-2)"	"unprognostic (2.36e-2)"	"unprognostic (3.39e-1)"	"unprognostic (2.80e-1)"	"unprognostic (1.93e-3)"	"unprognostic (4.18e-1)"	"unprognostic (4.81e-9)"	"unprognostic (3.30e-1)"	"unprognostic (2.72e-2)"	"unprognostic (3.07e-1)"	"unprognostic (5.75e-2)"
AGO4	"EIF2C4, FLJ20033, hAGO4, KIAA1567"	ENSG00000134698	"Argonaute RISC component 4"	Q9HCK5	1	35808016-35857890	"Predicted intracellular proteins"	"RNA-mediated gene silencing, Translation regulation"	"Ribonucleoprotein, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 58.6;Inhibitory neurons: 69.0;Microglial cells: 60.8;Oligodendrocyte precursor cells: 82.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"neutrophil: 7.5"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other), Testis - Early spermatids, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"							"CAB012179, HPA067849"	Approved		Supported	"Cytoplasmic bodies"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 55: Non-specific - Transcription"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 74: Neutrophils - Degranulation"	5	"Cytoplasmic bodies"		"CAB012179: , HPA067849: "	"unprognostic (2.67e-2)"	"unprognostic (1.63e-1)"	"unprognostic (1.06e-1)"	"unprognostic (5.01e-2)"	"unprognostic (1.76e-1)"	"prognostic favorable (5.70e-5)"	"unprognostic (3.92e-3)"	"unprognostic (3.99e-3)"	"unprognostic (2.32e-2)"	"unprognostic (9.28e-2)"	"unprognostic (3.16e-1)"	"unprognostic (2.45e-3)"	"unprognostic (4.91e-3)"	"unprognostic (4.96e-2)"	"unprognostic (2.58e-1)"	"unprognostic (3.96e-1)"	"unprognostic (1.58e-2)"
AGTPBP1	"CCP1, KIAA1035, Nna1"	ENSG00000135049	"ATP/GTP binding carboxypeptidase 1"	Q9UPW5	9	85546539-85742029	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 59.5;retina: 45.1"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 170.7;Inhibitory neurons: 156.2;Oligodendrocytes: 431.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA057208, HPA071094"	Approved		Approved	Nucleoli,Vesicles			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 76: Retina - Visual perception"	"Cluster 11: White matter - Signal transduction"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 51: Oligodendrocytes - Unknown function"	1	"Nucleoli, Vesicles"		"HPA057208: AB_2683370, HPA071094: "	"unprognostic (2.15e-1)"	"unprognostic (3.78e-2)"	"unprognostic (4.93e-3)"	"unprognostic (6.12e-2)"	"unprognostic (1.42e-1)"	"unprognostic (8.95e-3)"	"unprognostic (1.86e-2)"	"unprognostic (1.65e-1)"	"unprognostic (1.71e-1)"	"unprognostic (8.26e-3)"	"unprognostic (5.69e-3)"	"unprognostic (6.31e-2)"	"unprognostic (3.07e-2)"	"unprognostic (1.11e-1)"	"unprognostic (1.39e-1)"	"unprognostic (9.60e-3)"	"unprognostic (1.25e-1)"
AIF1	"AIF-1, Em:AF129756.17, IBA1, IRT-1"	ENSG00000204472	"Allograft inflammatory factor 1"	P55008	6	31615217-31617021	"Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 231.8;lymphoid tissue: 338.3"	"Group enriched"	"Detected in many"	7	"Hofbauer cells: 2428.1;Kupffer cells: 2004.2;Langerhans cells: 1668.3;Macrophages: 1445.6;monocytes: 3377.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	26	"classical monocyte: 3836.5;intermediate monocyte: 6563.8;myeloid DC: 2046.7;neutrophil: 2962.5;non-classical monocyte: 7784.5"	"Group enriched"	"Detected in all"	74	"dendritic cells: 2046.7;granulocytes: 2962.5;monocytes: 7784.5"	"Cancer enriched"	"Detected in some"	28	"Leukemia: 86.0"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Podocytes, Liver - Kupffer cells, Pancreas - Macrophages, Prostate - Macrophages, Skeletal muscle - Macrophages, Stomach - Macrophages, Testis - Macrophages, Thyroid - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA049234, HPA062949"	Enhanced		Uncertain	Cytosol			NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 29: Monocytes - Innate immune response"	2	Cytosol		"HPA049234: AB_2680685, HPA062949: AB_2732694"	"unprognostic (3.20e-2)"	"unprognostic (7.21e-3)"	"unprognostic (6.11e-2)"	"unprognostic (2.33e-2)"	"unprognostic (2.46e-1)"	"unprognostic (1.13e-1)"	"unprognostic (6.98e-2)"	"unprognostic (4.83e-2)"	"unprognostic (2.72e-2)"	"unprognostic (7.56e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.94e-1)"	"prognostic unfavorable (2.30e-5)"	"unprognostic (1.29e-1)"	"unprognostic (1.02e-2)"	"unprognostic (9.59e-2)"	"unprognostic (4.89e-2)"
ALG1L2		ENSG00000251287	"ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2"	C9J202	3	130081831-130113227	"Metabolic proteins, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"		"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in single"		"retina: 2.5"	"Cell type enhanced"	"Detected in some"		"Erythroid cells: 6.9;Granulosa cells: 7.7;Ovarian stromal cells: 5.6"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	4	"plasmacytoid DC: 1.0"	"Lineage enriched"	"Detected in single"	4	"dendritic cells: 1.0"	"Not detected"	"Not detected"												HPA060392	Uncertain		Uncertain	"Nucleoli fibrillar center,Endoplasmic reticulum"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 76: Retina - Visual perception"	"Cluster 6: Non-specific - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 6: Ovarian stromal cells - Transcription"		"Endoplasmic reticulum"	"Nucleoli fibrillar center"	"HPA060392: AB_2684273"	"unprognostic (1.05e-1)"	"unprognostic (5.13e-2)"	"unprognostic (5.44e-3)"	"unprognostic (8.15e-2)"	"unprognostic (2.98e-2)"	"unprognostic (2.07e-1)"	"unprognostic (2.02e-1)"	"unprognostic (4.38e-1)"	"unprognostic (3.91e-1)"	"prognostic favorable (7.75e-4)"	"unprognostic (4.58e-2)"	"unprognostic (4.17e-2)"	"unprognostic (5.93e-4)"	"unprognostic (1.24e-1)"	"unprognostic (2.19e-1)"	"unprognostic (2.35e-2)"	"unprognostic (4.28e-3)"
