Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCC8	"ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2"	ENSG00000006071	"ATP binding cassette subfamily C member 8"	Q09428	11	17392498-17476894	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	Transport	Receptor	"Diabetes mellitus, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 42.2;pancreas: 19.5;pituitary gland: 33.4"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 18.6;Bipolar cells: 47.0;Endometrial stromal cells: 16.4;Enteroendocrine cells: 16.5;Excitatory neurons: 46.6;Horizontal cells: 18.9;Inhibitory neurons: 37.6;Oligodendrocyte precursor cells: 36.8;Pancreatic endocrine cells: 30.6"	"Cancer enriched"	"Detected in some"	9	"pancreatic cancer: 16.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	9	"thyroid cancer: 3.4"	"Heart muscle - Cardiomyocytes, Pancreas - Alpha cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB011451, HPA042318"	Approved		Approved	"Nucleoli,Golgi apparatus,Cytosol"			No	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 24: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 25: Bipolar cells - Visual perception"		Nucleoli	"Golgi apparatus, Cytosol"	"CAB011451: , HPA042318: AB_2677947"	"unprognostic (4.30e-2)"	"unprognostic (1.02e-1)"	"unprognostic (5.09e-2)"	"unprognostic (4.73e-2)"	"unprognostic (9.48e-3)"	"unprognostic (2.23e-1)"	"unprognostic (4.46e-3)"	"unprognostic (2.53e-3)"	"unprognostic (6.04e-2)"	"unprognostic (2.34e-2)"	"unprognostic (8.72e-3)"	"unprognostic (1.13e-1)"	"unprognostic (2.22e-2)"	"unprognostic (1.96e-2)"	"unprognostic (6.88e-5)"	"unprognostic (2.72e-2)"	"unprognostic (1.85e-1)"
ADAMTS13	"C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP"	ENSG00000160323	"ADAM metallopeptidase with thrombospondin type 1 motif 13"	Q76LX8	9	133414358-133459402	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Blood coagulation, Hemostasis"	"Hydrolase, Metalloprotease, Protease"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 62.2"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 15.2;Early spermatids: 12.2;Excitatory neurons: 12.0;Inhibitory neurons: 11.9;Late spermatids: 19.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Liver - Hepatic stellate cells, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA042014, HPA042844, HPA052077"	Approved		Approved	Vesicles	"Secreted to blood"	"Blood coagulation"	NA	NA	1300000000	120000000		"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 37: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 13: Spermatids - Transcription"	1	Vesicles		"HPA042014: AB_2677798, HPA042844: AB_2678200, HPA052077: "	"unprognostic (1.09e-1)"	"unprognostic (1.45e-1)"	"unprognostic (8.75e-4)"	"unprognostic (1.49e-2)"	"unprognostic (1.83e-1)"	"unprognostic (3.02e-1)"	"unprognostic (4.76e-2)"	"unprognostic (2.54e-1)"	"unprognostic (2.33e-2)"	"unprognostic (1.88e-1)"	"unprognostic (4.52e-5)"	"unprognostic (1.11e-1)"	"unprognostic (9.91e-2)"	"unprognostic (4.78e-2)"	"unprognostic (3.57e-1)"	"unprognostic (1.82e-2)"	"unprognostic (2.30e-3)"
ADARB2	"ADAR3, hRED2, RED2"	ENSG00000185736	"Adenosine deaminase RNA specific B2 (inactive)"	Q9NS39	10	1177313-1737525	"Predicted intracellular proteins"	"mRNA processing"	"Hydrolase, RNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"brain: 31.9"	"Group enriched"	"Detected in many"	4	"Inhibitory neurons: 1645.9;Oligodendrocyte precursor cells: 650.9"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	4	"neutrophil: 4.7"	"Lineage enriched"	"Detected in many"	4	"granulocytes: 4.7"	"Cancer enhanced"	"Detected in some"		"cervical cancer: 2.6"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 69: Neurons - Neuronal signaling"					"unprognostic (2.83e-1)"	"unprognostic (4.73e-3)"	"unprognostic (4.64e-2)"	"unprognostic (7.44e-3)"	"unprognostic (2.12e-1)"	"unprognostic (2.62e-2)"	"unprognostic (2.53e-1)"	"unprognostic (1.27e-2)"	"unprognostic (1.89e-1)"	"unprognostic (9.58e-2)"	"unprognostic (9.28e-3)"	"unprognostic (3.41e-1)"	"unprognostic (3.28e-2)"	"unprognostic (1.71e-1)"	"unprognostic (1.04e-1)"	"unprognostic (3.11e-1)"	"unprognostic (3.81e-3)"
ADNP2	"KIAA0863, ZNF508"	ENSG00000101544	"ADNP homeobox 2"	Q6IQ32	18	80109262-80147523	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 40.8"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007126	Uncertain		Approved	Mitochondria,Cytosol			NA	NA			"Cluster 30: Non-specific - DNA binding"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 29: Monocytes - Innate immune response"	2	"Mitochondria, Cytosol"		"HPA007126: AB_1080729"	"unprognostic (4.93e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.05e-2)"	"unprognostic (2.25e-1)"	"unprognostic (1.25e-1)"	"unprognostic (1.69e-1)"	"unprognostic (3.42e-2)"	"unprognostic (2.31e-1)"	"unprognostic (1.24e-1)"	"unprognostic (6.05e-2)"	"unprognostic (3.40e-2)"	"unprognostic (8.35e-2)"	"prognostic favorable (6.39e-5)"	"unprognostic (8.64e-2)"	"unprognostic (3.59e-1)"	"prognostic unfavorable (9.90e-4)"	"unprognostic (5.19e-2)"
AGMO	"FLJ16237, TMEM195"	ENSG00000187546	"Alkylglycerol monooxygenase"	Q6ZNB7	7	15200317-15562015	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"liver: 118.6"	"Cell type enhanced"	"Detected in some"		"Hepatocytes: 74.4;Oligodendrocyte precursor cells: 31.6;Oligodendrocytes: 35.8;Oocytes: 103.7;Proximal enterocytes: 25.5"	"Cancer enriched"	"Detected in many"	5	"liver cancer: 15.7"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"basophil: 1.4"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 1.4"	"Cancer enhanced"	"Detected in many"		"Rhabdoid: 11.2"	"Adipose visceral - Endothelial cells, Breast - Endothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA057900			Uncertain	Vesicles			NA	NA				"Cluster 83: Liver - Metabolism"	"Cluster 11: White matter - Signal transduction"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 43: Hepatocytes - Metabolism"	1	Vesicles		"HPA057900: "	"unprognostic (2.82e-1)"	"unprognostic (9.28e-2)"	"unprognostic (5.60e-3)"	"unprognostic (1.44e-4)"	"unprognostic (7.52e-2)"	"unprognostic (1.07e-2)"	"unprognostic (3.61e-2)"	"unprognostic (6.56e-2)"	"unprognostic (3.31e-1)"	"unprognostic (3.35e-1)"	"unprognostic (4.18e-3)"	"unprognostic (3.24e-1)"	"unprognostic (1.64e-1)"	"unprognostic (2.04e-2)"	"unprognostic (3.45e-1)"	"unprognostic (1.00e-1)"	"unprognostic (1.93e-1)"
AOC2	"DAO2, RAO"	ENSG00000131480	"Amine oxidase copper containing 2"	O75106	17	42844580-42850707	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Catecholamine metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in some"	6	"Early spermatids: 12.3;Late spermatids: 18.5"	"Cancer enhanced"	"Detected in some"		"testis cancer: 3.8"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	5	"neutrophil: 1.1"	"Lineage enriched"	"Detected in single"	7	"granulocytes: 1.1"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA057779	Uncertain				"Intracellular and membrane"	Enzyme	NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 78: Testis - Transcription"	"Cluster 37: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 21: Early spermatids - Spermatogenesis"	2			"HPA057779: "	"unprognostic (3.79e-2)"	"unprognostic (2.33e-1)"	"unprognostic (5.10e-4)"	"unprognostic (1.90e-2)"	"unprognostic (1.48e-2)"	"unprognostic (2.42e-1)"	"unprognostic (4.63e-2)"	"unprognostic (2.63e-2)"	"unprognostic (1.39e-1)"	"unprognostic (3.64e-2)"	"unprognostic (2.16e-2)"	"unprognostic (8.27e-3)"	"unprognostic (4.55e-5)"	"unprognostic (3.55e-2)"	"unprognostic (2.73e-1)"	"unprognostic (1.63e-2)"	"prognostic favorable (2.47e-4)"
APLP1	APLP	ENSG00000105290	"Amyloid beta precursor like protein 1"	P51693	19	35867899-35879792	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Apoptosis, Cell adhesion, Endocytosis"	Heparin-binding	Neurodegeneration	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	8	"brain: 1106.0"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 142.1;Excitatory neurons: 53.6;Horizontal cells: 86.2;Oligodendrocytes: 429.4"	"Cancer enhanced"	"Detected in many"		"glioma: 63.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in all"		"Rhabdoid: 146.5"	"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells, Kidney - Podocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA028970, HPA028971"	Enhanced		Approved	"Nucleoplasm,Golgi apparatus,Plasma membrane"			NA	NA		6400000		"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 30: White matter - Myelination"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 51: Oligodendrocytes - Unknown function"	4	"Golgi apparatus, Plasma membrane"	Nucleoplasm	"HPA028970: AB_2672847, HPA028971: AB_10601334"	"unprognostic (1.33e-2)"	"unprognostic (2.07e-1)"	"unprognostic (9.36e-3)"	"prognostic unfavorable (3.87e-4)"	"unprognostic (7.32e-3)"	"unprognostic (1.26e-2)"	"unprognostic (1.04e-3)"	"unprognostic (2.24e-2)"	"unprognostic (4.98e-2)"	"unprognostic (6.16e-2)"	"unprognostic (2.35e-2)"	"unprognostic (1.13e-1)"	"unprognostic (2.57e-11)"	"unprognostic (1.38e-3)"	"unprognostic (7.12e-2)"	"unprognostic (5.43e-2)"	"prognostic unfavorable (2.65e-5)"
APOF		ENSG00000175336	"Apolipoprotein F"	Q13790	12	56360568-56362857	"Plasma proteins, Predicted secreted proteins"	"Cholesterol metabolism, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	346	"liver: 404.0"	"Cell type enriched"	"Detected in some"	5	"Hepatocytes: 299.3"	"Cancer enriched"	"Detected in some"	6	"liver cancer: 34.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"prostate cancer: 1.0"	"Liver - Hepatocytes, Prostate - Prostate glandular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"												"Secreted to blood"	Apolipoprotein	NA	NA	18000000000	2200000000		"Cluster 31: Liver - Plasma proteins"	"Cluster 48: Non-specific - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 62: Hepatocytes - Metabolism"					"unprognostic (3.55e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.48e-2)"	"unprognostic (8.99e-3)"	"unprognostic (9.84e-2)"	"unprognostic (3.29e-2)"	"unprognostic (2.08e-3)"	"unprognostic (7.84e-2)"	"unprognostic (4.22e-1)"	"unprognostic (5.69e-2)"	"unprognostic (2.68e-3)"	"unprognostic (8.55e-2)"	"unprognostic (2.42e-2)"	"unprognostic (2.77e-1)"	"unprognostic (5.57e-2)"	"unprognostic (2.87e-1)"	"unprognostic (4.43e-2)"
ASIC3	"ACCN3, DRASIC, TNaC1"	ENSG00000213199	"Acid sensing ion channel subunit 3"	Q9UHC3	7	151048292-151052756	"Predicted membrane proteins"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 45.9"	"Cell type enriched"	"Detected in some"	4	"Late spermatids: 61.1"	"Group enriched"	"Detected in many"	4	"glioma: 3.1;testis cancer: 7.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA049155, HPA054805"	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 63: Late spermatids - Spermatogenesis"		"Nucleoplasm, Cytosol"		"HPA049155: AB_2680657, HPA054805: AB_2732588"	"unprognostic (8.71e-3)"	"unprognostic (1.09e-1)"	"unprognostic (1.92e-4)"	"unprognostic (2.73e-1)"	"unprognostic (7.06e-2)"	"unprognostic (2.02e-2)"	"unprognostic (2.34e-1)"	"unprognostic (3.75e-2)"	"unprognostic (2.42e-1)"	"unprognostic (4.45e-2)"	"unprognostic (8.64e-3)"	"unprognostic (1.67e-2)"	"unprognostic (1.33e-12)"	"unprognostic (1.49e-2)"	"unprognostic (7.38e-2)"	"unprognostic (1.65e-2)"	"unprognostic (5.31e-3)"
ATF3		ENSG00000162772	"Activating transcription factor 3"	P18847	1	212565334-212620777	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 1499.4;Glandular and luminal cells: 1529.6;Secretory cells: 1233.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 6.5;non-classical monocyte: 6.4"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in many"			"Region enhanced"	"Detected in many"		"spinal cord: 13.2"	HPA001562	Approved		Supported	Nucleoplasm,Nucleoli			Yes	Yes			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 11: White matter - Signal transduction"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 37: Glandular & Luminal cells - Unknown function"	17	"Nucleoplasm, Nucleoli"		"HPA001562: AB_1078233"	"unprognostic (2.66e-2)"	"unprognostic (1.52e-2)"	"unprognostic (2.80e-1)"	"unprognostic (4.27e-3)"	"unprognostic (3.29e-1)"	"unprognostic (1.46e-1)"	"unprognostic (1.31e-1)"	"unprognostic (1.73e-1)"	"unprognostic (9.31e-2)"	"unprognostic (8.65e-3)"	"unprognostic (8.75e-2)"	"unprognostic (1.52e-1)"	"unprognostic (6.97e-2)"	"unprognostic (3.31e-2)"	"unprognostic (1.10e-1)"	"unprognostic (2.04e-2)"	"unprognostic (2.08e-2)"
