Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABHD5	"CGI-58, NCIE2"	ENSG00000011198	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	Q8WTS1	3	43690108-43734371	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Differentiation, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"	"Cataract, Deafness, Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"monocytes: 488.3;Syncytiotrophoblasts: 482.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 68.2;neutrophil: 42.8"	"Lineage enriched"	"Detected in all"	5	"granulocytes: 68.2"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Macrophages, Kidney - Endothelial cells, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB020685, HPA035851, HPA035852"	Approved		Supported	Nucleoplasm,Vesicles,Cytosol			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 74: Neutrophils - Degranulation"	16	"Vesicles, Cytosol"	Nucleoplasm	"CAB020685: , HPA035851: AB_10671942, HPA035852: AB_10672073"	"unprognostic (2.58e-1)"	"unprognostic (2.73e-1)"	"prognostic favorable (8.89e-4)"	"unprognostic (1.07e-1)"	"unprognostic (1.75e-2)"	"unprognostic (2.26e-1)"	"unprognostic (6.13e-2)"	"unprognostic (2.40e-2)"	"unprognostic (5.33e-2)"	"unprognostic (3.50e-3)"	"unprognostic (2.56e-2)"	"unprognostic (4.13e-3)"	"prognostic favorable (9.17e-5)"	"unprognostic (2.48e-1)"	"unprognostic (8.87e-2)"	"unprognostic (4.18e-2)"	"unprognostic (4.18e-2)"
ACHE	YT	ENSG00000087085	"Acetylcholinesterase (Cartwright blood group)"	P22303	7	100889994-100896974	"Blood group antigen proteins, Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Neurotransmitter degradation"	"Blood group antigen, Hydrolase, Serine esterase"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	8	"brain: 104.5;skeletal muscle: 157.4;tongue: 46.2"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 35.1;Erythroid cells: 33.0;Exocrine glandular cells: 63.2;Horizontal cells: 59.2;Paneth cells: 39.8;Proximal enterocytes: 39.3;Skeletal myocytes: 80.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Colon enteroendocrine cells, Heart muscle - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA027098			Approved	"Golgi apparatus,Vesicles"	"Intracellular and membrane"	Enzyme	NA	NA		990000		"Cluster 79: Non-specific - Transcription"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 5: Enterocytes - Absorption"	3	"Golgi apparatus"	Vesicles	"HPA027098: AB_2672111"	"unprognostic (2.23e-1)"	"unprognostic (9.44e-2)"	"unprognostic (2.71e-2)"	"unprognostic (5.80e-3)"	"prognostic unfavorable (5.27e-4)"	"unprognostic (2.49e-1)"	"unprognostic (2.54e-1)"	"unprognostic (1.36e-2)"	"unprognostic (2.48e-2)"	"unprognostic (8.92e-2)"	"unprognostic (2.65e-2)"	"unprognostic (1.78e-1)"	"prognostic unfavorable (3.88e-5)"	"unprognostic (2.95e-1)"	"unprognostic (2.59e-2)"	"unprognostic (9.28e-2)"	"unprognostic (8.38e-2)"
ACKR1	"CCBP1, CD234, DARC, Dfy, FY, GPD"	ENSG00000213088	"Atypical chemokine receptor 1 (Duffy blood group)"	Q16570	1	159203307-159206500	"Blood group antigen proteins, CD markers, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"Blood group antigen, G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adipose tissue: 310.2"	"Group enriched"	"Detected in many"	10	"Adipocytes: 571.8;Endothelial cells: 840.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Bile duct cancer: 5.8;Brain cancer: 1.7;Leukemia: 1.5;Neuroblastoma: 2.2;skin cancer: 2.2"	"Breast - Endothelial cells, Colon - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Testis - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA016421, HPA017672"	Enhanced						NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 35: Non-specific - DNA binding"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"				"HPA016421: AB_1849219, HPA017672: AB_1849221"	"unprognostic (8.74e-3)"	"prognostic favorable (2.52e-5)"	"unprognostic (9.73e-2)"	"unprognostic (1.91e-1)"	"unprognostic (2.34e-3)"	"unprognostic (3.84e-3)"	"prognostic favorable (1.48e-4)"	"unprognostic (7.80e-2)"	"unprognostic (2.22e-1)"	"unprognostic (3.46e-2)"	"unprognostic (1.65e-3)"	"unprognostic (1.81e-1)"	"unprognostic (3.82e-3)"	"unprognostic (5.17e-3)"	"unprognostic (2.40e-1)"	"prognostic unfavorable (9.76e-4)"	"unprognostic (2.30e-2)"
ACSBG1	"BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352"	ENSG00000103740	"Acyl-CoA synthetase bubblegum family member 1"	Q96GR2	15	78167468-78245688	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 39.3;skin 1: 13.9"	"Cell type enriched"	"Detected in some"	4	"Astrocytes: 149.9"	"Cancer enriched"	"Detected in some"	4	"glioma: 3.8"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	4	"plasmacytoid DC: 1.0"	"Lineage enriched"	"Detected in single"	4	"dendritic cells: 1.0"	"Cancer enhanced"	"Detected in some"		"Leukemia: 2.4"	"Lung - Respiratory ciliated cells, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041642, CAB045955, HPA058869"	Approved		Approved	Vesicles			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 47: Astrocytes - Unknown function"		Vesicles		"CAB045955: AB_11124196, HPA041642: AB_2677593, HPA058869: AB_2683840"	"unprognostic (1.28e-1)"	"unprognostic (1.63e-2)"	"unprognostic (1.29e-2)"	"unprognostic (2.28e-1)"	"unprognostic (2.29e-2)"	"unprognostic (4.18e-2)"	"unprognostic (1.32e-2)"	"unprognostic (1.58e-2)"	"unprognostic (1.86e-1)"	"unprognostic (5.64e-2)"	"unprognostic (2.02e-1)"	"unprognostic (4.13e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.40e-1)"	"unprognostic (2.96e-1)"	"unprognostic (4.19e-2)"	"unprognostic (1.42e-2)"
ACSL6	"ACS2, FACL6, KIAA0837, LACS2, LACS5"	ENSG00000164398	"Acyl-CoA synthetase long chain family member 6"	Q9UKU0	5	131949973-132012243	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 22.4;brain: 30.7;retina: 44.4"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 217.4;Basal prostatic cells: 74.0;Bipolar cells: 59.3;Cone photoreceptor cells: 161.4;Early spermatids: 63.0;Excitatory neurons: 68.3;Inhibitory neurons: 106.2;Rod photoreceptor cells: 140.3"	"Group enriched"	"Detected in some"	6	"colorectal cancer: 1.8;glioma: 1.9;liver cancer: 0.9"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"memory CD8 T-cell: 1.6"	"Lineage enriched"	"Detected in single"	5	"T-cells: 1.6"	"Low cancer specificity"	"Detected in some"			"Adipose visceral - T-cells, Breast - T-cells, Heart muscle - Cardiomyocytes, Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes, Testis - Early spermatids, Thyroid - T-cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA040470	Enhanced						NA	NA			"Cluster 11: T-cells - Unknown function"	"Cluster 17: Neuronal - Synaptic function"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 47: Astrocytes - Unknown function"				"HPA040470: AB_10794033"	"unprognostic (1.99e-2)"	"unprognostic (1.94e-1)"	"unprognostic (3.55e-3)"	"unprognostic (5.89e-2)"	"unprognostic (6.97e-2)"	"unprognostic (1.92e-2)"	"unprognostic (8.38e-3)"	"unprognostic (5.84e-2)"	"unprognostic (8.69e-2)"	"unprognostic (7.57e-2)"	"unprognostic (9.28e-4)"	"unprognostic (8.69e-2)"	"unprognostic (3.22e-2)"	"unprognostic (6.24e-3)"	"unprognostic (1.79e-1)"	"unprognostic (6.44e-3)"	"unprognostic (1.70e-1)"
ACSM1	"BUCS1, MACS1"	ENSG00000166743	"Acyl-CoA synthetase medium chain family member 1"	Q08AH1	16	20623235-20698890	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	21	"breast: 209.4"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 11.6;Late spermatids: 22.9;Peritubular cells: 7.6"	"Group enriched"	"Detected in many"	8	"liver cancer: 14.7;prostate cancer: 36.7"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in some"		"eosinophil: 1.3;memory B-cell: 1.7"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"prostate cancer: 3.0"	"Prostate - Prostate glandular cells"	"Not detected"	"Not detected"							HPA046291	Uncertain						NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 73: Breast - Lactation"		"Cluster 47: Leukemia - Hemostasis"	"Cluster 6: Ovarian stromal cells - Transcription"	3			"HPA046291: AB_10960704"	"unprognostic (1.08e-2)"	"unprognostic (3.07e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.86e-2)"	"unprognostic (5.49e-4)"	"unprognostic (1.66e-1)"	"unprognostic (3.50e-2)"	"unprognostic (9.46e-2)"	"unprognostic (3.10e-1)"	"unprognostic (8.44e-3)"	"unprognostic (2.10e-1)"	"unprognostic (2.64e-1)"	"unprognostic (8.24e-2)"	"unprognostic (3.79e-2)"	"unprognostic (3.01e-1)"	"unprognostic (9.58e-2)"	"unprognostic (2.33e-3)"
ACSM3	"SA, SAH"	ENSG00000005187	"Acyl-CoA synthetase medium chain family member 3"	Q53FZ2	16	20610243-20797581	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 82.0;liver: 172.5"	"Cell type enhanced"	"Detected in many"		"Ductal cells: 98.3;Granulosa cells: 162.5;Ovarian stromal cells: 176.5;Proximal tubular cells: 106.2;Sertoli cells: 209.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 23.5"	"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Leukemia: 29.9"	"Liver - Hepatocytes, Liver - Hepatocytes, Skin - Sebaceous gland cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA041013	Uncertain						NA	NA			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 6: Non-specific - Immune response"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 6: Ovarian stromal cells - Transcription"				"HPA041013: AB_10671693"	"unprognostic (1.62e-4)"	"unprognostic (1.30e-2)"	"unprognostic (2.12e-2)"	"unprognostic (9.50e-2)"	"unprognostic (1.48e-1)"	"unprognostic (2.32e-2)"	"unprognostic (1.42e-2)"	"unprognostic (2.20e-1)"	"unprognostic (8.14e-3)"	"prognostic favorable (1.97e-4)"	"unprognostic (3.56e-2)"	"unprognostic (1.95e-3)"	"prognostic favorable (9.88e-6)"	"unprognostic (1.27e-1)"	"unprognostic (6.96e-2)"	"unprognostic (1.06e-1)"	"unprognostic (1.84e-2)"
ADAMTS14		ENSG00000138316	"ADAM metallopeptidase with thrombospondin type 1 motif 14"	Q8WXS8	10	70672506-70762441	"Cancer-related genes, Plasma proteins, Predicted secreted proteins"	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"gallbladder: 6.5;placenta: 7.3"	"Group enriched"	"Detected in some"	10	"Oligodendrocytes: 41.7;Paneth cells: 17.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"								"Secreted to extracellular matrix"	Enzyme	NA	NA				"Cluster 34: Non-specific - Mixed function"	"Cluster 11: White matter - Signal transduction"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 51: Oligodendrocytes - Unknown function"					"unprognostic (1.30e-1)"	"unprognostic (1.04e-2)"	"unprognostic (5.98e-3)"	"unprognostic (3.54e-3)"	"unprognostic (2.17e-3)"	"unprognostic (2.40e-1)"	"unprognostic (5.33e-3)"	"unprognostic (2.35e-1)"	"unprognostic (1.06e-1)"	"unprognostic (3.28e-2)"	"unprognostic (3.98e-2)"	"unprognostic (6.81e-2)"	"unprognostic (3.84e-13)"	"unprognostic (3.90e-2)"	"unprognostic (1.14e-1)"	"unprognostic (1.81e-1)"	"unprognostic (2.16e-2)"
ADD2	ADDB	ENSG00000075340	"Adducin 2"	P35612	2	70607618-70768225	"Predicted intracellular proteins"		"Actin-binding, Calmodulin-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 65.6;brain: 38.0"	"Cell type enhanced"	"Detected in some"		"Erythroid cells: 64.2;Excitatory neurons: 67.8;Horizontal cells: 66.7;Inhibitory neurons: 49.6;Late spermatids: 66.4"	"Group enriched"	"Detected in many"	5	"glioma: 5.2;testis cancer: 11.1"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"memory B-cell: 2.3;non-classical monocyte: 2.3"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 43.0"	"Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB009796, HPA034509, HPA034510"	Supported		Approved	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA		18000	"Cluster 14: Non-specific - Unknown function"	"Cluster 28: Neuronal - Transcription"	"Cluster 24: Neurons - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 1: Erythroid cells - Oxygen transport"		"Nucleoplasm, Cytosol"	"Plasma membrane"	"CAB009796: AB_2223572, HPA034509: AB_2674201, HPA034510: AB_2674202"	"unprognostic (3.58e-2)"	"unprognostic (2.68e-4)"	"unprognostic (3.83e-2)"	"unprognostic (3.01e-4)"	"unprognostic (1.94e-1)"	"unprognostic (2.25e-3)"	"unprognostic (1.35e-1)"	"unprognostic (3.26e-1)"	"unprognostic (3.49e-1)"	"unprognostic (1.48e-1)"	"unprognostic (1.20e-2)"	"unprognostic (8.93e-2)"	"unprognostic (4.47e-7)"	"unprognostic (2.81e-4)"	"unprognostic (1.77e-1)"	"unprognostic (1.71e-3)"	"unprognostic (1.31e-3)"
AGPAT3	"LPAAT-gamma, LPAAT3, LPLAT3"	ENSG00000160216	"1-acylglycerol-3-phosphate O-acyltransferase 3"	Q9NRZ7	21	43865223-43987592	"Enzymes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cone photoreceptor cells: 258.3;Early spermatids: 146.5;Late spermatids: 246.2;Rod photoreceptor cells: 176.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"non-classical monocyte: 9.6"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 3: Non-specific - Unknown function"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 66: Photoreceptor cells - Visual perception"	16				"unprognostic (2.36e-2)"	"prognostic unfavorable (8.31e-4)"	"unprognostic (5.50e-2)"	"unprognostic (4.56e-3)"	"unprognostic (4.70e-2)"	"unprognostic (8.55e-2)"	"unprognostic (4.88e-2)"	"unprognostic (9.72e-3)"	"unprognostic (2.14e-1)"	"unprognostic (3.54e-2)"	"unprognostic (1.65e-1)"	"unprognostic (2.84e-1)"	"prognostic favorable (2.29e-4)"	"unprognostic (1.50e-2)"	"unprognostic (8.91e-2)"	"unprognostic (1.80e-1)"	"unprognostic (4.60e-2)"
