Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
A2ML1	"CPAMD9, FLJ25179, p170"	ENSG00000166535	"Alpha-2-macroglobulin like 1"	A8K2U0	12	8822621-8887001	"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 540.7;vagina: 198.6"	"Group enriched"	"Detected in some"	5	"Squamous epithelial cells: 157.1;Suprabasal keratinocytes: 477.0"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 39.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"head and neck cancer: 13.2"	"Testis - Sertoli cells"					"Low region specificity"	"Detected in many"			"HPA038847, HPA038848"	Enhanced				"Secreted in other tissues"	"Enzyme inhibitor"	NA	NA		10000000		"Cluster 29: Squamous epithelium - Innate immune response"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 59: Suprabasal keratinocytes - Cornification"				"HPA038847: AB_2676236, HPA038848: AB_10672654"	"unprognostic (1.13e-2)"	"unprognostic (7.64e-2)"	"unprognostic (1.04e-2)"	"unprognostic (9.46e-3)"	"unprognostic (2.14e-1)"	"unprognostic (5.54e-3)"	"unprognostic (4.59e-2)"	"unprognostic (7.58e-3)"	"unprognostic (2.63e-1)"	"unprognostic (1.57e-1)"	"unprognostic (1.15e-3)"	"unprognostic (2.03e-1)"	"unprognostic (1.06e-9)"	"unprognostic (2.28e-1)"	"unprognostic (3.07e-1)"	"unprognostic (5.88e-2)"	"unprognostic (2.42e-2)"
A4GALT	"A14GALT, Gb3S, P(k), P1"	ENSG00000128274	"Alpha 1,4-galactosyltransferase (P blood group)"	Q9NPC4	22	42692121-42721298	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism"	"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 79.7;Basal respiratory cells: 75.6;Ionocytes: 72.9;Proximal tubular cells: 98.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA001141			Uncertain	Mitochondria			NA	NA		22000		"Cluster 7: Adipose tissue - Mixed function"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"		Mitochondria		"HPA001141: AB_1078139"	"unprognostic (2.59e-2)"	"prognostic favorable (2.48e-4)"	"unprognostic (2.24e-2)"	"unprognostic (4.54e-3)"	"unprognostic (7.41e-2)"	"unprognostic (1.53e-1)"	"unprognostic (8.20e-2)"	"unprognostic (2.10e-1)"	"unprognostic (2.30e-1)"	"unprognostic (1.28e-1)"	"unprognostic (4.82e-3)"	"unprognostic (4.16e-2)"	"unprognostic (1.80e-2)"	"unprognostic (1.96e-1)"	"unprognostic (8.72e-2)"	"unprognostic (3.46e-2)"	"unprognostic (2.74e-1)"
AADACL3		ENSG00000188984	"Arylacetamide deacetylase like 3"	Q5VUY0	1	12716110-12728760	"Predicted membrane proteins"		Hydrolase		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"placenta: 1.6;skin 1: 1.2"	"Cell type enriched"	"Detected in single"	8	"Extravillous trophoblasts: 2.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Bladder cancer: 2.1"	"Breast - Adipocytes (Breast), Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 58: Placenta - Pregnancy"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 4: Extravillous trophoblasts - Unknown function"														"unprognostic (3.01e-1)"					"unprognostic (2.54e-1)"		
ABCC5	"EST277145, MOAT-C, MRP5, SMRP"	ENSG00000114770	"ATP binding cassette subfamily C member 5"	O15440	3	183919934-184017939	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cone photoreceptor cells: 125.7;Excitatory neurons: 97.9;Inhibitory neurons: 117.9;Rod photoreceptor cells: 121.9"	"Low cancer specificity"	"Detected in all"			"Region enriched"	"Detected in all"	4	"choroid plexus: 323.0"	"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA044067, HPA052295"	Uncertain		Approved	"Nucleoplasm,Plasma membrane,Cell Junctions"			NA	NA			"Cluster 41: Basophils - Unknown function"	"Cluster 3: Non-specific - Unknown function"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 66: Photoreceptor cells - Visual perception"		"Plasma membrane, Cell Junctions"	Nucleoplasm	"HPA044067: AB_2678797, HPA052295: AB_2681789"	"unprognostic (9.39e-2)"	"unprognostic (6.23e-3)"	"unprognostic (3.83e-2)"	"unprognostic (1.10e-3)"	"unprognostic (2.28e-2)"	"unprognostic (2.07e-1)"	"prognostic unfavorable (6.78e-8)"	"unprognostic (4.46e-2)"	"unprognostic (6.07e-3)"	"unprognostic (1.02e-1)"	"unprognostic (5.91e-3)"	"prognostic unfavorable (3.40e-4)"	"unprognostic (1.10e-1)"	"unprognostic (9.05e-3)"	"unprognostic (1.64e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.24e-2)"
ABCG2	"ABCP, BCRP, CD338, EST157481, MXR"	ENSG00000118777	"ATP binding cassette subfamily G member 2 (Junior blood group)"	Q9UNQ0	4	88090150-88231628	"Cancer-related genes, CD markers, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 85.9"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 198.2;Distal enterocytes: 98.5;Extravillous trophoblasts: 89.8;Hofbauer cells: 125.1;Microglial cells: 177.1;Proximal enterocytes: 212.5"	"Cancer enhanced"	"Detected in many"		"glioma: 9.3"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"MAIT T-cell: 2.2"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB037299, HPA054719"	Enhanced		Supported	"Nucleoplasm,Plasma membrane"			NA	NA			"Cluster 15: NK-cells - Unknown function"	"Cluster 25: Small intestine - Absorption"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 3: Basal prostatic cells - Lipid metabolism"	1	"Plasma membrane"	Nucleoplasm	"CAB037299: AB_476804, HPA054719: "	"unprognostic (5.04e-1)"	"unprognostic (3.05e-2)"	"unprognostic (2.01e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.01e-3)"	"unprognostic (9.19e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.30e-1)"	"unprognostic (9.14e-2)"	"unprognostic (1.37e-1)"	"unprognostic (3.01e-3)"	"unprognostic (4.52e-2)"	"unprognostic (1.67e-3)"	"unprognostic (8.82e-3)"	"unprognostic (7.04e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.92e-1)"
ABHD2	LABH2	ENSG00000140526	"Abhydrolase domain containing 2, acylglycerol lipase"	P08910	15	89087459-89202355	"Enzymes, Predicted membrane proteins"	"Lipid degradation, Lipid metabolism"	"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 133.5"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 289.8;Hepatocytes: 331.2;Late spermatids: 500.4;Oligodendrocyte precursor cells: 395.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"eosinophil: 70.0;neutrophil: 52.5"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA005999	Approved		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 7: Non-specific - Innate immune response"	"Cluster 68: Non-specific - Protein processing"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 76: Oligodendrocyte precursor - Unknown function"		Cytosol	Nucleoplasm	"HPA005999: AB_1078080"	"unprognostic (6.60e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.08e-1)"	"unprognostic (3.00e-2)"	"unprognostic (2.16e-1)"	"unprognostic (1.56e-1)"	"unprognostic (2.26e-1)"	"unprognostic (1.67e-1)"	"unprognostic (3.34e-1)"	"unprognostic (3.67e-3)"	"unprognostic (3.41e-3)"	"unprognostic (1.80e-1)"	"prognostic favorable (2.18e-7)"	"unprognostic (4.17e-1)"	"unprognostic (3.07e-2)"	"unprognostic (1.34e-2)"	"unprognostic (1.60e-1)"
ABO	"A3GALNT, A3GALT1"	ENSG00000175164	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		9	133233278-133276024	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in many"		"intestine: 12.9"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 89.9;Enteroendocrine cells: 72.7;Intestinal goblet cells: 83.7;Proximal enterocytes: 189.2;Undifferentiated cells: 66.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"eosinophil: 2.1;naive B-cell: 2.1"	"Low lineage specificity"	"Detected in many"			"Cancer enriched"	"Detected in many"	7	"Gallbladder cancer: 91.2"		"Not detected"	"Not detected"												"Secreted to blood"		NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 45: Intestine - Digestion"	"Cluster 31: Non-specific - Transcription"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 22: Proximal enterocytes - Digestion"					"unprognostic (2.78e-3)"	"unprognostic (2.56e-3)"	"unprognostic (1.38e-1)"	"unprognostic (1.87e-3)"	"unprognostic (1.39e-1)"	"unprognostic (3.10e-2)"	"unprognostic (1.84e-3)"	"unprognostic (1.30e-1)"	"unprognostic (1.69e-2)"	"unprognostic (8.51e-2)"	"unprognostic (9.30e-3)"	"unprognostic (7.23e-2)"	"unprognostic (2.67e-2)"	"unprognostic (4.57e-3)"	"unprognostic (1.50e-1)"	"unprognostic (2.34e-1)"	"unprognostic (9.04e-2)"
ACER2	"ALKCDase2, ASAH3L, FLJ41587"	ENSG00000177076	"Alkaline ceramidase 2"	Q5QJU3	9	19409009-19452505	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism, Sphingolipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"stomach 1: 60.2;urinary bladder: 37.8"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 19.1;Gastric mucus-secreting cells: 72.5;Microglial cells: 25.0;Syncytiotrophoblasts: 12.7"	"Cancer enhanced"	"Detected in many"		"urothelial cancer: 15.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Breast - Endothelial cells, Kidney - Endothelial cells, Skeletal muscle - Endothelial cells, Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 48: Stomach - Proteolysis"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 46: Gastric mucus-secreting cells - Digestion"					"unprognostic (1.94e-1)"	"unprognostic (2.29e-1)"	"unprognostic (2.06e-1)"	"unprognostic (2.30e-1)"	"unprognostic (1.57e-1)"	"unprognostic (1.69e-1)"	"unprognostic (1.19e-1)"	"unprognostic (3.95e-2)"	"unprognostic (2.03e-1)"	"unprognostic (3.90e-1)"	"unprognostic (1.34e-1)"	"unprognostic (1.73e-1)"	"unprognostic (2.13e-2)"	"unprognostic (1.52e-1)"	"unprognostic (1.09e-1)"	"unprognostic (7.42e-2)"	"unprognostic (8.46e-3)"
ACKR2	"CCBP2, CCR10, CCR9, CMKBR9, D6"	ENSG00000144648	"Atypical chemokine receptor 2"	O00590	3	42804752-42887974	"G-protein coupled receptors, Predicted membrane proteins, Transporters"	"Inflammatory response"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 9.1;placenta: 15.4"	"Group enriched"	"Detected in many"	7	"Cytotrophoblasts: 33.3;Extravillous trophoblasts: 117.3;Lymphatic endothelial cells: 37.3;Syncytiotrophoblasts: 78.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	6	"eosinophil: 3.8;NK-cell: 1.0"	"Group enriched"	"Detected in many"	7	"granulocytes: 3.8;NK-cells: 1.0"	"Low cancer specificity"	"Detected in some"				"Group enriched"	"Detected in many"	5	"amygdala: 2.2;basal ganglia: 7.9;cerebral cortex: 4.9;hippocampal formation: 2.4"	"Low region specificity"	"Detected in all"			"HPA013819, HPA073493"	Enhanced		Supported	Nucleoplasm,Vesicles,Cytosol			NA	NA			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 11: Liver - Plasma proteins"	"Cluster 6: Non-specific - Immune response"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 4: Extravillous trophoblasts - Unknown function"	7	"Vesicles, Cytosol"	Nucleoplasm	"HPA013819: AB_1846126, HPA073493: AB_2686610"	"unprognostic (1.12e-1)"	"unprognostic (2.51e-1)"	"unprognostic (1.90e-2)"	"unprognostic (8.15e-2)"	"unprognostic (7.51e-2)"	"unprognostic (1.54e-2)"	"unprognostic (1.21e-3)"	"unprognostic (1.74e-1)"	"unprognostic (2.99e-1)"	"unprognostic (6.20e-2)"	"unprognostic (8.47e-2)"	"unprognostic (8.45e-2)"	"unprognostic (1.13e-4)"	"unprognostic (5.13e-3)"	"unprognostic (3.22e-1)"	"unprognostic (5.58e-3)"	"unprognostic (6.09e-2)"
ACOT11	"BFIT, BFIT1, KIAA0707, STARD14, THEA, THEM1"	ENSG00000162390	"Acyl-CoA thioesterase 11"	Q8WXI4	1	54542257-54639192	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Hydrolase, Serine esterase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 33.2"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 127.9;Distal enterocytes: 67.0;Late spermatids: 151.8;Proximal enterocytes: 95.3;Skeletal myocytes: 87.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"eosinophil: 4.5"	"Lineage enriched"	"Detected in single"	8	"granulocytes: 4.5"	"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA041047	Enhanced		Supported	Cytosol			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 35: Non-specific - Mitochondria"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 63: Late spermatids - Spermatogenesis"		Cytosol		"HPA041047: AB_2677273"	"unprognostic (9.73e-2)"	"unprognostic (1.28e-1)"	"prognostic favorable (9.37e-4)"	"unprognostic (3.61e-4)"	"unprognostic (5.42e-2)"	"unprognostic (1.94e-1)"	"unprognostic (2.20e-3)"	"unprognostic (5.12e-4)"	"unprognostic (1.05e-1)"	"unprognostic (2.84e-2)"	"unprognostic (9.60e-2)"	"unprognostic (1.02e-1)"	"prognostic favorable (3.07e-8)"	"unprognostic (5.89e-2)"	"unprognostic (1.08e-1)"	"unprognostic (3.83e-2)"	"unprognostic (8.49e-3)"
