Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
AACS	"ACSF1, FLJ12389, SUR-5"	ENSG00000081760	"Acetoacetyl-CoA synthetase"	Q86V21	12	125065434-125143333	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 59.5;Excitatory neurons: 57.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Stomach - Gastric mucous cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA058815	Approved		Approved	Vesicles			NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 14: Neurons - Synaptic function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 17: Breast glandular cells - Lactation"	1	Vesicles		"HPA058815: AB_2683826"	"unprognostic (1.28e-1)"	"unprognostic (9.78e-2)"	"unprognostic (1.86e-1)"	"unprognostic (1.06e-1)"	"unprognostic (1.98e-3)"	"unprognostic (9.46e-3)"	"unprognostic (6.60e-6)"	"unprognostic (3.03e-2)"	"unprognostic (3.32e-2)"	"unprognostic (2.45e-2)"	"unprognostic (2.38e-2)"	"unprognostic (3.04e-1)"	"unprognostic (2.69e-2)"	"unprognostic (1.69e-1)"	"unprognostic (3.73e-2)"	"unprognostic (7.71e-2)"	"unprognostic (6.80e-2)"
ABLIM2	KIAA1808	ENSG00000163995	"Actin binding LIM protein family member 2"	Q6H8Q1	4	7965310-8158832	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"skeletal muscle: 197.6;tongue: 70.6"	"Group enriched"	"Detected in many"	4	"Excitatory neurons: 90.2;Inhibitory neurons: 64.8;Skeletal myocytes: 46.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Breast - Endothelial cells, Kidney - Podocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA035808	Uncertain		Uncertain	Nucleoplasm,Mitochondria			NA	NA				"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 53: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"		Mitochondria	Nucleoplasm	"HPA035808: AB_10601962"	"unprognostic (7.57e-2)"	"unprognostic (3.24e-3)"	"unprognostic (7.78e-2)"	"unprognostic (3.33e-1)"	"unprognostic (2.86e-2)"	"unprognostic (6.09e-2)"	"unprognostic (1.49e-2)"	"unprognostic (5.54e-2)"	"unprognostic (1.46e-1)"	"unprognostic (5.01e-3)"	"unprognostic (2.04e-2)"	"unprognostic (3.61e-1)"	"unprognostic (1.48e-1)"	"unprognostic (4.32e-2)"	"unprognostic (5.15e-2)"	"unprognostic (1.45e-1)"	"unprognostic (2.45e-2)"
ACAP3	"CENTB5, KIAA1716"	ENSG00000131584	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	Q96P50	1	1292390-1309609	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 144.9"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 137.3;Horizontal cells: 102.6;Rod photoreceptor cells: 212.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA049317, HPA058381"	Approved		Approved	"Nucleoplasm,Golgi apparatus"			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 34: Non-specific - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 66: Photoreceptor cells - Visual perception"		Nucleoplasm	"Golgi apparatus"	"HPA049317: AB_2680710, HPA058381: AB_2683699"	"unprognostic (5.92e-2)"	"unprognostic (1.55e-1)"	"unprognostic (4.60e-3)"	"unprognostic (5.26e-2)"	"unprognostic (7.94e-2)"	"unprognostic (3.77e-3)"	"unprognostic (2.98e-3)"	"unprognostic (1.01e-3)"	"unprognostic (1.29e-2)"	"unprognostic (8.05e-2)"	"unprognostic (1.56e-3)"	"unprognostic (5.35e-3)"	"unprognostic (3.70e-2)"	"unprognostic (6.76e-3)"	"unprognostic (3.45e-1)"	"unprognostic (1.51e-1)"	"unprognostic (6.35e-2)"
ACTL9	MGC33407	ENSG00000181786	"Actin like 9"	Q8TC94	19	8697400-8698795	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	Fertilization		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	1087	"testis: 108.6"	"Group enriched"	"Detected in some"	223	"Early spermatids: 683.2;Late spermatids: 2390.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA019231, HPA026693"	Uncertain						NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 63: Late spermatids - Spermatogenesis"				"HPA019231: AB_1853883, HPA026693: AB_1853884"																	
ACVR1C	"ACVRLK7, ALK7"	ENSG00000123612	"Activin A receptor type 1C"	Q8NER5	2	157526767-157628864	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	Apoptosis	"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"adipose tissue: 30.2"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 25.3;Leydig cells: 34.1;Oligodendrocytes: 51.9"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gallbladder cancer: 6.3"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in many"		"basal ganglia: 38.9"	"HPA007982, HPA011933"	Uncertain				"Intracellular and membrane"	Receptor	NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 33: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 16: Intestinal goblet cells - Mucin production"				"HPA007982: AB_1078134, HPA011933: AB_1844754"	"unprognostic (1.03e-1)"	"unprognostic (4.55e-2)"	"unprognostic (9.65e-2)"	"unprognostic (1.22e-1)"	"unprognostic (2.92e-1)"	"unprognostic (7.64e-2)"	"unprognostic (1.00e-1)"	"unprognostic (3.48e-1)"	"unprognostic (1.01e-1)"	"unprognostic (1.35e-1)"	"unprognostic (7.12e-3)"	"unprognostic (3.62e-1)"	"unprognostic (9.31e-6)"	"unprognostic (7.28e-2)"	"unprognostic (1.95e-1)"	"unprognostic (9.74e-2)"	"unprognostic (1.30e-1)"
ADGRD2	"GPR144, PGR24"	ENSG00000180264	"Adhesion G protein-coupled receptor D2"		9	124450451-124478589	"Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in single"		"seminal vesicle: 2.1"	"Group enriched"	"Detected in some"	11	"Early spermatids: 29.3;Late spermatids: 85.3"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in some"		"medulla oblongata: 5.5;spinal cord: 6.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 1.0;Gallbladder cancer: 1.1"	"Testis - Late spermatids"					"Region enhanced"	"Detected in single"		"midbrain: 1.6"								NA	NA					"Cluster 43: Hindbrain - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 63: Late spermatids - Spermatogenesis"					"unprognostic (7.39e-4)"	"unprognostic (1.34e-2)"	"unprognostic (4.21e-2)"	"unprognostic (8.01e-3)"	"unprognostic (6.29e-2)"	"unprognostic (3.23e-6)"		"unprognostic (1.15e-1)"	"unprognostic (3.15e-1)"	"unprognostic (5.82e-2)"	"unprognostic (4.22e-2)"	"unprognostic (3.63e-2)"		"unprognostic (2.25e-1)"	"unprognostic (3.00e-1)"	"unprognostic (1.65e-1)"	"unprognostic (1.41e-1)"
ADH1A	ADH1	ENSG00000187758	"Alcohol dehydrogenase 1A (class I), alpha polypeptide"	P07327	4	99276369-99291003	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Oxidoreductase	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	305	"liver: 2653.7"	"Cell type enriched"	"Detected in some"	11	"Hepatocytes: 208.0"	"Cancer enriched"	"Detected in some"	251	"liver cancer: 165.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Liver - Hepatocytes"									"CAB009562, HPA047814, HPA060902"	Enhanced		Approved	"Plasma membrane,Cytosol"			NA	NA		38000000		"Cluster 31: Liver - Plasma proteins"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 43: Hepatocytes - Metabolism"		"Plasma membrane, Cytosol"		"CAB009562: AB_2257984, HPA047814: AB_2680163, HPA060902: AB_2684384"	"unprognostic (5.89e-2)"	"unprognostic (6.16e-2)"		"unprognostic (1.20e-1)"	"unprognostic (2.07e-1)"	"unprognostic (4.40e-1)"	"prognostic favorable (2.38e-4)"	"unprognostic (2.78e-3)"		"unprognostic (4.25e-1)"	"unprognostic (4.79e-3)"	"unprognostic (6.21e-2)"	"unprognostic (9.36e-2)"	"unprognostic (3.25e-2)"	"unprognostic (1.40e-1)"		"unprognostic (2.86e-2)"
ADI1	"APL1, ARD, FLJ10913, HMFT1638, MTCBP-1, mtnD, SIPL"	ENSG00000182551	"Acireductone dioxygenase 1"	Q9BV57	2	3497366-3519531	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Amino-acid biosynthesis, Methionine biosynthesis"	"Dioxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 572.8"	"Cell type enhanced"	"Detected in all"		"Distal tubular cells: 728.4;Hepatocytes: 1471.0;Proximal tubular cells: 1333.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035403, HPA035404"	Approved		Supported	"Nucleoplasm,Golgi apparatus"			NA	NA		130000	"Cluster 29: Non-specific - Unknown function"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	2	Nucleoplasm	"Golgi apparatus"	"HPA035403: AB_10603576, HPA035404: AB_2674611"	"unprognostic (2.19e-2)"	"unprognostic (1.68e-2)"	"unprognostic (2.60e-2)"	"unprognostic (1.75e-1)"	"unprognostic (3.65e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.16e-3)"	"unprognostic (4.23e-3)"	"unprognostic (2.36e-3)"	"unprognostic (4.00e-3)"	"unprognostic (2.97e-2)"	"unprognostic (1.50e-1)"	"unprognostic (1.90e-2)"	"unprognostic (1.56e-1)"	"unprognostic (9.94e-2)"	"unprognostic (6.76e-2)"	"unprognostic (8.74e-2)"
ADPRHL1	ARH2	ENSG00000153531	"ADP-ribosylhydrolase like 1"	Q8NDY3	13	113399611-113453488	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	31	"heart muscle: 282.5;skeletal muscle: 277.7;tongue: 220.1"	"Group enriched"	"Detected in many"	20	"Cardiomyocytes: 260.1;Skeletal myocytes: 200.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes"	"Region enhanced"	"Detected in single"		"cerebellum: 2.3"	"Low region specificity"	"Detected in some"			"HPA043951, HPA066478, HPA072123"	Enhanced		Approved	"Nucleoli,Plasma membrane"			NA	NA				"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 68: Cardiomyocytes - Muscle contraction"		"Plasma membrane"	Nucleoli	"HPA043951: , HPA066478: AB_2685673, HPA072123: "	"unprognostic (3.03e-1)"	"unprognostic (1.38e-2)"	"unprognostic (2.31e-1)"	"unprognostic (8.88e-3)"	"unprognostic (1.50e-1)"	"prognostic unfavorable (4.88e-4)"	"prognostic unfavorable (2.55e-5)"	"unprognostic (1.57e-1)"	"unprognostic (1.63e-1)"	"unprognostic (2.35e-1)"	"unprognostic (2.56e-1)"	"unprognostic (1.58e-1)"	"unprognostic (1.62e-1)"	"unprognostic (2.14e-2)"	"unprognostic (1.53e-2)"	"unprognostic (4.99e-3)"	"unprognostic (1.02e-1)"
AGBL4	"CCP6, FLJ14442"	ENSG00000186094	"AGBL carboxypeptidase 4"	Q5VU57	1	48532854-50023954	"Enzymes, Predicted intracellular proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 4.7;retina: 4.6"	"Group enriched"	"Detected in some"	5	"Excitatory neurons: 1191.7;Inhibitory neurons: 605.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA037994	Approved						NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 53: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"				"HPA037994: AB_10673036"	"unprognostic (3.06e-2)"	"unprognostic (2.76e-1)"	"unprognostic (2.58e-2)"	"unprognostic (3.31e-4)"	"unprognostic (3.42e-4)"	"unprognostic (1.72e-1)"	"unprognostic (3.86e-3)"	"unprognostic (2.31e-2)"	"unprognostic (1.50e-1)"	"unprognostic (1.14e-1)"	"unprognostic (5.85e-3)"	"unprognostic (3.91e-2)"	"unprognostic (1.51e-4)"	"unprognostic (5.95e-2)"	"unprognostic (1.11e-1)"	"unprognostic (1.18e-2)"	"unprognostic (2.85e-1)"
