Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
AADACL4		ENSG00000204518	"Arylacetamide deacetylase like 4"	Q5VUY2	1	12644085-12667076	"Predicted membrane proteins"		Hydrolase		"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in single"		"choroid plexus: 1.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	15	"choroid plexus: 1.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Skin - Sebaceous gland cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 31: Spermatocytes - Spermatogenesis"								"unprognostic (3.20e-1)"								"unprognostic (1.89e-2)"					
ABHD14A-ACY1		ENSG00000114786	"ABHD14A-ACY1 readthrough"		3	51974706-51989183	"Metabolic proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in many"		"Hepatocytes: 14.5;Proximal enterocytes: 43.5;Proximal tubular cells: 17.2;Rod photoreceptor cells: 13.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Not detected"	"Not detected"												"HPA036174, HPA036175, HPA038153, HPA071834"	Approved		Supported	Vesicles			NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"		"Cluster 35: Non-specific - DNA binding"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 38: Proximal tubular cells - Transmembrane transport"		Vesicles		"HPA036174: AB_2674988, HPA036175: AB_2674989, HPA038153: AB_2675868, HPA071834: "	"unprognostic (8.40e-2)"	"unprognostic (1.37e-1)"	"unprognostic (4.90e-2)"	"unprognostic (7.22e-3)"	"unprognostic (3.83e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.82e-1)"	"unprognostic (1.35e-1)"	"unprognostic (6.23e-2)"	"unprognostic (2.71e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.29e-2)"	"unprognostic (9.02e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.40e-1)"	"unprognostic (1.02e-1)"	"unprognostic (7.11e-4)"
ABHD6		ENSG00000163686	"Abhydrolase domain containing 6, acylglycerol lipase"	Q9BV23	3	58237532-58295693	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 62.9"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 53.2;Oligodendrocytes: 82.5;Proximal enterocytes: 53.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in all"		"Bone cancer: 53.5"	"Skin - Keratinocyte (other), Stomach - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA017283, HPA073225"	Uncertain		Approved	Nucleoplasm,Vesicles			NA	NA			"Cluster 29: Non-specific - Unknown function"	"Cluster 25: Small intestine - Absorption"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 22: Proximal enterocytes - Digestion"	4	Vesicles	Nucleoplasm	"HPA017283: AB_1844452, HPA073225: AB_2686583"	"unprognostic (4.20e-2)"	"unprognostic (7.92e-2)"	"prognostic favorable (1.13e-4)"	"unprognostic (2.35e-2)"	"unprognostic (1.16e-2)"	"unprognostic (3.00e-1)"	"unprognostic (5.45e-2)"	"unprognostic (1.15e-2)"	"unprognostic (9.54e-2)"	"unprognostic (1.11e-3)"	"unprognostic (1.34e-2)"	"unprognostic (1.94e-1)"	"prognostic favorable (1.11e-11)"	"unprognostic (1.94e-1)"	"unprognostic (2.41e-1)"	"unprognostic (2.72e-1)"	"unprognostic (6.31e-2)"
ADGRA1	"GPR123, KIAA1828"	ENSG00000197177	"Adhesion G protein-coupled receptor A1"	Q86SQ6	10	133087924-133131675	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"brain: 26.9"	"Group enriched"	"Detected in some"	8	"Excitatory neurons: 24.4;Horizontal cells: 23.9;Inhibitory neurons: 23.6;Oligodendrocyte precursor cells: 27.4"	"Cancer enriched"	"Detected in single"	13	"glioma: 3.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Bone cancer: 6.5"	"Colon - Colon enteroendocrine cells, Lung - Respiratory ciliated cells, Pancreas - Alpha cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042773	Approved						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 69: Neurons - Neuronal signaling"				"HPA042773: AB_10794764"		"unprognostic (8.31e-2)"			"unprognostic (1.88e-1)"	"unprognostic (1.04e-1)"		"unprognostic (2.29e-1)"		"unprognostic (1.54e-1)"	"unprognostic (1.09e-2)"	"unprognostic (7.51e-3)"	"unprognostic (2.48e-2)"	"unprognostic (3.33e-1)"	"unprognostic (1.66e-1)"		
ADGRG2	"EDDM6, GPR64, HE6, TM7LN2"	ENSG00000173698	"Adhesion G protein-coupled receptor G2"	Q8IZP9	X	18989307-19122637	"Disease related genes, G-protein coupled receptors, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	8	"epididymis: 1198.7"	"Cell type enhanced"	"Detected in many"		"Gastric mucus-secreting cells: 10.6;Mucus glandular cells: 11.4;Oligodendrocyte precursor cells: 9.4;Prostatic glandular cells: 14.5;Secretory cells: 21.7;Serous glandular cells: 29.0"	"Cancer enhanced"	"Detected in many"		"ovarian cancer: 4.9"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bone cancer: 16.6"	"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Colon enteroendocrine cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"HPA001478, HPA050029"	Enhanced		Approved	"Plasma membrane,Cytosol"			NA	NA		22000000		"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 29: Forebrain - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 75: Serous glandular cells - Salivary secretion"		"Plasma membrane, Cytosol"		"HPA001478: AB_1078923, HPA050029: AB_2680996"	"unprognostic (3.33e-2)"	"unprognostic (3.20e-1)"	"unprognostic (2.40e-1)"	"unprognostic (2.55e-2)"	"unprognostic (1.58e-1)"	"unprognostic (4.43e-3)"	"unprognostic (2.63e-4)"	"unprognostic (2.66e-1)"	"unprognostic (1.27e-3)"	"unprognostic (1.12e-1)"	"unprognostic (1.78e-2)"	"unprognostic (1.07e-1)"	"unprognostic (3.54e-7)"	"unprognostic (6.37e-2)"	"unprognostic (3.19e-1)"	"unprognostic (2.83e-1)"	"unprognostic (1.35e-1)"
ADRA1A	"ADRA1C, ADRA1L1"	ENSG00000120907	"Adrenoceptor alpha 1A"	P35348	8	26748150-26867278	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 21.0;liver: 58.3"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 100.0;Early spermatids: 34.5;Inhibitory neurons: 117.6;Late spermatids: 38.2;Oligodendrocyte precursor cells: 107.1"	"Cancer enhanced"	"Detected in some"		"liver cancer: 0.9;prostate cancer: 0.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	7	"Bone cancer: 4.1"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast), Prostate - Smooth muscle cells, Skin - Smooth muscle cells, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA029678, HPA029679, HPA076693"	Approved	Supported	Approved	Nucleoplasm,Vesicles,Cytosol			NA	NA				"Cluster 83: Liver - Metabolism"	"Cluster 29: Forebrain - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 69: Neurons - Neuronal signaling"	3	Cytosol	"Nucleoplasm, Vesicles"	"HPA029678: AB_10602108, HPA029679: AB_2673143, HPA076693: "	"unprognostic (1.27e-1)"		"unprognostic (1.68e-2)"		"unprognostic (1.99e-1)"	"unprognostic (3.57e-1)"	"unprognostic (5.04e-4)"	"unprognostic (1.97e-1)"	"unprognostic (9.55e-2)"	"unprognostic (3.08e-1)"	"unprognostic (1.58e-2)"	"unprognostic (7.47e-2)"	"unprognostic (1.71e-2)"	"unprognostic (6.06e-3)"	"unprognostic (7.41e-2)"	"unprognostic (1.52e-2)"	"unprognostic (1.30e-1)"
ADRA1D	"ADRA1, ADRA1A, ADRA1R"	ENSG00000171873	"Adrenoceptor alpha 1D"	P25100	20	4220630-4249287	"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 6.8;cervix: 7.0"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 2.0;Inhibitory neurons: 2.3;Sertoli cells: 8.2;Smooth muscle cells: 6.8"	"Cancer enhanced"	"Detected in some"		"glioma: 1.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"Bone cancer: 27.8"	"Adipose visceral - Smooth muscle cells, Prostate - Smooth muscle cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA038789	Uncertain						NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 48: Smooth muscle cells - Signal transduction"	7			"HPA038789: AB_10673475"	"unprognostic (5.37e-2)"	"unprognostic (4.65e-1)"	"unprognostic (8.73e-2)"	"unprognostic (7.75e-11)"	"unprognostic (7.83e-3)"	"unprognostic (1.54e-2)"	"unprognostic (7.62e-2)"	"unprognostic (7.82e-4)"	"unprognostic (4.41e-3)"	"unprognostic (8.37e-2)"	"unprognostic (6.09e-2)"	"unprognostic (7.24e-3)"	"unprognostic (7.71e-7)"	"unprognostic (5.21e-3)"	"unprognostic (2.76e-1)"	"unprognostic (6.01e-3)"	"unprognostic (3.32e-5)"
ADRB1	ADRB1R	ENSG00000043591	"Adrenoceptor beta 1"	P08588	10	114043866-114046904	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 22.9;lung: 12.7;placenta: 28.1"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 24.6;Cardiomyocytes: 74.7;Cytotrophoblasts: 79.8;Sertoli cells: 24.5;Syncytiotrophoblasts: 34.7"	"Cancer enriched"	"Detected in many"	10	"prostate cancer: 12.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Bone cancer: 7.9"	"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA067972	Enhanced						NA	NA				"Cluster 34: Non-specific - Mixed function"	"Cluster 53: Neurons - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 24: Cytotrophoblasts - Mitochondria"	4			"HPA067972: AB_2685936"	"unprognostic (1.45e-3)"	"unprognostic (1.18e-3)"	"unprognostic (1.44e-1)"	"unprognostic (4.92e-2)"	"unprognostic (3.22e-1)"	"unprognostic (8.88e-2)"	"unprognostic (9.28e-2)"	"unprognostic (3.52e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.96e-2)"	"unprognostic (2.77e-4)"	"unprognostic (1.33e-1)"	"unprognostic (7.80e-3)"	"unprognostic (1.53e-1)"	"unprognostic (1.85e-1)"	"unprognostic (1.59e-2)"	"unprognostic (1.44e-1)"
ADRB3		ENSG00000188778	"Adrenoceptor beta 3"	P13945	8	37962990-37966599	"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Diabetes mellitus, FDA approved drug targets, Obesity"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"fallopian tube: 3.9;ovary: 11.3;urinary bladder: 4.5"	"Cell type enriched"	"Detected in some"	8	"Ovarian stromal cells: 14.0"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	169	"Bone cancer: 17.7"	"Breast - Adipocytes (Breast), Prostate - Fibroblasts"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			HPA061969	Uncertain						NA	NA				"Cluster 62: Connective tissue - ECM organization"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 50: Connective tissue cells - ECM organization"				"HPA061969: AB_2732674"	"unprognostic (1.70e-1)"	"unprognostic (2.24e-1)"	"unprognostic (6.64e-3)"	"unprognostic (5.41e-1)"	"unprognostic (1.07e-2)"	"unprognostic (1.07e-1)"		"unprognostic (1.14e-1)"	"unprognostic (9.49e-2)"	"unprognostic (2.33e-1)"	"unprognostic (1.06e-3)"	"unprognostic (3.77e-2)"	"unprognostic (2.29e-8)"	"unprognostic (1.10e-3)"	"unprognostic (2.81e-2)"	"unprognostic (5.37e-2)"	"unprognostic (6.06e-3)"
AK7	"CFAP75, FAP75, FLJ32864"	ENSG00000140057	"Adenylate kinase 7"	Q96M32	14	96392128-96489427	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Cilium biogenesis/degradation"	"Kinase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 17.7;fallopian tube: 23.5"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 90.7;Early spermatids: 20.2;Spermatocytes: 23.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	24	"basophil: 9.1"	"Lineage enriched"	"Detected in single"	31	"granulocytes: 9.1"	"Cancer enhanced"	"Detected in many"		"Bone cancer: 11.6"	"Lung - Respiratory ciliated cells, Skin - Keratinocyte (other), Testis - Early spermatids, Testis - Spermatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA003543	Enhanced						NA	NA			"Cluster 46: Basophils - Proteolysis"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 42: Ciliated cells - Cilium assembly"				"HPA003543: AB_1078117"	"unprognostic (4.18e-3)"	"unprognostic (1.14e-1)"	"unprognostic (9.40e-3)"	"prognostic favorable (3.18e-4)"	"unprognostic (4.98e-5)"	"unprognostic (8.41e-2)"	"unprognostic (9.81e-3)"	"unprognostic (1.29e-1)"	"unprognostic (9.02e-2)"	"unprognostic (3.65e-4)"	"unprognostic (8.64e-2)"	"unprognostic (1.89e-1)"	"prognostic favorable (1.14e-4)"	"unprognostic (2.00e-2)"	"unprognostic (1.23e-2)"	"unprognostic (4.01e-2)"	"unprognostic (2.25e-3)"
