Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ABCA1	"ABC1, HDLDT1, TGD"	ENSG00000165029	"ATP binding cassette subfamily A member 1"	O95477	9	104781006-104928155	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transport"	Translocase	"Atherosclerosis, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"granulocytes: 147.1;Hepatocytes: 135.0;Kupffer cells: 149.2;Langerhans cells: 126.1;Macrophages: 114.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"eosinophil: 13.1;neutrophil: 10.7"	"Lineage enriched"	"Detected in many"	8	"granulocytes: 13.1"	"Low cancer specificity"	"Detected in many"			"Breast - Adipocytes (Breast)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA057283, CAB069889"	Approved		Approved	Nucleoplasm,Vesicles			NA	NA			"Cluster 22: Eosinophils - Transcription"	"Cluster 11: Liver - Plasma proteins"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 58: Macrophages - Innate immune response"	9	"Nucleoplasm, Vesicles"		"CAB069889: AB_10002789, HPA057283: AB_2683396"	"unprognostic (1.58e-2)"	"unprognostic (2.54e-1)"	"unprognostic (1.46e-1)"	"unprognostic (2.80e-1)"	"unprognostic (7.47e-3)"	"unprognostic (1.85e-1)"	"unprognostic (9.22e-2)"	"unprognostic (9.80e-2)"	"unprognostic (2.04e-1)"	"unprognostic (7.28e-3)"	"unprognostic (2.14e-1)"	"unprognostic (4.78e-2)"	"unprognostic (1.04e-2)"	"unprognostic (2.00e-3)"	"unprognostic (2.51e-2)"	"unprognostic (6.71e-2)"	"unprognostic (2.57e-1)"
ABLIM1	"ABLIM, LIMAB1, limatin"	ENSG00000099204	"Actin binding LIM protein 1"	O14639	10	114431112-114768061	"Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 830.4;Cardiomyocytes: 655.7;Peritubular cells: 400.6;Squamous epithelial cells: 483.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"naive CD4 T-cell: 139.3"	"Group enriched"	"Detected in many"	9	"B-cells: 52.3;NK-cells: 63.7;T-cells: 139.3"	"Low cancer specificity"	"Detected in many"			"Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA038951, HPA038952"	Approved		Supported	Cytosol			NA	NA		6000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 35: Non-specific - DNA binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 47: Astrocytes - Unknown function"	2	Cytosol		"HPA038951: AB_10673017, HPA038952: AB_10670915"	"unprognostic (2.25e-2)"	"unprognostic (3.96e-2)"	"unprognostic (2.91e-1)"	"unprognostic (1.26e-1)"	"unprognostic (5.89e-3)"	"unprognostic (1.07e-2)"	"unprognostic (3.19e-2)"	"unprognostic (5.07e-2)"	"unprognostic (4.39e-2)"	"unprognostic (1.05e-1)"	"unprognostic (3.20e-2)"	"unprognostic (3.23e-1)"	"prognostic favorable (2.72e-5)"	"unprognostic (2.77e-2)"	"unprognostic (1.92e-1)"	"unprognostic (3.22e-1)"	"unprognostic (5.87e-2)"
ABLIM3	KIAA0843	ENSG00000173210	"Actin binding LIM protein family member 3"	O94929	5	149141483-149260542	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 112.9"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 178.0;Cardiomyocytes: 69.1;Hepatocytes: 94.1;Oligodendrocyte precursor cells: 59.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 43.8"	"Adipose visceral - Endothelial cells, Kidney - Proximal tubular cells, Prostate - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA003245	Approved		Approved	"Nucleoplasm,Plasma membrane,Cell Junctions"			NA	NA		30000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 23: Non-specific - Cellular respiration"	"Cluster 25: Non-specific - Transcription"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	2	"Nucleoplasm, Plasma membrane"	"Cell Junctions"	"HPA003245: AB_1078083"	"unprognostic (1.07e-1)"	"unprognostic (1.31e-1)"	"unprognostic (9.87e-2)"	"unprognostic (1.75e-1)"	"unprognostic (8.74e-2)"	"unprognostic (4.19e-2)"	"unprognostic (9.48e-3)"	"unprognostic (4.37e-3)"	"unprognostic (1.05e-1)"	"unprognostic (1.09e-2)"	"unprognostic (4.17e-3)"	"unprognostic (2.42e-1)"	"prognostic unfavorable (1.28e-4)"	"unprognostic (3.12e-2)"	"unprognostic (8.10e-2)"	"unprognostic (2.45e-3)"	"unprognostic (1.20e-1)"
ABTB3	"ABTB2B, BTBD11, FLJ33957"	ENSG00000151136	"Ankyrin repeat and BTB domain containing 3"	A6QL63	12	107318421-107659642	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 28.5;parathyroid gland: 96.9"	"Cell type enriched"	"Detected in many"	5	"Inhibitory neurons: 257.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"MAIT T-cell: 3.5"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Liver - Hepatocytes, Pancreas - Alpha cells, Skin - Keratinocyte (other), Testis - Peritubular cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA055898, HPA061334"			Supported	Nucleoplasm,Cytosol			NA	NA			"Cluster 11: T-cells - Unknown function"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 8: Neurons - Neuronal signaling"		Nucleoplasm	Cytosol	"HPA055898: AB_2682964, HPA061334: "	"unprognostic (3.40e-2)"	"unprognostic (4.06e-1)"	"unprognostic (2.37e-1)"	"unprognostic (7.85e-2)"	"unprognostic (8.78e-3)"	"unprognostic (4.82e-2)"	"unprognostic (3.52e-1)"	"unprognostic (2.12e-1)"	"unprognostic (1.52e-1)"	"unprognostic (5.92e-2)"	"unprognostic (5.33e-2)"	"unprognostic (1.78e-1)"	"unprognostic (4.92e-8)"	"unprognostic (2.66e-1)"	"unprognostic (1.55e-1)"	"unprognostic (3.33e-2)"	"unprognostic (9.07e-3)"
ACAD11	FLJ12592	ENSG00000240303	"Acyl-CoA dehydrogenase family member 11"	Q709F0	3	132558138-132660082	"Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"choroid plexus: 46.2;kidney: 62.1;liver: 100.5"	"Cell type enhanced"	"Detected in some"		"Hepatocytes: 4.5;Plasma cells: 4.3;Syncytiotrophoblasts: 7.9"	"Cancer enhanced"	"Detected in single"		"renal cancer: 1.1"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA048317	Enhanced						NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 49: Non-specific - Transcription"	1			"HPA048317: AB_2680354"	"unprognostic (5.04e-2)"	"unprognostic (1.69e-1)"	"unprognostic (1.41e-1)"	"unprognostic (3.31e-2)"	"unprognostic (3.36e-1)"	"unprognostic (2.69e-4)"	"unprognostic (1.20e-1)"	"unprognostic (2.85e-2)"	"unprognostic (2.40e-1)"	"unprognostic (5.90e-2)"	"unprognostic (5.86e-2)"	"unprognostic (5.68e-2)"	"unprognostic (1.06e-3)"	"unprognostic (6.01e-2)"	"unprognostic (1.48e-1)"	"unprognostic (2.71e-2)"	"unprognostic (2.93e-1)"
ACKR3	"CMKOR1, CXCR7, GPR159, RDC1"	ENSG00000144476	"Atypical chemokine receptor 3"	P25106	2	236567787-236582354	"Cancer-related genes, Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"	"Cell adhesion, Host-virus interaction"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Fibroblasts: 167.3;Lymphatic endothelial cells: 152.7;monocytes: 47.5;Smooth muscle cells: 61.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Group enriched"	"Detected in many"	7	"NK-cells: 4.7;T-cells: 3.8"	"Cancer enhanced"	"Detected in many"		"Kidney cancer: 106.8"	"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA032003, HPA049718"	Approved		Supported	"Vesicles,Plasma membrane"			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 53: Fibroblasts - ECM organization"	3	"Vesicles, Plasma membrane"		"HPA032003: AB_2674107, HPA049718: AB_2680859"	"unprognostic (1.65e-2)"	"prognostic unfavorable (4.64e-4)"	"unprognostic (2.50e-1)"	"unprognostic (1.92e-3)"	"unprognostic (2.10e-1)"	"unprognostic (1.23e-1)"	"unprognostic (7.34e-3)"	"unprognostic (1.55e-2)"	"unprognostic (1.85e-2)"	"unprognostic (1.35e-1)"	"unprognostic (9.70e-3)"	"unprognostic (6.69e-2)"	"prognostic unfavorable (1.76e-6)"	"prognostic unfavorable (2.01e-4)"	"unprognostic (9.71e-2)"	"unprognostic (8.57e-3)"	"prognostic unfavorable (2.93e-4)"
ACSM5	FLJ20581	ENSG00000183549	"Acyl-CoA synthetase medium chain family member 5"	Q6NUN0	16	20409534-20441336	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	11	"liver: 268.1"	"Cell type enriched"	"Detected in some"	6	"Hepatocytes: 221.3"	"Group enriched"	"Detected in some"	7	"liver cancer: 20.5;renal cancer: 9.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney cancer: 4.0"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA041435	Uncertain		Uncertain	Vesicles			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 43: Hepatocytes - Metabolism"		Vesicles		"HPA041435: AB_10961121"	"unprognostic (1.01e-1)"	"unprognostic (1.61e-3)"	"unprognostic (3.73e-2)"	"unprognostic (1.98e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.59e-2)"	"unprognostic (1.84e-2)"	"unprognostic (4.64e-3)"	"unprognostic (1.64e-1)"	"unprognostic (2.01e-2)"	"unprognostic (2.15e-2)"	"unprognostic (2.33e-1)"	"unprognostic (5.11e-3)"	"unprognostic (2.09e-2)"	"unprognostic (3.85e-2)"	"unprognostic (2.78e-2)"	"unprognostic (1.57e-1)"
ACTR3C	ARP11	ENSG00000106526	"Actin related protein 3C"	Q9C0K3	7	150243916-150323725	"Predicted intracellular proteins"		Actin-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"parathyroid gland: 54.8"	"Group enriched"	"Detected in many"	6	"Astrocytes: 82.7;Excitatory neurons: 107.8;Inhibitory neurons: 120.1;Oligodendrocyte precursor cells: 258.5"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 31.1"	"Liver - Hepatocytes, Lung - Alveolar cells type 2, Thyroid - Thyroid glandular cells"																NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 76: Oligodendrocyte precursor - Unknown function"					"unprognostic (3.41e-1)"	"unprognostic (4.79e-2)"	"unprognostic (9.62e-2)"	"unprognostic (8.25e-2)"	"unprognostic (6.07e-6)"	"unprognostic (2.83e-1)"	"unprognostic (6.81e-2)"	"unprognostic (1.19e-1)"	"unprognostic (2.10e-2)"	"unprognostic (2.91e-1)"	"unprognostic (9.69e-3)"	"unprognostic (1.65e-2)"	"unprognostic (3.27e-2)"	"unprognostic (4.73e-3)"	"unprognostic (1.72e-1)"	"unprognostic (9.14e-2)"	"unprognostic (5.53e-3)"
ACVR1B	"ActRIB, ACVRLK4, ALK4, SKR2"	ENSG00000135503	"Activin A receptor type 1B"	P36896	12	51951699-51997078	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 3.9"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other), Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB026126, HPA063761"	Approved		Approved	Cytosol			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 53: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 16: Intestinal goblet cells - Mucin production"	3	Cytosol		"CAB026126: , HPA063761: AB_2685115"	"unprognostic (8.66e-2)"	"unprognostic (5.72e-2)"	"unprognostic (1.16e-1)"	"unprognostic (3.23e-3)"	"unprognostic (2.34e-1)"	"unprognostic (2.54e-1)"	"unprognostic (1.21e-3)"	"unprognostic (1.00e-1)"	"unprognostic (7.68e-2)"	"unprognostic (5.29e-2)"	"unprognostic (2.56e-1)"	"unprognostic (2.37e-1)"	"unprognostic (4.52e-2)"	"unprognostic (9.02e-2)"	"unprognostic (6.60e-2)"	"unprognostic (8.96e-2)"	"unprognostic (4.79e-2)"
ADAM21	ADAM31	ENSG00000139985	"ADAM metallopeptidase domain 21"	Q9UKJ8	14	70417107-70460427	"Predicted membrane proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"testis: 8.4"	"Group enriched"	"Detected in some"	52	"Early spermatids: 67.4;Late spermatids: 141.9"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA059016	Uncertain						NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 36: Late spermatids - Unknown function"	2			"HPA059016: AB_2683882"	"unprognostic (7.85e-2)"	"unprognostic (7.67e-3)"	"unprognostic (4.20e-2)"	"unprognostic (1.35e-2)"	"unprognostic (5.12e-1)"	"unprognostic (1.48e-1)"	"unprognostic (5.98e-2)"	"unprognostic (2.16e-1)"	"unprognostic (3.30e-1)"	"unprognostic (2.41e-1)"	"unprognostic (1.16e-1)"	"unprognostic (2.72e-1)"	"unprognostic (6.78e-2)"	"unprognostic (1.82e-2)"	"unprognostic (1.52e-1)"	"unprognostic (2.08e-1)"	"unprognostic (2.72e-1)"
