Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
AATK	"AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77"	ENSG00000181409	"Apoptosis associated tyrosine kinase"	Q6ZMQ8	17	81110487-81166221	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 98.7;intestine: 30.0"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 81.1;Oligodendrocytes: 226.4;Schwann cells: 84.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	11	"neutrophil: 2.0"	"Lineage enriched"	"Detected in single"	11	"granulocytes: 2.0"	"Low cancer specificity"	"Detected in many"			"Kidney - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA009073	Approved		Uncertain	Mitochondria			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 11: White matter - Signal transduction"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 51: Oligodendrocytes - Unknown function"	5	Mitochondria		"HPA009073: AB_1078076"	"unprognostic (3.47e-3)"	"unprognostic (3.01e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.95e-4)"	"unprognostic (1.96e-1)"	"unprognostic (1.94e-1)"	"unprognostic (7.29e-2)"	"unprognostic (9.85e-2)"	"unprognostic (6.09e-2)"	"unprognostic (4.27e-2)"	"unprognostic (2.88e-3)"	"unprognostic (2.48e-1)"	"unprognostic (4.28e-6)"	"unprognostic (1.58e-3)"	"unprognostic (1.21e-1)"	"unprognostic (1.39e-1)"	"unprognostic (4.57e-2)"
ABHD17C	FAM108C1	ENSG00000136379	"Abhydrolase domain containing 17C, depalmitoylase"	Q6PCB6	15	80679684-80755621	"Enzymes, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 63.1"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 148.3;Intestinal goblet cells: 107.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA048890	Uncertain						NA	NA				"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 29: Forebrain - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"	11			"HPA048890: AB_2680546"	"unprognostic (3.60e-1)"	"unprognostic (5.07e-2)"	"unprognostic (1.58e-1)"	"unprognostic (2.19e-2)"	"unprognostic (7.51e-2)"	"unprognostic (1.20e-1)"	"unprognostic (1.59e-2)"	"unprognostic (2.32e-1)"	"unprognostic (1.40e-1)"	"unprognostic (2.59e-2)"	"unprognostic (5.08e-3)"	"unprognostic (2.87e-1)"	"unprognostic (1.23e-3)"	"unprognostic (5.75e-2)"	"unprognostic (2.91e-1)"	"unprognostic (1.35e-1)"	"unprognostic (1.89e-3)"
ACADS	"ACAD3, SCAD"	ENSG00000122971	"Acyl-CoA dehydrogenase short chain"	P16219	12	120725774-120740008	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 239.5;skeletal muscle: 152.6"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 338.4;Hepatocytes: 197.4;Proximal enterocytes: 428.7;Undifferentiated cells: 136.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA004799, CAB019284, HPA022271"	Enhanced		Supported	Mitochondria			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 83: Liver - Metabolism"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"		Mitochondria		"CAB019284: , HPA004799: AB_1844471, HPA022271: AB_1844472"	"unprognostic (7.14e-2)"	"unprognostic (3.03e-3)"	"unprognostic (8.15e-2)"	"prognostic favorable (5.05e-4)"	"unprognostic (1.11e-3)"	"unprognostic (5.75e-2)"	"prognostic favorable (2.43e-4)"	"unprognostic (5.65e-2)"	"unprognostic (1.22e-1)"	"unprognostic (2.14e-1)"	"unprognostic (2.69e-2)"	"unprognostic (4.04e-2)"	"prognostic favorable (3.33e-6)"	"unprognostic (1.23e-2)"	"unprognostic (1.81e-1)"	"unprognostic (1.21e-1)"	"prognostic favorable (6.34e-5)"
ACSL5	"ACS2, ACS5, FACL5"	ENSG00000197142	"Acyl-CoA synthetase long chain family member 5"	Q9ULC5	10	112374116-112428379	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"epididymis: 218.8;intestine: 418.8;liver: 165.4"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 138.0;Glandular and luminal cells: 296.7;Proximal enterocytes: 460.5"	"Cancer enhanced"	"Detected in all"		"colorectal cancer: 87.1"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Bile duct cancer: 97.2;colorectal cancer: 99.3"	"Breast - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA007162, CAB035986, CAB062546"	Enhanced		Supported	Nucleoplasm,Mitochondria			NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 37: Glandular & Luminal cells - Unknown function"	9	Mitochondria	Nucleoplasm	"CAB035986: AB_941506, CAB062546: AB_2665614, HPA007162: AB_2667761"	"unprognostic (5.75e-3)"	"unprognostic (2.06e-1)"	"unprognostic (3.08e-2)"	"prognostic favorable (1.13e-4)"	"unprognostic (2.45e-1)"	"unprognostic (2.13e-2)"	"unprognostic (4.92e-2)"	"unprognostic (5.90e-2)"	"unprognostic (1.67e-1)"	"unprognostic (4.06e-2)"	"unprognostic (4.18e-3)"	"unprognostic (7.40e-2)"	"unprognostic (5.25e-3)"	"unprognostic (2.11e-1)"	"unprognostic (1.10e-1)"	"unprognostic (5.92e-3)"	"unprognostic (1.08e-3)"
ACY1		ENSG00000243989	"Aminoacylase 1"	Q03154	3	51983340-51989197	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		Hydrolase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	7	"intestine: 176.3;kidney: 434.0;liver: 266.7"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 35.6;Gastric mucus-secreting cells: 31.2;Proximal enterocytes: 137.7;Proximal tubular cells: 100.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB003695, HPA036174, HPA036175, HPA071834"	Enhanced		Approved	Vesicles			NA	NA		23000000	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	7	Vesicles		"CAB003695: AB_425286, HPA036174: AB_2674988, HPA036175: AB_2674989, HPA071834: "	"unprognostic (4.28e-2)"	"unprognostic (1.89e-1)"	"unprognostic (2.10e-1)"	"unprognostic (2.48e-3)"	"unprognostic (3.15e-1)"	"unprognostic (6.51e-2)"	"unprognostic (2.82e-2)"	"unprognostic (1.47e-1)"	"unprognostic (1.05e-2)"	"unprognostic (6.08e-2)"	"unprognostic (2.36e-2)"	"unprognostic (2.70e-2)"	"prognostic favorable (2.93e-4)"	"unprognostic (3.57e-1)"	"unprognostic (3.75e-1)"	"unprognostic (7.88e-2)"	"prognostic favorable (6.77e-4)"
ADAP1	"CENTA1, GCS1L"	ENSG00000105963	"ArfGAP with dual PH domains 1"	O75689	7	897900-955407	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 128.0"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 87.0;Oocytes: 183.8;Paneth cells: 49.5;Proximal enterocytes: 46.1"	"Cancer enhanced"	"Detected in all"		"colorectal cancer: 15.1"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"colorectal cancer: 123.4;Gastric cancer: 101.4"	"Adipose subcutaneous - Macrophages, Skeletal muscle - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA007033, HPA012049"	Enhanced		Supported	"Plasma membrane,Cytosol"			NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 30: White matter - Myelination"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"	5	"Plasma membrane, Cytosol"		"HPA007033: AB_1846529, HPA012049: AB_1846527"	"unprognostic (2.45e-1)"	"unprognostic (7.15e-2)"	"prognostic unfavorable (5.25e-4)"	"unprognostic (4.41e-2)"	"unprognostic (1.97e-1)"	"prognostic unfavorable (9.13e-4)"	"unprognostic (3.06e-1)"	"unprognostic (9.10e-3)"	"unprognostic (1.70e-2)"	"unprognostic (1.38e-1)"	"unprognostic (5.74e-2)"	"unprognostic (1.69e-1)"	"prognostic favorable (4.13e-5)"	"unprognostic (5.88e-2)"	"unprognostic (1.58e-1)"	"unprognostic (1.41e-1)"	"unprognostic (1.79e-2)"
ADGRG7	"FLJ14454, GPR128"	ENSG00000144820	"Adhesion G protein-coupled receptor G7"	Q96K78	3	100609601-100695479	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	15	"intestine: 41.7;liver: 24.0"	"Cell type enhanced"	"Detected in some"		"Hepatocytes: 22.4;Intestinal goblet cells: 9.5;Paneth cells: 20.1;Proximal enterocytes: 34.0"	"Cancer enhanced"	"Detected in some"		"stomach cancer: 3.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 1.8;Brain cancer: 1.3"	"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA056451			Approved	"Plasma membrane"			NA	NA				"Cluster 37: Liver & Intestine - Lipid metabolism"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	3	"Plasma membrane"		"HPA056451: "		"unprognostic (1.65e-1)"	"unprognostic (1.10e-1)"		"unprognostic (2.79e-1)"	"unprognostic (8.46e-3)"	"unprognostic (1.26e-1)"	"unprognostic (6.71e-2)"			"unprognostic (9.37e-3)"		"unprognostic (2.84e-5)"	"unprognostic (1.17e-1)"	"unprognostic (2.16e-1)"		"unprognostic (6.77e-2)"
ADRA2A	"ADRA2, ADRA2R, ADRAR"	ENSG00000150594	"Adrenoceptor alpha 2A"	P08913	10	111077029-111080907	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 48.9;cervix: 45.1"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 66.8;Glandular and luminal cells: 31.5;Paneth cells: 128.1;Smooth muscle cells: 84.9"	"Cancer enhanced"	"Detected in all"		"pancreatic cancer: 17.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"prostate cancer: 11.9"	"Adipose visceral - Adipocytes (Visceral), Kidney - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 62: Connective tissue - ECM organization"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 48: Smooth muscle cells - Signal transduction"	1				"unprognostic (3.87e-2)"	"unprognostic (1.63e-2)"	"unprognostic (1.38e-1)"	"prognostic favorable (8.06e-4)"	"unprognostic (1.36e-2)"	"unprognostic (1.04e-1)"	"unprognostic (4.78e-2)"	"unprognostic (2.81e-2)"	"unprognostic (1.03e-1)"	"unprognostic (4.64e-3)"	"unprognostic (5.86e-2)"	"unprognostic (5.63e-2)"	"unprognostic (3.08e-6)"	"unprognostic (1.45e-1)"	"unprognostic (3.70e-2)"	"unprognostic (1.35e-2)"	"unprognostic (1.89e-3)"
AGR2	"AG2, HAG-2, PDIA17, XAG-2"	ENSG00000106541	"Anterior gradient 2, protein disulphide isomerase family member"	O95994	7	16791811-16833433	"Predicted intracellular proteins"			Proto-oncogene	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"cervix: 615.9;intestine: 1184.3;stomach 1: 1365.8"	"Cell type enhanced"	"Detected in many"		"Club cells: 1768.3;Distal enterocytes: 1389.8;Enteroendocrine cells: 1388.6;Gastric mucus-secreting cells: 2597.0;Intestinal goblet cells: 7831.2;Undifferentiated cells: 1511.5"	"Cancer enhanced"	"Detected in many"		"stomach cancer: 475.4"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Esophageal cancer: 605.6;Gastric cancer: 837.5"	"Breast - Breast glandular cells, Colon - Colon enterocytes, Lung - Alveolar cells type 2, Stomach - Gastric mucous cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA007912	Enhanced		Supported	"Endoplasmic reticulum"	"Intracellular and membrane"	"No annotated function"	NA	NA		38000		"Cluster 45: Intestine - Digestion"	"Cluster 53: Neurons - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"	62	"Endoplasmic reticulum"		"HPA007912: AB_1844879"	"unprognostic (6.19e-2)"	"unprognostic (1.91e-1)"	"unprognostic (9.05e-2)"	"unprognostic (2.59e-2)"	"unprognostic (2.23e-1)"	"unprognostic (2.10e-3)"	"prognostic unfavorable (1.15e-4)"	"unprognostic (1.49e-2)"	"unprognostic (1.84e-1)"	"unprognostic (1.08e-2)"	"unprognostic (3.24e-1)"	"unprognostic (2.22e-2)"	"prognostic unfavorable (8.79e-5)"	"unprognostic (6.98e-2)"	"unprognostic (2.38e-1)"	"unprognostic (2.38e-1)"	"unprognostic (3.22e-3)"
AGR3	"BCMP11, hAG-3, HAG3, PDIA18"	ENSG00000173467	"Anterior gradient 3, protein disulphide isomerase family member"	Q8TD06	7	16859412-16881987	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"fallopian tube: 217.5;intestine: 230.7;lung: 147.7"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 316.3;Ciliated cells: 1021.0;Distal enterocytes: 365.9;Enteroendocrine cells: 327.6;Intestinal goblet cells: 689.4;Ionocytes: 347.5;Paneth cells: 692.8;Proximal enterocytes: 1057.5;Undifferentiated cells: 404.6"	"Cancer enhanced"	"Detected in many"		"breast cancer: 104.5"	"Region enhanced"	"Detected in some"		"midbrain: 7.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"breast cancer: 51.8;colorectal cancer: 65.3;Gastric cancer: 151.5"	"Breast - Breast glandular cells, Colon - Colon enterocytes, Lung - Alveolar cells type 2, Stomach - Gastric mucous cells"	"Region enriched"	"Detected in some"	5	"olfactory bulb: 4.6"					HPA053942	Enhanced		Supported	"Endoplasmic reticulum,Vesicles"	"Intracellular and membrane"	"No annotated function"	NA	NA		67000		"Cluster 45: Intestine - Digestion"	"Cluster 46: Brainstem - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	21	"Endoplasmic reticulum"	Vesicles	"HPA053942: AB_2682317"	"unprognostic (2.18e-2)"	"unprognostic (2.02e-1)"	"unprognostic (2.13e-1)"	"unprognostic (9.59e-2)"	"unprognostic (3.32e-3)"	"unprognostic (3.08e-2)"		"unprognostic (1.49e-1)"		"unprognostic (1.46e-1)"	"unprognostic (7.29e-2)"	"unprognostic (1.13e-1)"	"unprognostic (8.56e-3)"	"unprognostic (2.32e-1)"	"unprognostic (2.96e-1)"	"unprognostic (6.66e-2)"	"unprognostic (1.57e-1)"
